FeatureID	A10E0	A10E12	A10H0	A10H12	A12E0	A12E12	A12H0	A12H12	A13E0	A13E12	A13H0	A13H12	A16E0	A16E12	A16H0	A16H12	A17E0	A17E12	A17H0	A17H12	A19E0	A19E12	A19H0	A19H12	A1E0	A1E12	A1H0	A1H12	A20E0	A20E12	A20H0	A20H12	A22E0	A22E12	A22H0	A22H12	A24E0	A24E12	A24H0	A24H12	A25E0	A25E12	A25H0	A25H12	A26E0	A26E12	A26H0	A26H12	A27E0	A27E12	A27H0	A27H12	A28E0	A28E12	A28H0	A28H12	A30E0	A30E12	A30H0	A30H12	A3E0	A3E12	A3H0	A3H12	A4E0	A4E12	A4H0	A4H12	A6E0	A6E12	A6H0	A6H12	A7E0	A7E12	A7H0	A7H12	A8E0	A8E12	A8H0	A8H12	A9E0	A9E12	A9H0	A9H12	P11E0	P11E12	P11H0	P11H12	P14E0	P14E12	P14H0	P14H12	P16E0	P16E12	P16H0	P16H12	P17E0	P17E12	P17H0	P17H12	P20E0	P20E12	P20H0	P20H12	P21E0	P21E12	P21H0	P21H12	P25E0	P25E12	P25H0	P25H12	P26E0	P26E12	P26H0	P26H12	P27E0	P27E12	P27H0	P27H12	P2E0	P2E12	P2H0	P2H12	P3E0	P3E12	P3H0	P3H12	P42E0	P42E12	P42H0	P42H12	P4E0	P4E12	P4H0	P4H12	P5E0	P5E12	P5H0	P5H12
UNCLASSIFIED	0.0	45088210.0	19241160.0	7972050.0	14668280.0	0.0	36098900.0	5889520.0	0.0	19011990.0	36757410.0	11257240.0	0.0	0.0	18319560.0	12568440.0	2493200.0	0.0	18617730.0	8946810.0	508600.0	15657720.0	17791810.0	29664060.0	9162700.0	2919120.0	9178870.0	14303420.0	7971530.0	0.0	20540270.0	13668170.0	13913700.0	14624010.0	14854170.0	11828740.0	30137150.0	0.0	14052860.0	16455280.0	3826690.0	18095070.0	14562550.0	16762670.0	0.0	0.0	30024920.0	9512900.0	26526310.0	1095960.0	14933960.0	9090270.0	2615410.0	0.0	11250050.0	30891780.0	0.0	27730310.0	35798340.0	16849530.0	3565690.0	25705720.0	21333640.0	15684500.0	4789740.0	9773990.0	24938820.0	16331070.0	5919660.0	26613580.0	20999640.0	19425310.0	223830.0	14005700.0	19688500.0	16171570.0	21378030.0	0.0	26675860.0	18147300.0	14742160.0	0.0	17967160.0	10433440.0	6273810.0	15909910.0	3892340.0	25199890.0	21848640.0	12351330.0	12346730.0	16028410.0	0.0	0.0	11389690.0	14455460.0	0.0	28479590.0	4387260.0	9867530.0	9860380.0	0.0	8661520.0	32866680.0	0.0	0.0	20297440.0	11022880.0	0.0	0.0	12015500.0	14155720.0	12129910.0	0.0	18439660.0	9153550.0	21830260.0	0.0	26098590.0	11835180.0	73279260.0	46181060.0	16366810.0	3132820.0	4062080.0	22026960.0	16341510.0	7415720.0	0.0	0.0	17478360.0	7071730.0	4292250.0	0.0	31905440.0	4278360.0	21512210.0	0.0	14672790.0	25366480.0
k__Bacteria	100000000.0	54911790.0	80758840.0	92027950.0	82068530.0	0.0	63830460.0	94110480.0	100000000.0	80988010.0	63242590.0	88742760.0	100000000.0	100000000.0	81680440.0	87431560.0	97506800.0	100000000.0	81382270.0	91053190.0	99491400.0	84342280.0	82208190.0	70335940.0	90837300.0	97080880.0	90821130.0	85696580.0	92028470.0	0.0	79459730.0	86331830.0	86086300.0	85375990.0	84896800.0	88134730.0	69862850.0	100000000.0	85947140.0	83544720.0	96159970.0	81904930.0	85437450.0	83237330.0	100000000.0	0.0	69646070.0	90487100.0	73473690.0	98904040.0	85066040.0	90909730.0	97384590.0	100000000.0	88740970.0	69108220.0	100000000.0	72269690.0	64123120.0	83150470.0	96434310.0	74294280.0	78608120.0	84315500.0	95210260.0	90226010.0	75061180.0	83668930.0	94080340.0	73386420.0	78147230.0	80574690.0	99776170.0	85994300.0	80311500.0	83828430.0	78621970.0	100000000.0	73324140.0	81852700.0	85257840.0	100000000.0	81667500.0	89566560.0	93726190.0	84090090.0	96107660.0	74800110.0	78151360.0	87648670.0	87653270.0	83971590.0	0.0	0.0	88610310.0	85544540.0	100000000.0	71520410.0	95612740.0	90132470.0	90139620.0	100000000.0	91338480.0	67133320.0	0.0	0.0	79702560.0	88977120.0	100000000.0	100000000.0	87984500.0	85844280.0	87870090.0	100000000.0	81560340.0	90846450.0	78169740.0	100000000.0	73897670.0	88164820.0	26720740.0	53818940.0	83633190.0	96867180.0	95937920.0	77973040.0	83658490.0	92584280.0	94967100.0	100000000.0	82521640.0	92928270.0	95707750.0	100000000.0	68094560.0	95721640.0	78487790.0	100000000.0	85310120.0	74633520.0
k__Bacteria|p__Actinobacteria	50350140.0	8142920.0	5938670.0	17239440.0	9592520.0	0.0	6654900.0	616690.0	38966310.0	13995540.0	4240080.0	24713190.0	10495190.0	0.0	5981000.0	5455150.0	4141360.0	0.0	7469590.0	5342390.0	802610.0	5527580.0	4275390.0	22156860.0	14353750.0	2406340.0	34281310.0	12370460.0	26536100.0	0.0	5115320.0	16102330.0	15447640.0	29548610.0	5849840.0	2508130.0	0.0	12309420.0	10574350.0	13034650.0	15007340.0	14574900.0	5466230.0	9525660.0	17906730.0	0.0	1622930.0	67328230.0	12025480.0	16469100.0	1011910.0	12124190.0	437170.0	0.0	2935660.0	38923130.0	0.0	23661660.0	2128340.0	18008760.0	30175450.0	45434050.0	3217170.0	13177150.0	0.0	0.0	3073680.0	9139200.0	11339460.0	27370700.0	3430580.0	2125200.0	0.0	31700.0	4746680.0	298770.0	25910500.0	11120.0	6521960.0	3440190.0	10747300.0	0.0	1307100.0	2204970.0	36464730.0	22065900.0	19006140.0	3180010.0	14822700.0	21950740.0	12438610.0	46198270.0	0.0	0.0	83005670.0	25629390.0	0.0	14521490.0	76150320.0	26405710.0	7454120.0	21919880.0	18504230.0	77820.0	0.0	0.0	2686770.0	42805380.0	6757760.0	0.0	38244210.0	6209000.0	39863820.0	0.0	33107420.0	7147420.0	12786610.0	1609380.0	8991800.0	6833900.0	20043730.0	53818940.0	6798200.0	87727640.0	0.0	0.0	1746060.0	0.0	20734570.0	5890230.0	15868900.0	20888010.0	30648770.0	32089180.0	6327140.0	661210.0	9174760.0	11773800.0	738690.0	9674660.0
k__Bacteria|p__Firmicutes	49649860.0	46768870.0	74475690.0	74225990.0	29425730.0	0.0	56110030.0	91731690.0	52185610.0	16270850.0	49598800.0	53473100.0	50327400.0	10595780.0	73590070.0	70107040.0	2788790.0	0.0	66897410.0	77763250.0	0.0	62879680.0	66454600.0	47723080.0	33548510.0	31701720.0	50304630.0	33983160.0	53410520.0	0.0	42833220.0	59088670.0	3438930.0	33290620.0	50454540.0	78284830.0	0.0	60664850.0	74541680.0	68886830.0	17492520.0	37084640.0	79772780.0	73043320.0	82093270.0	0.0	58784260.0	20942460.0	33519130.0	41051640.0	83788210.0	78678380.0	47870.0	0.0	70104880.0	15100670.0	100000000.0	19754230.0	57847960.0	64861640.0	34230810.0	18304250.0	73252660.0	61983520.0	0.0	0.0	65888840.0	66979530.0	9445970.0	29128680.0	72430280.0	78433900.0	1073140.0	21719080.0	61786880.0	83275350.0	43750830.0	770670.0	51967500.0	65538410.0	49056880.0	24690770.0	67928910.0	87012980.0	37129530.0	31330690.0	75382310.0	61123560.0	21646230.0	35028520.0	74726830.0	34874120.0	0.0	0.0	4608440.0	59322220.0	100000000.0	37383210.0	18982830.0	61757220.0	31795360.0	35725620.0	72059770.0	66423410.0	0.0	0.0	65023470.0	45862960.0	91102390.0	0.0	48104480.0	73436250.0	34391120.0	0.0	30825740.0	77942580.0	31778380.0	22179030.0	7885020.0	81190880.0	6677010.0	0.0	54485990.0	6767500.0	4938600.0	13008730.0	69817210.0	0.0	27317460.0	0.0	64606680.0	70693190.0	55681640.0	40683700.0	44564310.0	16881300.0	45483040.0	45329480.0	84504280.0	53189730.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia	50350140.0	8142920.0	1860270.0	15968940.0	9592520.0	0.0	1616420.0	526560.0	38966310.0	13995540.0	32800.0	21912940.0	10495190.0	0.0	2103840.0	4112700.0	4141360.0	0.0	3841040.0	2706340.0	802610.0	5527580.0	217390.0	65330.0	12464560.0	1198600.0	29605990.0	11165640.0	26536100.0	0.0	3241680.0	11067880.0	15447640.0	28859870.0	4181810.0	1187620.0	0.0	12309420.0	9492210.0	11887850.0	14323000.0	14249450.0	5271370.0	6339910.0	17906730.0	0.0	461780.0	66267830.0	11609500.0	16168260.0	1002490.0	2146440.0	437170.0	0.0	831000.0	29583670.0	0.0	20752180.0	863390.0	8544020.0	30039440.0	43925520.0	1389110.0	4318970.0	0.0	0.0	427050.0	2029960.0	9447530.0	25286040.0	3056360.0	753030.0	0.0	31700.0	4140420.0	82980.0	25601220.0	11120.0	5888200.0	3435800.0	10747300.0	0.0	1307100.0	2008500.0	36281170.0	22065900.0	18902520.0	2798400.0	14822700.0	21950740.0	11794570.0	29334710.0	0.0	0.0	79362730.0	18632900.0	0.0	13287990.0	76149630.0	24283710.0	6940750.0	21748470.0	17225380.0	70110.0	0.0	0.0	2178660.0	41376290.0	6757760.0	0.0	38244210.0	5084990.0	38496430.0	0.0	9674080.0	6132680.0	11821020.0	1347580.0	8376330.0	6392480.0	20043730.0	53818940.0	4211470.0	71440300.0	0.0	0.0	1746060.0	0.0	20734570.0	5890230.0	13261590.0	14012500.0	30648770.0	28492260.0	865980.0	418350.0	8500710.0	10316270.0	738690.0	8247310.0
k__Bacteria|p__Firmicutes|c__Bacilli	49649860.0	46768870.0	5805460.0	9935580.0	21303900.0	0.0	17013480.0	917810.0	52185610.0	11432230.0	27123930.0	690260.0	46845730.0	296500.0	16313710.0	280820.0	1708490.0	0.0	9425410.0	610730.0	0.0	60288060.0	6005310.0	9868860.0	10669730.0	8552370.0	2492430.0	107540.0	51319550.0	0.0	75520.0	11113640.0	3392940.0	24042000.0	2897870.0	2836260.0	0.0	54868990.0	1911080.0	7734380.0	15317080.0	29065220.0	8295200.0	9553090.0	82093270.0	0.0	520360.0	3199000.0	20927750.0	31211720.0	70569360.0	15800590.0	47870.0	0.0	2654270.0	79550.0	100000000.0	11235340.0	15911240.0	13579580.0	9018080.0	9004630.0	10628010.0	2919670.0	0.0	0.0	2030190.0	14615170.0	5204540.0	14943170.0	14393220.0	19294060.0	1073140.0	21719080.0	424100.0	19990.0	36841010.0	528720.0	2546200.0	120240.0	11430800.0	0.0	21615960.0	49063430.0	32606640.0	31330690.0	41430060.0	1794420.0	21568440.0	33114970.0	145100.0	3111760.0	0.0	0.0	527700.0	273390.0	100000000.0	29511460.0	5097520.0	715910.0	14770910.0	10049960.0	29772710.0	631610.0	0.0	0.0	525280.0	379110.0	91102390.0	0.0	728130.0	310220.0	28458800.0	0.0	982300.0	710660.0	23183560.0	11354240.0	2175190.0	91490.0	0.0	0.0	433570.0	54230.0	4938600.0	7729420.0	1891790.0	0.0	14765360.0	0.0	23224580.0	22263020.0	50598620.0	19596850.0	372800.0	113070.0	32343010.0	26998220.0	26192240.0	1624290.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	50350140.0	0.0	3430.0	0.0	0.0	0.0	6980.0	0.0	23398480.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7330.0	3030.0	177590.0	9200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89320.0	0.0	0.0	0.0	0.0	3620.0	0.0	0.0	452380.0	0.0	20440.0	0.0	0.0	0.0	0.0	0.0	0.0	45640.0	0.0	0.0	0.0	7860.0	0.0	0.0	0.0	0.0	0.0	0.0	7040.0	1510.0	0.0	0.0	0.0	2810.0	0.0	0.0	0.0	21990.0	12140.0	0.0	0.0	0.0	0.0	124220.0	0.0	45620.0	0.0	0.0	0.0	9700.0	411060.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16460.0	0.0	1182080.0	3680.0	259230.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1204920.0	0.0	0.0	0.0	9310.0	0.0	0.0	0.0	0.0	53818940.0	11590.0	0.0	0.0	0.0	5970.0	0.0	624830.0	0.0	4000.0	4140.0	0.0	0.0	0.0	0.0	0.0	0.0	2940.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	49649860.0	0.0	870470.0	0.0	659990.0	0.0	116890.0	0.0	52185610.0	2690080.0	17580.0	0.0	4731790.0	0.0	277240.0	3640.0	0.0	0.0	76750.0	0.0	0.0	26989010.0	0.0	14850.0	1741570.0	628270.0	0.0	0.0	13832500.0	0.0	0.0	0.0	0.0	2460540.0	0.0	0.0	0.0	0.0	0.0	10440.0	695700.0	2263320.0	29920.0	13690.0	3952250.0	0.0	18830.0	0.0	3546370.0	11714910.0	534190.0	0.0	0.0	0.0	46460.0	0.0	100000000.0	4332080.0	37950.0	0.0	881300.0	611850.0	4690.0	0.0	0.0	0.0	0.0	0.0	356630.0	766290.0	359070.0	910.0	0.0	8318260.0	39140.0	0.0	4135220.0	0.0	152760.0	0.0	0.0	0.0	0.0	0.0	7658360.0	1260950.0	0.0	6610.0	1624840.0	5409180.0	0.0	8450.0	0.0	0.0	0.0	23440.0	0.0	6598880.0	0.0	5190.0	3389330.0	2073550.0	0.0	62360.0	0.0	0.0	180.0	0.0	88623310.0	0.0	0.0	0.0	735720.0	0.0	0.0	0.0	189870.0	1684440.0	220.0	19080.0	0.0	0.0	0.0	0.0	0.0	0.0	17900.0	0.0	2074200.0	0.0	14620.0	373280.0	15446830.0	1340850.0	3270.0	0.0	538530.0	1864340.0	20750.0	16970.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	50350140.0	0.0	3430.0	0.0	0.0	0.0	6980.0	0.0	23398480.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7330.0	3030.0	177590.0	9200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89320.0	0.0	0.0	0.0	0.0	3620.0	0.0	0.0	452380.0	0.0	20440.0	0.0	0.0	0.0	0.0	0.0	0.0	45640.0	0.0	0.0	0.0	7860.0	0.0	0.0	0.0	0.0	0.0	0.0	7040.0	1510.0	0.0	0.0	0.0	2810.0	0.0	0.0	0.0	21990.0	12140.0	0.0	0.0	0.0	0.0	124220.0	0.0	45620.0	0.0	0.0	0.0	9700.0	411060.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16460.0	0.0	1182080.0	3680.0	259230.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1204920.0	0.0	0.0	0.0	9310.0	0.0	0.0	0.0	0.0	53818940.0	11590.0	0.0	0.0	0.0	5970.0	0.0	624830.0	0.0	4000.0	4140.0	0.0	0.0	0.0	0.0	0.0	0.0	2940.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	49649860.0	0.0	515020.0	0.0	0.0	0.0	68690.0	0.0	52185610.0	0.0	0.0	0.0	2677710.0	0.0	7090.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29920.0	13690.0	3952250.0	0.0	18830.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46460.0	0.0	100000000.0	0.0	430.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17390.0	0.0	100500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88623310.0	0.0	0.0	0.0	735720.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	830.0	0.0	2849560.0	0.0	3270.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	50350140.0	0.0	3430.0	0.0	0.0	0.0	3130.0	0.0	23398480.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7330.0	0.0	33570.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3620.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1510.0	0.0	0.0	0.0	7860.0	0.0	0.0	0.0	0.0	0.0	0.0	7040.0	1510.0	0.0	0.0	0.0	2810.0	0.0	0.0	0.0	12240.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41070.0	0.0	0.0	0.0	9700.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1204920.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53818940.0	11590.0	0.0	0.0	0.0	0.0	0.0	624830.0	0.0	4000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	49649860.0	0.0	515020.0	0.0	0.0	0.0	68690.0	0.0	52185610.0	0.0	0.0	0.0	2677710.0	0.0	7090.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29920.0	13690.0	3952250.0	0.0	18830.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46460.0	0.0	100000000.0	0.0	430.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17390.0	0.0	100500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88623310.0	0.0	0.0	0.0	735720.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	830.0	0.0	2849560.0	0.0	3270.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	50350140.0	0.0	3430.0	0.0	0.0	0.0	3130.0	0.0	23398480.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7330.0	0.0	33570.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3620.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1510.0	0.0	0.0	0.0	7860.0	0.0	0.0	0.0	0.0	0.0	0.0	7040.0	1510.0	0.0	0.0	0.0	2810.0	0.0	0.0	0.0	12240.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41070.0	0.0	0.0	0.0	9700.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1204920.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53818940.0	11590.0	0.0	0.0	0.0	0.0	0.0	624830.0	0.0	4000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
