taxon,lfc_(Intercept),lfc_GGT,lfc_Age,lfc_Sexmale,se_(Intercept),se_GGT,se_Age,se_Sexmale,W_(Intercept),W_GGT,W_Age,W_Sexmale,p_(Intercept),p_GGT,p_Age,p_Sexmale,q_(Intercept),q_GGT,q_Age,q_Sexmale,diff_(Intercept),diff_GGT,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_GGT,passed_ss_Age,passed_ss_Sexmale
Cutibacterium_acnes,1.0520504674889362,-0.001870737925571339,-0.01711977198415256,-0.10204817400999801,0.2600536559164876,6.867129568863343e-4,0.008163965308848569,0.23058104430978738,4.045513083756787,-2.724191973970554,-2.0969922502729377,-0.44256965838395423,0.002904436843432964,0.023446372430395948,0.06543687390256328,0.6685222421383767,0.020095563024833483,0.03391113752644838,0.18012730880705594,0.8687395633879413,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Staphylococcus_aureus,1.2926489708030173,0.05852194581951822,-0.07311741767263297,-0.24249913595180575,0.26708774216625086,7.647356952987189e-4,0.007961997198819655,0.2546818665589082,4.839791449502006,76.52571493561386,-9.183301104837417,-0.9521649076484817,0.01682549871157138,4.917922127124763e-6,0.002730480470570273,0.4112585822571936,0.0590044886323599,1.3835033676307027e-5,0.024103551740206546,0.5881686986471596,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Streptococcus_mitis,-3.515175606825804,0.03622407554404919,0.025393402992139203,3.0542593799315534,0.317012627204797,7.863148315807538e-4,0.009639438069013908,0.2976347764529142,-11.088440349585586,46.068157548582384,2.634323993819371,10.261769193542936,1.078516341943803e-5,5.936356301536116e-10,0.0337002055673251,1.8038726583491485e-5,8.160632313273996e-4,3.377127140429435e-9,0.11503003500313635,7.6965233422897e-4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Streptococcus_sanguinis,-1.3403736648921623,0.0424964785485667,0.0021720157189466164,1.3160010385692642,0.44618088903411207,8.933913110940937e-4,0.013406409409361554,0.4706509344977347,-3.0041037118236726,47.56759778256998,0.16201323207613821,2.7961296623657255,0.013250418557374553,4.066402497635471e-13,0.8745222223989548,0.01891975562273882,0.049679104144375805,6.506243996216754e-12,1,0.06457943252561517,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Actinomyces_sp_ICM47,1.8474104225264187,-0.05418258356816094,-0.061542945191608946,1.6734377446116118,0.253371562438868,5.81158585589801e-4,0.007587382302554493,0.15527660732146384,7.291309272216179,-93.2320108687246,-8.111222387052894,10.777140056564676,0.01829539103663508,1.1502571980675832e-4,0.01486144994893191,0.00850017666496878,0.06244826807171441,2.5830337079412396e-4,0.06575764274413541,0.04105745709871712,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Enterocloster_clostridioformis,0.6009127596881525,-5.236924727729516e-4,-0.01678470107794946,0.5178769224909919,0.8390787790945026,0.0013935075891584863,0.021263398615778667,0.7248928163170262,0.716157737103817,-0.37580884155012023,-0.7893705696461074,0.714418615875071,0.48217306673303784,0.711015596649798,0.43915396823728214,0.4832241932731196,0.7013426425207824,0.8922548663840602,0.6652273128328061,0.6687573287466474,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Ruminococcus_gnavus,0.8030616323748967,3.1341604360491884e-4,-0.011531795671039699,-0.09995768322049259,0.5547144740331361,9.785536866181255e-4,0.014592982669912453,0.50915897712346,1.4477026830327948,0.3202849755623347,-0.7902288333978321,-0.19631920031188022,0.15880538695096,0.7511302990872814,0.4360361016787543,0.8457782756537219,0.2803736486858328,0.9289340896924831,0.6644359644628637,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Longicatena_caecimuris,-0.06289027475622815,0.05627855049960271,-0.1506341853277513,3.3592050226228674,0.44397453700384504,6.460456020130896e-4,0.009509096404227315,0.2777414429000696,-0.14165288662868403,87.11234984688038,-15.841061960501962,12.094720138079998,0.9003349936008477,1.3175123875969552e-4,0.003961364781872564,0.006766789996172089,1,2.9076135450415563e-4,0.029826746592922837,0.035794540280490554,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Clostridium_symbiosum,-0.727506985857437,0.021247373383786572,0.018304675498241593,0.2281496354144157,0.6481883244604905,9.340871257057131e-4,0.015391837724680746,0.5500081316717239,-1.1223697780470918,22.746671910004057,1.1892456135299636,0.4148113860079952,0.2756890231254154,3.0328901770799866e-15,0.24899360112294855,0.6829261964491691,0.4495311459879385,7.636321952928978e-14,0.44165238057474054,0.8741455314549365,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Eisenbergiella_massiliensis,-1.123683334303843,0.08021512883806103,-0.0025718067299789395,-1.1386878820910105,0.2559967669980186,5.849226005241414e-4,0.0076904375938703,0.1585077535362927,-4.389443458528288,137.1380226480928,-0.33441617574906407,-7.183799257052059,0.14260046132993748,0.004642100541876262,0.7945470139747538,0.0880529828033864,0.262631065470964,0.007617806017437969,1,0.1862827025566228,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Streptococcus_thermophilus,-0.9349035024411467,-0.0010233690478095277,0.02655441529591009,0.9922919605305306,0.7264204340953667,0.001558811566514699,0.019089829005119355,0.7969627637459239,-1.2870005558219328,-0.6565059368257373,1.3910242615996686,1.2450919988614157,0.209018829886198,0.5170554063959514,0.17557602273979783,0.22379633374905702,0.3497308526200437,0.6651567037053445,0.3280836629298412,0.36032617257709815,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Eggerthella_lenta,-0.3756724963033008,0.004895373187788928,0.017438187114603522,0.30784522722793983,0.7634778395819176,0.0010699855271116122,0.01662950079512177,0.6002096596032376,-0.4920542245325942,4.575177012911393,1.0486296209035317,0.5128961560389377,0.6280385550203876,1.8364668257914556e-4,0.30685608982855694,0.6136426418402772,0.8597747063380707,3.9507185496017865e-4,0.5047028727265326,0.8210648391694644,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Lancefieldella_parvula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Erysipelatoclostridium_ramosum,-0.24660433562906325,-0.002628467192200717,0.020410749451062398,0.0834777076360582,0.6236044166968792,6.522254769324461e-4,0.013076643945415172,0.4685027182475143,-0.3954499503632162,-4.029997731095928,1.560855333850292,0.17817977225044862,0.696499393930873,6.047736421184046e-4,0.1335023797451259,0.8602894423347762,0.9484247066292739,0.0012095472842368093,0.2778586115020507,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Ruminococcus_torques,-0.38618485863147484,-0.003929084490386739,0.019576415968332875,0.8014527342518731,0.7697981363112293,0.0010243178783923715,0.01970484409239757,0.6280112493648131,-0.5016702956466244,-3.83580583066,0.9934824085152623,1.2761757612821159,0.620470565407025,7.970308527641788e-4,0.33038649965629985,0.2141056998316818,0.8539809932483786,0.00156953767928946,0.5319430434717785,0.35153614177896986,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Hungatella_hathewayi,0.1129816444641226,0.012934938394979442,-0.006119227126272996,0.34221614781822984,0.3832372112768722,7.405815523982946e-4,0.011566293119192956,0.3609517935920421,0.29480864889839276,17.465920333947043,-0.5290568951705737,0.9480937728903827,0.7736295317311357,2.2741597595783175e-9,0.6072767569108433,0.3634455134517789,0.997263717658275,1.1195863431770179e-8,0.8589107722053916,0.5316688653923165,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Enterocloster_lavalensis,1.9172256294512984,-0.041636269981757054,-0.055126308648314123,3.664774661998466,0.3107440022996276,6.560197238925087e-4,0.01010843952078877,0.2647371701932353,6.169791259889414,-63.46801546561321,-5.453493443270121,13.843068048674452,0.0035042530959294117,3.6915874231083483e-7,0.00549379139645066,1.5785639336747182e-4,0.022427219813948237,1.2434820793628119e-6,0.03771181817767932,0.002886516907290913,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Flavonifractor_plautii,0.4055871352419385,-0.0068524046400733965,0.005751861764436574,0.23355943346533928,0.5933492224293623,8.488813578128925e-4,0.014481023818415392,0.4581750392406717,0.6835555182516875,-8.072276033635998,0.3971999381094852,0.5097602738298767,0.5020991057862135,1.0141577859639872e-7,0.6954270550725052,0.6157986293770983,0.7140965060070593,3.70891990295401e-7,0.9129709030695453,0.8210648391694644,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Faecalimonas_umbilicata,-0.6143081872302739,-0.019807827725717687,0.025785240679976347,1.1605506594366313,0.5268909071810481,8.923366058079056e-4,0.01336278208762297,0.45451381524550116,-1.1659115366346373,-22.197708349960646,1.9296311584590944,2.5533891831423676,0.264595813299274,1.015389227023775e-11,0.07576693989360722,0.024037965889388946,0.43420851413214195,8.664654737269548e-11,0.19996223312127268,0.0741411959961876,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Blautia_hansenii,1.1178203651436973,-0.029790377341739803,0.011034227735018573,-0.798587450749417,0.38286879754465664,8.262565581133311e-4,0.009652501255796916,0.3722475446036783,2.9195911819200107,-36.054633454,1.143146987770848,-2.145312876676328,0.011199807452016595,3.2812320891491704e-15,0.272149744473555,0.049951052644508935,0.045510328693908704,7.636321952928978e-14,0.46586183195813496,0.12295643727879123,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Enterocloster_aldenensis,-0.7359449024061788,-0.004989624141157291,0.052467901293404326,-0.4957869442803375,0.5437618214058924,9.439765432864273e-4,0.010969236294867573,0.501597977182325,-1.353432465161674,-5.285750135046849,4.783186347982464,-0.9884149594569133,0.1947305845892876,7.389409236917654e-5,2.031764217712862e-4,0.33766224391520394,0.33321806691614264,1.7042241122981256e-4,0.008668860662241543,0.5055060493701299,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Oliverpabstia_intestinalis,-2.9984225745913884,0.06622791030682765,0.052098991310912356,0.42537378519027935,0.3545397380406062,7.244740449091803e-4,0.01110985183194042,0.3114120487380029,-8.457225672818579,91.4151594142064,4.689440696331309,1.3659515966517877,6.381214217119607e-5,4.937604957590562e-12,0.0022359681113525718,0.21421733639655977,0.001485082581438745,4.514381675511371e-11,0.023850326521094097,0.35153614177896986,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
