taxon,lfc_(Intercept),lfc_Elastase,lfc_Age,lfc_Sexmale,se_(Intercept),se_Elastase,se_Age,se_Sexmale,W_(Intercept),W_Elastase,W_Age,W_Sexmale,p_(Intercept),p_Elastase,p_Age,p_Sexmale,q_(Intercept),q_Elastase,q_Age,q_Sexmale,diff_(Intercept),diff_Elastase,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_Elastase,passed_ss_Age,passed_ss_Sexmale
Streptococcus_mitis,-1.0847451576556713,0.0023732093219727326,0.008411281954336824,-1.332025637437331,0.5881359079795563,0.002099372099642055,0.01789761068068695,0.8085394571756792,-1.8443783876113498,1.130437678188334,0.46996675167447444,-1.6474466714218856,0.16232926484979188,0.3405010920755612,0.6704315519588389,0.19802300072562032,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_sanguinis,-3.388817673319516,0.022919989523547304,0.1560885523867728,-4.127375281122692,0.5630398166977759,0.014457964146273965,0.2821858025822757,6.972400696224586,-6.018788676784717,1.585284711710544,0.5531410544343837,-0.5919589910197763,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_sp_ICM47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Enterocloster_clostridioformis,-130.40007044660342,7.889379654744586,0.365401568658144,12.245359878186187,1.5023003131152475,0.015596336424776487,0.2676141724477267,7.141151257913421,-86.80026843381208,505.84826076279313,1.365404400357452,1.7147599085814869,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Ruminococcus_gnavus,-0.5722166761945071,0.0014177875286696473,-0.005283326452621747,-0.8563499206595948,1.52012440844695,0.014992971857279496,0.24740360608816767,6.693187749474318,-0.3764275298882398,0.09456347561816257,-0.021355090720621583,-0.12794350804321192,0.7126712094240073,0.926103581624768,0.9832866965881814,0.9001517066113199,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Longicatena_caecimuris,0.36546248055760144,-0.019414515237084585,-0.1476864365322719,5.402307258569418,0.5585248412809373,0.0013788641136949296,0.01263818751782542,0.5032429639591919,0.6543352301384466,-14.080078699749235,-11.68572916994378,10.734988157743011,0.6311318090374536,0.04513842624502637,0.054345994934478316,0.059132610050112604,1,0.8124916724104747,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Clostridium_symbiosum,-0.846414681340327,-0.0025809184206310996,-0.01771519494010769,NA,3.637219826113225,0.014566469296294479,0.08950925002210335,NA,-0.23270924546917351,-0.17718215499809908,-0.1979146840771553,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_thermophilus,-0.3358391381341126,-0.011172234873611393,0.032894735945384015,-2.4064191658696372,3.4844610387534525,0.02027186123586069,0.32211872230214295,9.051177603125026,-0.09638194670538124,-0.5511203309663465,0.10211991314969021,-0.26586807500482507,0.9278530962647191,0.6108865783822115,0.9235760101320374,0.8034818936825394,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Eggerthella_lenta,0.34373363894970166,-0.004177142922459029,-7.975640976667859e-4,-1.9132299262673904,4.187748734062313,0.021402731777367467,0.2898487362549204,9.062946152769257,0.08208076959198644,-0.19516868061095785,-0.0027516562879381767,-0.2111046335283353,0.9360570037022605,0.8488190787401432,0.9978537674201524,0.8366656245326961,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Erysipelatoclostridium_ramosum,-0.19661930339262443,0.0011387447484543082,-0.018496010569768816,-0.7138823790072997,0.9356915737413817,0.01381606319902851,0.2673722452355251,6.607493669550158,-0.21013260021829433,0.08242179642999752,-0.06917700284663389,-0.10804132621377163,0.8388172115501871,0.9363362256532992,0.9465465994566188,0.9166234938568514,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
