taxon,lfc_(Intercept),lfc_ppFEV1,lfc_Age,lfc_Sexmale,se_(Intercept),se_ppFEV1,se_Age,se_Sexmale,W_(Intercept),W_ppFEV1,W_Age,W_Sexmale,p_(Intercept),p_ppFEV1,p_Age,p_Sexmale,q_(Intercept),q_ppFEV1,q_Age,q_Sexmale,diff_(Intercept),diff_ppFEV1,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_ppFEV1,passed_ss_Age,passed_ss_Sexmale
Cutibacterium_acnes,0.27488413713135246,0.0010494525676318068,-0.020781911755280824,-0.5060842366204592,2.2174488135565715,0.020700605912535433,0.026202335647845777,0.24343752324338683,0.12396414088605956,0.05069670772275808,-0.7931320335173787,-2.078908090575997,0.9040681086623965,0.9606745317116347,0.44810432760345853,0.06738433024999271,1,1,0.8449417338582412,0.14024706133331818,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Staphylococcus_aureus,5.0615547617576935,-0.040766866027810884,-0.1339355416931046,0.7924746624799176,2.312870241356962,0.021517715344518885,0.027039750867804937,0.27808183823266097,2.1884300602994817,-1.89457223385917,-4.953283125569617,2.8497893552360756,0.11642542560490468,0.15445599683839722,0.01579333601770895,0.06512029853794651,0.4807243379815419,0.5290245786524719,0.22461633447408283,0.13884583211049165,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_mitis,0.5266753051389701,-0.024743016219341964,-0.018770713683768335,1.5760951151706548,2.269928977560204,0.021433606712389586,0.02658206324928269,0.2973977105152597,0.23202281231946667,-1.1544028287614045,-0.7061420894134265,5.299620876166039,0.8231574490757255,0.2862192484479563,0.5029178815238342,0.0011238305629994098,1,0.6520254304239822,0.8780968930293711,0.010777050719328466,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Streptococcus_sanguinis,-7.076916976390343,0.061227157576695605,0.032219836190894004,1.7914923585078584,2.4896865076358634,0.023831118787186623,0.030537592546267242,0.4247608048635119,-2.8424932033352204,2.569210372515782,1.0550876314849642,4.217649881993037,0.017473538683693203,0.027928468512883574,0.3162093382296589,0.0017782309082216596,0.20612055812796007,0.23524499301754911,0.6652975404426112,0.013006488928706995,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Actinomyces_sp_ICM47,-0.9537789305944344,0.011323160742107099,-0.04319208898174794,1.2255827594273725,2.2979208635813593,0.02138580785372154,0.0268322758736393,0.17593302328284066,-0.4150616958618624,0.5294707976222957,-1.6097065036581908,6.966189385929274,0.718385421736519,0.6493754884385723,0.24874786388993303,0.019990905587162926,1,1,0.5781084395503697,0.0687249907621857,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Enterocloster_clostridioformis,3.970353244144031,-0.04195814245787354,-0.05738327278466906,0.15644308420137773,2.5473553561470474,0.024152622773495867,0.03300577313220403,0.6490223927832117,1.5586177384176627,-1.7372085363713272,-1.7385829004768771,0.24104420115691338,0.13477090087164095,0.09772746397151476,0.0974801385053704,0.81197474635198,0.5025486990919359,0.4313488064949617,0.4259401690373,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Ruminococcus_gnavus,-1.3542324680127584,0.017238123699071635,-0.0036924827316804315,-0.38529356712835583,2.218818294084732,0.019928986154341403,0.027597977182278362,0.49474960838856896,-0.6103395089282797,0.8649774537234258,-0.13379541215257998,-0.7787647743335898,0.5465593208979973,0.3944017339231052,0.8945213938786705,0.442650451524249,0.9138462040998688,0.7717218956276845,1,0.626069146907225,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Longicatena_caecimuris,2.9292085963457253,-0.028637497176432204,-0.18199738381711797,3.864631860988762,2.346566627809405,0.021758646217972417,0.027474263599955,0.3047713138846201,1.248295514660172,-1.3161433339900497,-6.624286148925791,12.680431802226076,0.33824125667571814,0.3187307323178795,0.022038278007908557,0.006161740557069931,0.7662810770706535,0.6914836226557386,0.25416244170237423,0.030929521227645144,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Clostridium_symbiosum,4.9431036433557285,-0.060353270682664745,-0.0522018597986119,0.4458783384733615,2.2686443045263247,0.0198881613493495,0.029888222306855068,0.4969090324550199,2.178879974041506,-3.0346329971140733,-1.7465695772290561,0.8973037504882191,0.042134464528817986,0.00681767657422046,0.09685918640036138,0.3807864486173609,0.3125583770417656,0.10266618841179045,0.4259401690373,0.5602375335979562,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Eisenbergiella_massiliensis,10.409531704382792,-0.10304899645646205,-0.1263947611576944,-2.3818098809474693,2.353539836839578,0.02196118482368899,0.027478089923444228,0.232804203778504,4.422925646485382,-4.692324083776465,-4.5998379621668954,-10.230957355106806,0.1415563144856634,0.13367283661150509,0.1362799188760248,0.06202781948199027,0.5025486990919359,0.5184885783718985,0.4416159396488905,0.13571898963580778,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_thermophilus,-5.39949860938796,0.040325757220966436,0.057698336427752905,0.5801148865410459,3.1527111464059705,0.02977857392093072,0.036742108432138,0.7201401641623939,-1.7126524945183397,1.354186984509098,1.5703599736068679,0.8055583001897783,0.09823967350073892,0.18690290259912604,0.12797793893596782,0.42753541175347676,0.4663064788658991,0.5563621286671658,0.4374120342335666,0.6148823899375845,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Eggerthella_lenta,1.2091368230168915,-0.022004162725607738,-0.01053516266497046,0.23910767965634014,2.192300501884365,0.020002782096203382,0.028586808646781346,0.574521884671702,0.5515379036667614,-1.1000551133226726,-0.36853231135881404,0.416185503173605,0.5873750029919017,0.2843731909616589,0.7163485140221819,0.6817063948893796,0.9576138187529962,0.6520254304239822,1,0.881398167129703,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Lancefieldella_parvula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
