"Taxon","Species","Time","ClinVar","lfc","q","diff","sign"
"Akkermansia_muciniphila","Akkermansia_muciniphila","T0","ppFEV1",0.182713636023113,0.0458949941977295,TRUE,"+"
"Bifidobacterium_pseudocatenulatum","Bifidobacterium_pseudocatenulatum","T0","ppFEV1",0.178801103842333,0.0458949941977295,TRUE,"+"
"Evtepia_gabavorous","Evtepia_gabavorous","T0","ppFEV1",0.171200303113893,0.0458949941977295,TRUE,"+"
"Gemmiger_formicilis","Gemmiger_formicilis","T0","ppFEV1",0.15539116167348,0.0458949941977295,TRUE,"+"
"Candidatus_Cibionibacter_quicibialis","Candidatus_Cibionibacter_quicibialis","T0","ppFEV1",0.128616018959307,0.0324542761410024,TRUE,"+"
"Clostridiaceae_bacterium","Clostridiaceae_bacterium","T0","ppFEV1",0.109163592533333,0.0324542761410024,TRUE,"+"
"Blautia_obeum","Blautia_obeum","T0","ppFEV1",0.0917603228281119,0.0324542761410024,TRUE,"+"
"Clostridium_sp_C5_48","Clostridium_sp_C5_48","T0","ALT",-1.05467883836505,0.0279089470032066,TRUE,"-"
"Bifidobacterium_breve","Bifidobacterium_breve","T0","ALT",0.556819866644277,0.00395922958635544,TRUE,"+"
"Longicatena_caecimuris","Longicatena_caecimuris","T0","ALT",0.446656431441534,0.00576348439474235,TRUE,"+"
"Alistipes_dispar","Alistipes_dispar","T0","ALT",-0.368822328321253,0.00651988037319481,TRUE,"-"
"Bittarella_massiliensis","Bittarella_massiliensis","T0","ALT",0.210020410639795,0.013421344314562,TRUE,"+"
"Actinomyces_naeslundii","Actinomyces_naeslundii","T0","ALT",0.197494352122822,0.0013312292684242,TRUE,"+"
"Bifidobacterium_pseudocatenulatum","Bifidobacterium_pseudocatenulatum","T0","ALT",0.19426454529096,0.00270914217099406,TRUE,"+"
"Zhenpiania_hominis","Zhenpiania_hominis","T0","ALT",-0.193728259418821,0.0151690648164014,TRUE,"-"
"Enterocloster_citroniae","Enterocloster_citroniae","T0","ALT",0.186766442905398,0.0013312292684242,TRUE,"+"
"GGB9715_SGB15265","GGB9715_SGB15265","T0","ALT",-0.172680772502644,0.0013312292684242,TRUE,"-"
"Anaerotruncus_colihominis","Anaerotruncus_colihominis","T0","ALT",0.170586536395483,0.0162423199949952,TRUE,"+"
"Clostridium_spiroforme","Clostridium_spiroforme","T0","ALT",-0.163423346007169,0.000157874277967064,TRUE,"-"
"Lachnospiraceae_bacterium","Lachnospiraceae_bacterium","T0","ALT",0.149174766345088,0.0198647967904063,TRUE,"+"
"Bifidobacterium_animalis","Bifidobacterium_animalis","T0","ALT",0.147480956943718,0.0013312292684242,TRUE,"+"
"Hydrogeniiclostridium_mannosilyticum","Hydrogeniiclostridium_mannosilyticum","T0","ALT",0.141318408896917,0.00651988037319481,TRUE,"+"
"Actinomyces_massiliensis","Actinomyces_massiliensis","T0","ALT",0.105591856944492,0.0304717432603559,TRUE,"+"
"Clostridium_methylpentosum","Clostridium_methylpentosum","T0","ALT",0.0967851048217752,0.031365098524595,TRUE,"+"
"Vescimonas_coprocola","Vescimonas_coprocola","T0","ALT",0.0952407582132249,0.00270914217099406,TRUE,"+"
"Turicibacter_bilis","Turicibacter_bilis","T0","ALT",0.0940204485076911,0.0013312292684242,TRUE,"+"
"Roseburia_intestinalis","Roseburia_intestinalis","T0","ALT",-0.0938046227188809,0.00221760811674911,TRUE,"-"
"Clostridium_leptum","Clostridium_leptum","T0","ALT",-0.0917924502912328,0.0122151648289655,TRUE,"-"
"Dysosmobacter_welbionis","Dysosmobacter_welbionis","T0","ALT",-0.0790612940340971,0.00221760811674911,TRUE,"-"
"Faecalibacterium_sp_CLA_AA_H233","Faecalibacterium_sp_CLA_AA_H233","T0","ALT",0.0733734821661014,0.0470550164845445,TRUE,"+"
"Anaeromassilibacillus_senegalensis","Anaeromassilibacillus_senegalensis","T0","ALT",0.0711125762800103,0.0102725687114677,TRUE,"+"
"Enterocloster_lavalensis","Enterocloster_lavalensis","T0","ALT",-0.0664943880682482,0.012193979442615,TRUE,"-"
"Clostridium_saudiense","Clostridium_saudiense","T0","ALT",0.0645448119961108,0.0151690648164014,TRUE,"+"
"Evtepia_gabavorous","Evtepia_gabavorous","T0","ALT",0.0607995175954628,0.0153121477913171,TRUE,"+"
"Enterococcus_faecium","Enterococcus_faecium","T0","ALT",0.05789140729912,0.0102725687114677,TRUE,"+"
"Clostridioides_difficile","Clostridioides_difficile","T0","ALT",-0.0577040461011835,0.0267667780209849,TRUE,"-"
"Dialister_invisus","Dialister_invisus","T0","ALT",0.0544634142341686,0.010264607305701,TRUE,"+"
"Veillonella_dispar","Veillonella_dispar","T0","ALT",0.0512839078026358,0.023144001616835,TRUE,"+"
"Lachnospira_pectinoschiza","Lachnospira_pectinoschiza","T0","ALT",0.0508464613380451,0.0330864697472752,TRUE,"+"
"Ruminococcus_bicirculans","Ruminococcus_bicirculans","T0","ALT",-0.0501167035368862,0.0470550164845445,TRUE,"-"
"Latilactobacillus_sakei","Latilactobacillus_sakei","T0","ALT",-0.0496796575879896,0.0151690648164014,TRUE,"-"
"Bilophila_wadsworthia","Bilophila_wadsworthia","T0","ALT",0.0486103746972913,0.0102725687114677,TRUE,"+"
