"Taxon","Species","Time","ClinVar","lfc","q","diff","sign"
"Akkermansia_muciniphila","Akkermansia_muciniphila","T0","ppFEV1",0.182713636023113,0.0458949941977295,TRUE,"+"
"Bifidobacterium_pseudocatenulatum","Bifidobacterium_pseudocatenulatum","T0","ppFEV1",0.178801103842333,0.0458949941977295,TRUE,"+"
"Evtepia_gabavorous","Evtepia_gabavorous","T0","ppFEV1",0.171200303113893,0.0458949941977295,TRUE,"+"
"Gemmiger_formicilis","Gemmiger_formicilis","T0","ppFEV1",0.15539116167348,0.0458949941977295,TRUE,"+"
"Candidatus_Cibionibacter_quicibialis","Candidatus_Cibionibacter_quicibialis","T0","ppFEV1",0.128616018959307,0.0324542761410024,TRUE,"+"
"Clostridiaceae_bacterium","Clostridiaceae_bacterium","T0","ppFEV1",0.109163592533333,0.0324542761410024,TRUE,"+"
"Blautia_obeum","Blautia_obeum","T0","ppFEV1",0.0917603228281119,0.0324542761410024,TRUE,"+"
"Hydrogeniiclostridium_mannosilyticum","Hydrogeniiclostridium_mannosilyticum","T12","ALT",1.43884753119337,0.00177222286769516,TRUE,"+"
"Clostridium_sp_C5_48","Clostridium_sp_C5_48","T0","ALT",-1.05467883836505,0.0279089470032066,TRUE,"-"
"Roseburia_lenta","Roseburia_lenta","T12","ALT",0.813424596339587,0.00286551528853303,TRUE,"+"
"Gordonibacter_pamelaeae","Gordonibacter_pamelaeae","T12","ALT",-0.5833907819233,0.00381190548051753,TRUE,"-"
"Bifidobacterium_breve","Bifidobacterium_breve","T0","ALT",0.556819866644277,0.00395922958635544,TRUE,"+"
"Lactonifactor_longoviformis","Lactonifactor_longoviformis","T12","ALT",-0.526669601333334,0.00414944793041995,TRUE,"-"
"Longicatena_caecimuris","Longicatena_caecimuris","T0","ALT",0.446656431441534,0.00576348439474235,TRUE,"+"
"Alistipes_dispar","Alistipes_dispar","T0","ALT",-0.368822328321253,0.00651988037319481,TRUE,"-"
"GGB9730_SGB15291","GGB9730_SGB15291","T12","ALT",0.354243126267242,0.00610933290757528,TRUE,"+"
"Latilactobacillus_sakei","Latilactobacillus_sakei","T12","ALT",-0.229695570742102,0.0104647136300657,TRUE,"-"
"Bittarella_massiliensis","Bittarella_massiliensis","T0","ALT",0.210020410639795,0.013421344314562,TRUE,"+"
"Actinomyces_naeslundii","Actinomyces_naeslundii","T0","ALT",0.197494352122822,0.0013312292684242,TRUE,"+"
"Bifidobacterium_pseudocatenulatum","Bifidobacterium_pseudocatenulatum","T0","ALT",0.19426454529096,0.00270914217099406,TRUE,"+"
"Zhenpiania_hominis","Zhenpiania_hominis","T0","ALT",-0.193728259418821,0.0151690648164014,TRUE,"-"
"Enterocloster_citroniae","Enterocloster_citroniae","T0","ALT",0.186766442905398,0.0013312292684242,TRUE,"+"
"Clostridium_saccharogumia","Clostridium_saccharogumia","T12","ALT",0.177875010502854,0.0113399816024667,TRUE,"+"
"GGB9715_SGB15265","GGB9715_SGB15265","T0","ALT",-0.172680772502644,0.0013312292684242,TRUE,"-"
"Anaerotruncus_colihominis","Anaerotruncus_colihominis","T0","ALT",0.170586536395483,0.0162423199949952,TRUE,"+"
"Clostridium_spiroforme","Clostridium_spiroforme","T0","ALT",-0.163423346007169,0.000157874277967064,TRUE,"-"
"Massilioclostridium_coli","Massilioclostridium_coli","T12","ALT",0.156465384531487,0.0133028268219421,TRUE,"+"
"Roseburia_lenta","Roseburia_lenta","T12","AST",-5.6035298061769,0.00944760455116157,TRUE,"-"
"GGB9699_SGB15216","GGB9699_SGB15216","T12","AST",1.1965099030849,0.0284189462689266,TRUE,"+"
"Longicatena_caecimuris","Longicatena_caecimuris","T0","AST",1.0630495087664,0.0100563308899315,TRUE,"+"
"Acidaminococcus_intestini","Acidaminococcus_intestini","T12","AST",0.498741253766272,0.000997158051277354,TRUE,"+"
"Alistipes_dispar","Alistipes_dispar","T0","AST",-0.442885640504911,0.0209502102717118,TRUE,"-"
"Zhenpiania_hominis","Zhenpiania_hominis","T0","AST",-0.438227307467974,0.0209502102717118,TRUE,"-"
"Anaerotruncus_colihominis","Anaerotruncus_colihominis","T0","AST",0.400602941555534,0.0217121106072202,TRUE,"+"
"Bifidobacterium_breve","Bifidobacterium_breve","T0","AST",0.395148959188374,0.0223003783797918,TRUE,"+"
"Bifidobacterium_pseudocatenulatum","Bifidobacterium_pseudocatenulatum","T0","AST",0.288173608780549,0.0085771762038502,TRUE,"+"
"Bittarella_massiliensis","Bittarella_massiliensis","T0","AST",0.251576401562627,0.0420784055325172,TRUE,"+"
"Bifidobacterium_animalis","Bifidobacterium_animalis","T0","AST",0.242576168282061,0.00317031314777029,TRUE,"+"
"Clostridium_spiroforme","Clostridium_spiroforme","T0","AST",-0.223397563571692,0.00259582974603317,TRUE,"-"
"Clostridium_SGB6173","Clostridium_SGB6173","T12","AST",-0.217236108014665,0.000300165945325826,TRUE,"-"
"Oscillibacter_valericigenes","Oscillibacter_valericigenes","T12","AST",-0.215631426814996,0.0165066292228587,TRUE,"-"
"Lactobacillus_gasseri","Lactobacillus_gasseri","T12","AST",0.201358181099992,0.0202533659547524,TRUE,"+"
