taxon,lfc_(Intercept),lfc_Calprotectin,lfc_Age,lfc_Sexmale,se_(Intercept),se_Calprotectin,se_Age,se_Sexmale,W_(Intercept),W_Calprotectin,W_Age,W_Sexmale,p_(Intercept),p_Calprotectin,p_Age,p_Sexmale,q_(Intercept),q_Calprotectin,q_Age,q_Sexmale,diff_(Intercept),diff_Calprotectin,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_Calprotectin,passed_ss_Age,passed_ss_Sexmale
Cutibacterium_acnes,30.580306181509997,-1.1720009786900751,-0.3817297147824094,NA,1.8863774941790683,0.06451838505796438,0.01749769766377284,NA,16.211127558441436,-18.165379955451925,-21.81599671668468,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_mitis,0.5611680806463448,-0.04131405494123942,0.006826297073798145,-1.1155749310411098,7.390876072156729,0.2961305651164546,0.063350172570437,2.8253699974129445,0.07592713978257662,-0.13951297099302296,0.10775498782119665,-0.3948420674327922,0.94194545587776,0.8936100359650929,0.9177030072890818,0.7066132319117131,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_sanguinis,-2.1186838191140804,-0.025321069403574207,0.02297237449485223,1.1146396219166468,2.015647471480089,0.06989187717764966,0.016897917602896915,0.28734402980769763,-1.0511182382295907,-0.3622891589993163,1.3594796136841105,3.8791118182013706,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_sp_ICM47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Lancefieldella_parvula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Schaalia_odontolytica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_salivarius,-1.924829492413096,-0.05580166310788811,0.04537581723455491,1.0111969754640324,3.0535393238598734,0.10790945417807418,0.02126138626285062,0.8185604905177188,-0.6303601454786525,-0.5171156089419484,2.1341890257569287,1.2353356742450101,0.5928797814471792,0.6565822355817782,0.16640636031094158,0.3421293828841223,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_graevenitzii,-4.573717538646254,-0.009581693826788135,0.048908160158211124,3.4752120866795915,4.161943630049216,0.15189305960823868,0.02662672376916301,1.1003540537664789,-1.0989378870064535,-0.06308184094455112,1.8368072836228067,3.1582671729922245,0.3334953023806298,0.952727800668877,0.1401163679784176,0.03424096757130714,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Solobacterium_moorei,-1.1350289925001467,0.10117722249980844,-0.045239029108889814,NA,1.8932137685180301,0.06510917961303826,0.017359182841493636,NA,-0.5995250041883144,1.5539624842630866,-2.6060575271293884,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Gemella_sanguinis,-3.473863685153718,0.04215110168909212,0.06684129599398499,0.3556114153012908,4.126664734729497,0.15575947840141768,0.023603034108622464,0.8229021493262091,-0.8418090415531249,0.2706166078732097,2.831894225393975,0.4321430143212833,0.44728066058546,0.800075748891187,0.0472541849128706,0.68791368396072194,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
