taxon,lfc_(Intercept),lfc_Elastase,lfc_Age,lfc_Sexmale,se_(Intercept),se_Elastase,se_Age,se_Sexmale,W_(Intercept),W_Elastase,W_Age,W_Sexmale,p_(Intercept),p_Elastase,p_Age,p_Sexmale,q_(Intercept),q_Elastase,q_Age,q_Sexmale,diff_(Intercept),diff_Elastase,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_Elastase,passed_ss_Age,passed_ss_Sexmale
Cutibacterium_acnes,-4.013560731352575,-0.008856926296238422,0.18371056186221477,-1.4419357941415887,0.28080671105342475,4.932131113229852e-4,0.009757533651850576,0.22111850305100286,-14.292965849341744,-17.957605126272448,18.82756118677315,-6.521099655821177,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Staphylococcus_aureus,6.3360544325506805,-0.26394854843092946,0.05682383062827533,-6.436386702470852,0.2764613720794422,5.010828108396667e-4,0.009351259794522395,0.2512071291284093,22.918407678053452,-526.7563419080964,6.076596295780439,-25.621831373984495,1.8194864560556171e-4,1.508814302800636e-8,0.008947244479458584,1.3039584968258582e-4,0.012810305083602253,1.433373587660604e-6,0.08499882255485655,0.012387605719845653,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Streptococcus_mitis,-0.1141576286917708,-0.004033833703572224,0.011764286754615237,-0.17985407822368601,0.47153939888939295,8.773284193813596e-4,0.013109971477634663,0.43367605714091195,-0.24209563179798743,-4.597860521167941,0.8973541074963332,-0.4147198704244976,0.8131603249865552,7.67604848841671e-4,0.3887481021072121,0.6863199309087817,1,0.018230615159989687,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Streptococcus_sanguinis,0.5986383511659515,-0.006799523261853554,0.01008804324901968,-0.09911002236374061,0.36519885693498366,7.054139401774975e-4,0.01225577364601223,0.31899749542422473,1.63921200682325,-9.639054283705601,0.82312578058278,-0.3106921646263627,0.19969952107859915,0.00237023246892582,0.47076881990983865,0.776370146261129,0.6541880862919628,0.028146510568494112,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Actinomyces_sp_ICM47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Lancefieldella_parvula,-0.272759101225091,0.0017921941979895776,-0.003517367206681861,0.33751862693935586,0.4886675286959069,0.001281047827536156,0.015000171027465144,0.4531243475497463,-0.5581690724427617,1.39900646913122,-0.23448847351417534,0.7448697664658184,0.600798002679984,0.22068370581713226,0.8239054672542256,0.48985890707497315,1,0.6353015773523505,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Schaalia_odontolytica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_salivarius,5.4063037238382226,-0.008001553861805694,-0.139246141903852,0.08259945954981102,0.29550929843967166,4.363656270538085e-4,0.009472735921702044,0.2112555120276408,18.29486839292105,-18.336810614138997,-14.699675263282597,0.3909931568507602,0.0029744070287735934,0.0029608760306614754,0.004596025423909869,0.7335230286507026,0.04913274571646229,0.028435302521200682,0.08259570202992493,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Actinomyces_graevenitzii,11.939268597345372,-0.5389317171039645,-0.25302296316666,7.077960998662165,0.2689065871298116,2.9430859997405814e-4,0.008924892293877764,0.16756792837984325,44.3993162264256,-1831.1789636846108,-28.350253967795997,42.23935371819977,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Solobacterium_moorei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Gemella_sanguinis,0.46263068042493205,4.100110686537569e-4,-0.0077476020333159725,-0.16987186944457552,0.33230434889343097,5.408204144839267e-4,0.010537587335396916,0.28866789844728863,1.392189665785254,0.7581279435337264,-0.7352349059343901,-0.5884681682940733,0.22261271143825453,0.4825572751312532,0.49521422559105677,0.5817945875109658,0.6658191572097268,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Shuttleworthia_satelles,26.20122517949239,-1.7054035289346692,NA,NA,0.27155211884108055,5.682636592268516e-4,NA,NA,96.48691120994728,-3001.0779349412346,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_australis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Schaalia_SGB17157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_sp_ph3,2.485478158984084,3.154754961499587e-4,-0.02971806164803299,-2.095517973272378,0.45659376336747676,0.0010479425658556905,0.012344188253000196,0.3647863670456171,5.443521919031812,0.30104273500175965,-2.4074536971525977,-5.7445073680901295,0.01217398236041726,0.7830409199333201,0.09523447698161445,0.010477370951047496,0.09637736035330331,1,0.32311697547333473,0.10619832260826244,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Veillonella_dispar,-0.8026290216395424,-1.1296163368063655e-4,0.08791037721313036,-1.2355330009789618,0.7001049006779347,0.0011276215610935615,0.021509596342564646,0.5005278392315115,-1.1464410845607997,-0.10017690116805407,4.087030542696301,-2.468460101791631,0.33476428239132466,0.926523171976902,0.026470243436384277,0.09018752246987406,0.963715358399268,1,0.15716707040353164,0.37989433592397753,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_oris,4.672136126612957,0.008387797908213824,-0.11106608814973373,-4.337595026508995,0.3069074431007016,3.6496026829741586e-4,0.008789136371752325,0.21144142925074244,15.223274090097412,22.982770007661173,-12.636746484750475,-20.514404588918868,0.0042873005888700915,0.0018878352330997214,0.006204020226763481,0.0023677594339948952,0.04913274571646229,0.025620621020639077,0.08419741736321866,0.04498742924590301,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Streptococcus_parasanguinis,0.0546491933946175,3.274669666167771e-4,0.039074909103387276,-1.3187952561712941,0.4360285211492347,6.176295125335303e-4,0.010265974201070234,0.35645463182699483,0.12533398790193662,0.5301996746779476,3.806254363985611,-3.699756261861036,0.903351520128665,0.6103696805587642,0.005190230146108196,0.006044726572413757,1,1,0.08259570202992493,0.08203557491132957,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
