"Taxon","Species","Time","ClinVar","lfc","q","diff","sign"
"Cutibacterium_acnes","Cutibacterium_acnes","T0","ppFEV1",0.10028367131049,0.510383264338674,FALSE,"+"
"Staphylococcus_aureus","Staphylococcus_aureus","T0","ppFEV1",0.177421889853998,0.100369205079242,FALSE,"+"
"Streptococcus_mitis","Streptococcus_mitis","T0","ppFEV1",-0.00668896009078818,1,FALSE,"-"
"Streptococcus_sanguinis","Streptococcus_sanguinis","T0","ppFEV1",0.0555419605360431,0.425138350608657,FALSE,"+"
"Actinomyces_sp_ICM47","Actinomyces_sp_ICM47","T0","ppFEV1",NA,1,FALSE,NA
"Lancefieldella_parvula","Lancefieldella_parvula","T0","ppFEV1",-0.0499790993026228,0.345918009339133,FALSE,"-"
"Schaalia_odontolytica","Schaalia_odontolytica","T0","ppFEV1",NA,1,FALSE,NA
"Streptococcus_salivarius","Streptococcus_salivarius","T0","ppFEV1",-0.0203058092495816,1,FALSE,"-"
"Actinomyces_graevenitzii","Actinomyces_graevenitzii","T0","ppFEV1",-0.0189291897068281,1,FALSE,"-"
"Solobacterium_moorei","Solobacterium_moorei","T0","ppFEV1",NA,1,FALSE,NA
"Gemella_sanguinis","Gemella_sanguinis","T0","ppFEV1",0.00776535854251918,1,FALSE,"+"
"Shuttleworthia_satelles","Shuttleworthia_satelles","T0","ppFEV1",-0.0416103892719075,1,FALSE,"-"
"Streptococcus_australis","Streptococcus_australis","T0","ppFEV1",-0.0834119872446659,0.268029408974518,FALSE,"-"
"Schaalia_SGB17157","Schaalia_SGB17157","T0","ppFEV1",NA,1,FALSE,NA
"Actinomyces_sp_ph3","Actinomyces_sp_ph3","T0","ppFEV1",-0.0271809012147501,0.74042989614438,FALSE,"-"
"Veillonella_dispar","Veillonella_dispar","T0","ppFEV1",-0.00323181413546088,1,FALSE,"-"
"Actinomyces_oris","Actinomyces_oris","T0","ppFEV1",0.0106197680426417,1,FALSE,"+"
"Streptococcus_parasanguinis","Streptococcus_parasanguinis","T0","ppFEV1",0.00810045620971275,1,FALSE,"+"
"Abiotrophia_defectiva","Abiotrophia_defectiva","T0","ppFEV1",0.114615423561511,0.268029408974518,FALSE,"+"
"Abiotrophia_sp_HMSC24B09","Abiotrophia_sp_HMSC24B09","T0","ppFEV1",0.201420434822107,1,FALSE,"+"
"Mogibacterium_diversum","Mogibacterium_diversum","T0","ppFEV1",0.053454805684464,0.425138350608657,FALSE,"+"
"Actinomyces_SGB17132","Actinomyces_SGB17132","T0","ppFEV1",NA,1,FALSE,NA
"Rothia_aeria","Rothia_aeria","T0","ppFEV1",-0.253520359337991,1,FALSE,"-"
"Scardovia_wiggsiae","Scardovia_wiggsiae","T0","ppFEV1",-0.0455171520878457,0.8307844787202,FALSE,"-"
"Granulicatella_SGB8255","Granulicatella_SGB8255","T0","ppFEV1",0.00766703072127122,1,FALSE,"+"
"Granulicatella_adiacens","Granulicatella_adiacens","T0","ppFEV1",0.058196499269002,0.483278619471759,FALSE,"+"
"Actinomyces_naeslundii","Actinomyces_naeslundii","T0","ppFEV1",NA,1,FALSE,NA
"Gemella_haemolysans","Gemella_haemolysans","T0","ppFEV1",0.151973723264628,0.268029408974518,FALSE,"+"
"Rothia_mucilaginosa","Rothia_mucilaginosa","T0","ppFEV1",0.0115444579126243,1,FALSE,"+"
"Parvimonas_micra","Parvimonas_micra","T0","ppFEV1",NA,1,FALSE,NA
"Streptococcus_infantis","Streptococcus_infantis","T0","ppFEV1",0.0382524144002559,0.514358981200551,FALSE,"+"
"Veillonella_atypica","Veillonella_atypica","T0","ppFEV1",0.0560737992266041,0.268029408974518,FALSE,"+"
"Veillonella_parvula","Veillonella_parvula","T0","ppFEV1",-0.0727177212398743,0.268029408974518,FALSE,"-"
"Streptococcus_gordonii","Streptococcus_gordonii","T0","ppFEV1",NA,1,FALSE,NA
"Veillonella_rogosae","Veillonella_rogosae","T0","ppFEV1",NA,1,FALSE,NA
"Porphyromonas_bobii","Porphyromonas_bobii","T0","ppFEV1",-0.00421532115251368,1,FALSE,"-"
"Prevotella_histicola","Prevotella_histicola","T0","ppFEV1",-0.0557528472805244,0.74042989614438,FALSE,"-"
"Rothia_SGB49305","Rothia_SGB49305","T0","ppFEV1",-0.00306932361118877,1,FALSE,"-"
"Streptococcus_oralis","Streptococcus_oralis","T0","ppFEV1",-0.0215535056853391,0.887357907519145,FALSE,"-"
"Streptococcus_intermedius","Streptococcus_intermedius","T0","ppFEV1",4.9147894574756,1,FALSE,"+"
"Tannerella_serpentiformis","Tannerella_serpentiformis","T0","ppFEV1",-0.47052935904001,0.268029408974518,FALSE,"-"
"Prevotella_salivae","Prevotella_salivae","T0","ppFEV1",0.0346310843258339,0.703167966919554,FALSE,"+"
