"Taxon","Species","Time","ClinVar","lfc","q","diff","sign"
"Streptococcus_constellatus","Streptococcus_constellatus","T12","ALT",0.255891312192827,0.0150278538272045,TRUE,"+"
"Alloprevotella_SGB1483","Alloprevotella_SGB1483","T12","ALT",0.207027895941641,0.0155249478362686,TRUE,"+"
"Streptococcus_gordonii","Streptococcus_gordonii","T12","ALT",0.206095673103244,0.000491502140175131,TRUE,"+"
"GGB3059_SGB69431","GGB3059_SGB69431","T12","ALT",0.187373015317294,0.0156438585539131,TRUE,"+"
"Alloprevotella_SGB1484","Alloprevotella_SGB1484","T12","ALT",0.155801855591939,0.0186206726039281,TRUE,"+"
"Fusobacterium_nucleatum","Fusobacterium_nucleatum","T12","ALT",0.141550508778977,7.16749867794412e-06,TRUE,"+"
"Rothia_aeria","Rothia_aeria","T12","ALT",-0.134425032909835,0.0205002909902941,TRUE,"-"
"Prevotella_histicola","Prevotella_histicola","T12","ALT",-0.113600000795455,0.00552169833391165,TRUE,"-"
"Haemophilus_haemolyticus","Haemophilus_haemolyticus","T12","ALT",0.0876376411042554,0.0281447356002632,TRUE,"+"
"Porphyromonas_endodontalis","Porphyromonas_endodontalis","T12","ALT",0.0862070572233149,0.000180257840512866,TRUE,"+"
"Schaalia_SGB17168","Schaalia_SGB17168","T12","ALT",0.0846989625585703,2.38223232526529e-05,TRUE,"+"
"Veillonella_tobetsuensis","Veillonella_tobetsuensis","T12","ALT",0.076284179852708,0.00190342002635323,TRUE,"+"
"Actinomyces_oris","Actinomyces_oris","T12","ALT",-0.072180046132723,0.0150278538272045,TRUE,"-"
"Filifactor_alocis","Filifactor_alocis","T12","ALT",0.0721656272996532,0.000163670716049965,TRUE,"+"
"Alloprevotella_tannerae","Alloprevotella_tannerae","T12","ALT",-0.0695370365235761,0.00285694575419779,TRUE,"-"
"Streptococcus_cristatus","Streptococcus_cristatus","T12","ALT",0.0669146920640853,7.16749867794412e-06,TRUE,"+"
"Tannerella_serpentiformis","Tannerella_serpentiformis","T12","ALT",0.0667775492607572,2.50928727599742e-05,TRUE,"+"
"Oribacterium_parvum","Oribacterium_parvum","T12","ALT",0.0638760826377317,0.000180257840512866,TRUE,"+"
"Streptococcus_sanguinis","Streptococcus_sanguinis","T12","ALT",0.0492495680002646,0.0261101027585759,TRUE,"+"
"Veillonella_parvula","Veillonella_parvula","T12","ALT",0.0487255668207778,0.00439703697656347,TRUE,"+"
"Peptostreptococcus_SGB749","Peptostreptococcus_SGB749","T12","ALT",0.0480122604956858,0.00190342002635323,TRUE,"+"
"Streptococcus_australis","Streptococcus_australis","T12","ALT",-0.0465175409935303,9.77950693120632e-06,TRUE,"-"
"Eubacterium_sulci","Eubacterium_sulci","T12","ALT",0.044683492054344,7.16749867794412e-06,TRUE,"+"
"Streptococcus_infantis","Streptococcus_infantis","T12","ALT",-0.0437083694482151,0.0142256411965825,TRUE,"-"
"Haemophilus_parainfluenzae","Haemophilus_parainfluenzae","T12","ALT",0.0409246950310071,0.00552169833391165,TRUE,"+"
"Oribacterium_asaccharolyticum","Oribacterium_asaccharolyticum","T12","ALT",0.0406698129432943,0.00675486132716739,TRUE,"+"
"Parvimonas_micra","Parvimonas_micra","T12","ALT",-0.0400303565875621,7.16749867794412e-06,TRUE,"-"
"Oribacterium_sinus","Oribacterium_sinus","T12","ALT",0.0391495256176562,0.00917170585898522,TRUE,"+"
"Veillonella_atypica","Veillonella_atypica","T12","ALT",-0.0372834020731163,0.00917170585898522,TRUE,"-"
"Leptotrichia_sp_oral_taxon_215","Leptotrichia_sp_oral_taxon_215","T12","ALT",0.0371113915584949,0.000180257840512866,TRUE,"+"
"Prevotella_oris","Prevotella_oris","T12","ALT",0.0358063211453363,0.0150278538272045,TRUE,"+"
"Actinomyces_sp_ICM47","Actinomyces_sp_ICM47","T12","ALT",-0.0319681250515125,5.87130002910878e-05,TRUE,"-"
"TM7_phylum_sp_oral_taxon_351","TM7_phylum_sp_oral_taxon_351","T12","ALT",0.0302856191339936,5.87130002910878e-05,TRUE,"+"
"Gemella_sanguinis","Gemella_sanguinis","T12","ALT",-0.0293846353518441,0.0274327457602,TRUE,"-"
"Granulicatella_SGB8255","Granulicatella_SGB8255","T12","ALT",-0.025814905058243,0.0380701240284931,TRUE,"-"
"Mogibacterium_diversum","Mogibacterium_diversum","T12","ALT",0.0249863655625888,7.16749867794412e-06,TRUE,"+"
"Schaalia_odontolytica","Schaalia_odontolytica","T12","ALT",0.0231405908056162,0.00813059883689064,TRUE,"+"
"Capnocytophaga_gingivalis","Capnocytophaga_gingivalis","T12","ALT",0.0220170510811388,0.0150278538272045,TRUE,"+"
"Treponema_vincentii","Treponema_vincentii","T12","ALT",-0.021861329261669,0.0150278538272045,TRUE,"-"
"Veillonella_rogosae","Veillonella_rogosae","T12","ALT",0.0217448563620126,7.16749867794412e-06,TRUE,"+"
"Lancefieldella_parvula","Lancefieldella_parvula","T12","ALT",0.0191696422345149,4.92536468288e-05,TRUE,"+"
"Veillonella_dispar","Veillonella_dispar","T12","ALT",0.0178841370707448,4.69918371820419e-05,TRUE,"+"
"Capnocytophaga_leadbetteri","Capnocytophaga_leadbetteri","T12","ALT",0.0165235594802003,0.0205002909902941,TRUE,"+"
"Fusobacterium_periodonticum","Fusobacterium_periodonticum","T12","ALT",0.0151706350806974,9.38135770023908e-05,TRUE,"+"
"Solobacterium_SGB6829","Solobacterium_SGB6829","T12","ALT",-0.0149911003899504,0.000150474804550756,TRUE,"-"
"Neisseria_subflava","Neisseria_subflava","T12","ALT",-0.0145563001062816,0.000187343381583569,TRUE,"-"
"Lachnoanaerobaculum_orale","Lachnoanaerobaculum_orale","T12","ALT",-0.0145452396987221,0.0262702873142044,TRUE,"-"
"Prevotella_salivae","Prevotella_salivae","T12","ALT",-0.0140176731062979,0.00347288098194807,TRUE,"-"
"GGB1144_SGB1468","GGB1144_SGB1468","T12","ALT",-0.0125690233638048,0.0307941694775864,TRUE,"-"
"GGB3883_SGB5266","GGB3883_SGB5266","T12","ALT",-0.0112216460993752,0.00263816850153667,TRUE,"-"
"Prevotella_pallens","Prevotella_pallens","T12","ALT",0.00631890113138927,0.0133472466059168,TRUE,"+"
"TM7_phylum_sp_oral_taxon_352","TM7_phylum_sp_oral_taxon_352","T12","ALT",-0.00615537124156095,0.0281447356002632,TRUE,"-"
"Catonella_massiliensis","Catonella_massiliensis","T12","ALT",0.00447625291160935,0.0380701240284931,TRUE,"+"
"Staphylococcus_aureus","Staphylococcus_aureus","T0","AST",0.237873703987828,0.027502831449536,TRUE,"+"
"Lachnoanaerobaculum_sp_ICM7","Lachnoanaerobaculum_sp_ICM7","T12","AST",0.30823959340982,0.0118645904086913,TRUE,"+"
"Streptococcus_gordonii","Streptococcus_gordonii","T12","AST",-0.279462331910852,0.0128413108992683,TRUE,"-"
"Prevotella_histicola","Prevotella_histicola","T12","AST",-0.275833710343727,0.00378047960684683,TRUE,"-"
"Schaalia_SGB17168","Schaalia_SGB17168","T12","AST",0.258943743781329,0.00149333521288056,TRUE,"+"
"Peptostreptococcus_SGB749","Peptostreptococcus_SGB749","T12","AST",0.163533694497917,0.00149333521288056,TRUE,"+"
"Veillonella_tobetsuensis","Veillonella_tobetsuensis","T12","AST",0.145743994567182,0.0319015855387168,TRUE,"+"
"Porphyromonas_endodontalis","Porphyromonas_endodontalis","T12","AST",0.142759024337933,0.0121053055928334,TRUE,"+"
