"Taxon","Species","Time","ClinVar","lfc","q","diff","sign"
"Streptococcus_constellatus","Streptococcus_constellatus","T12","ALT",0.255891312192827,0.0150278538272045,TRUE,"+"
"Alloprevotella_SGB1483","Alloprevotella_SGB1483","T12","ALT",0.207027895941641,0.0155249478362686,TRUE,"+"
"Streptococcus_gordonii","Streptococcus_gordonii","T12","ALT",0.206095673103244,0.000491502140175131,TRUE,"+"
"GGB3059_SGB69431","GGB3059_SGB69431","T12","ALT",0.187373015317294,0.0156438585539131,TRUE,"+"
"Alloprevotella_SGB1484","Alloprevotella_SGB1484","T12","ALT",0.155801855591939,0.0186206726039281,TRUE,"+"
"Fusobacterium_nucleatum","Fusobacterium_nucleatum","T12","ALT",0.141550508778977,7.16749867794412e-06,TRUE,"+"
"Rothia_aeria","Rothia_aeria","T12","ALT",-0.134425032909835,0.0205002909902941,TRUE,"-"
"Prevotella_histicola","Prevotella_histicola","T12","ALT",-0.113600000795455,0.00552169833391165,TRUE,"-"
"Haemophilus_haemolyticus","Haemophilus_haemolyticus","T12","ALT",0.0876376411042554,0.0281447356002632,TRUE,"+"
"Porphyromonas_endodontalis","Porphyromonas_endodontalis","T12","ALT",0.0862070572233149,0.000180257840512866,TRUE,"+"
"Schaalia_SGB17168","Schaalia_SGB17168","T12","ALT",0.0846989625585703,2.38223232526529e-05,TRUE,"+"
"Veillonella_tobetsuensis","Veillonella_tobetsuensis","T12","ALT",0.076284179852708,0.00190342002635323,TRUE,"+"
"Actinomyces_oris","Actinomyces_oris","T12","ALT",-0.072180046132723,0.0150278538272045,TRUE,"-"
"Filifactor_alocis","Filifactor_alocis","T12","ALT",0.0721656272996532,0.000163670716049965,TRUE,"+"
"Alloprevotella_tannerae","Alloprevotella_tannerae","T12","ALT",-0.0695370365235761,0.00285694575419779,TRUE,"-"
"Streptococcus_cristatus","Streptococcus_cristatus","T12","ALT",0.0669146920640853,7.16749867794412e-06,TRUE,"+"
"Tannerella_serpentiformis","Tannerella_serpentiformis","T12","ALT",0.0667775492607572,2.50928727599742e-05,TRUE,"+"
"Oribacterium_parvum","Oribacterium_parvum","T12","ALT",0.0638760826377317,0.000180257840512866,TRUE,"+"
"Streptococcus_sanguinis","Streptococcus_sanguinis","T12","ALT",0.0492495680002646,0.0261101027585759,TRUE,"+"
"Veillonella_parvula","Veillonella_parvula","T12","ALT",0.0487255668207778,0.00439703697656347,TRUE,"+"
"Lachnoanaerobaculum_sp_ICM7","Lachnoanaerobaculum_sp_ICM7","T12","AST",0.30823959340982,0.0118645904086913,TRUE,"+"
"Streptococcus_gordonii","Streptococcus_gordonii","T12","AST",-0.279462331910852,0.0128413108992683,TRUE,"-"
"Prevotella_histicola","Prevotella_histicola","T12","AST",-0.275833710343727,0.00378047960684683,TRUE,"-"
"Schaalia_SGB17168","Schaalia_SGB17168","T12","AST",0.258943743781329,0.00149333521288056,TRUE,"+"
"Staphylococcus_aureus","Staphylococcus_aureus","T0","AST",0.237873703987828,0.027502831449536,TRUE,"+"
"Peptostreptococcus_SGB749","Peptostreptococcus_SGB749","T12","AST",0.163533694497917,0.00149333521288056,TRUE,"+"
"Veillonella_tobetsuensis","Veillonella_tobetsuensis","T12","AST",0.145743994567182,0.0319015855387168,TRUE,"+"
"Porphyromonas_endodontalis","Porphyromonas_endodontalis","T12","AST",0.142759024337933,0.0121053055928334,TRUE,"+"
"Rothia_SGB49305","Rothia_SGB49305","T12","AST",0.131394218637738,0.00206000488786193,TRUE,"+"
"Leptotrichia_sp_oral_taxon_215","Leptotrichia_sp_oral_taxon_215","T12","AST",0.118465042512072,0.00509206820376409,TRUE,"+"
"Capnocytophaga_gingivalis","Capnocytophaga_gingivalis","T12","AST",0.108606190840139,0.0460536577767087,TRUE,"+"
"Fusobacterium_nucleatum","Fusobacterium_nucleatum","T12","AST",0.0998136987543952,0.0112001050589621,TRUE,"+"
"TM7_phylum_sp_oral_taxon_351","TM7_phylum_sp_oral_taxon_351","T12","AST",0.0856338251971442,0.00861209521520126,TRUE,"+"
"Streptococcus_cristatus","Streptococcus_cristatus","T12","AST",0.0803542657847189,0.00861209521520126,TRUE,"+"
"Veillonella_atypica","Veillonella_atypica","T12","AST",-0.0763865855349036,0.00179843429521511,TRUE,"-"
"Veillonella_parvula","Veillonella_parvula","T12","AST",0.0720823629711466,0.0128413108992683,TRUE,"+"
"Schaalia_odontolytica","Schaalia_odontolytica","T12","AST",0.0718046303307052,0.0468399488611303,TRUE,"+"
"Actinomyces_oris","Actinomyces_oris","T12","AST",-0.0708602852103995,0.0471561677152844,TRUE,"-"
"Fusobacterium_periodonticum","Fusobacterium_periodonticum","T12","AST",0.0704997208524284,0.00257354446912894,TRUE,"+"
"Filifactor_alocis","Filifactor_alocis","T12","AST",0.0655233437191375,0.0445349798836322,TRUE,"+"
"Alloprevotella_SGB1483","Alloprevotella_SGB1483","T12","GGT",1.96641736288204,0.0015408742943784,TRUE,"+"
"Lachnoanaerobaculum_orale","Lachnoanaerobaculum_orale","T0","GGT",1.24691072060056,0.00184657838801944,TRUE,"+"
"Alloprevotella_SGB1484","Alloprevotella_SGB1484","T12","GGT",1.18964946335802,0.00243188548939387,TRUE,"+"
"GGB3059_SGB69431","GGB3059_SGB69431","T12","GGT",1.01891884081335,0.00292154370067841,TRUE,"+"
"Fusobacterium_nucleatum","Fusobacterium_nucleatum","T0","GGT",-0.615843685070345,5.13386875027594e-10,TRUE,"-"
"Alloprevotella_tannerae","Alloprevotella_tannerae","T12","GGT",-0.600722961850994,3.68767687997012e-05,TRUE,"-"
"Haemophilus_haemolyticus","Haemophilus_haemolyticus","T12","GGT",0.420095682573212,0.00615501772836617,TRUE,"+"
"Schaalia_meyeri","Schaalia_meyeri","T0","GGT",-0.406528259908199,0.00380314204549931,TRUE,"-"
"Rothia_aeria","Rothia_aeria","T12","GGT",-0.396955328762847,0.00645842500166483,TRUE,"-"
"Lautropia_mirabilis","Lautropia_mirabilis","T0","GGT",0.368688520833603,0.00441816720207297,TRUE,"+"
"GGB3883_SGB5265","GGB3883_SGB5265","T0","GGT",0.366740580630323,0.00380314204549931,TRUE,"+"
"Schaalia_SGB17168","Schaalia_SGB17168","T12","GGT",0.299838945858716,1.18359288299702e-07,TRUE,"+"
"Porphyromonas_endodontalis","Porphyromonas_endodontalis","T12","GGT",-0.298234105641126,4.80112710039537e-06,TRUE,"-"
"Streptococcus_salivarius","Streptococcus_salivarius","T0","GGT",0.275668538783259,3.3185728444559e-07,TRUE,"+"
"Streptococcus_constellatus","Streptococcus_constellatus","T12","GGT",-0.256888987023971,0.010596487390277,TRUE,"-"
"Prevotella_histicola","Prevotella_histicola","T12","GGT",-0.249081937798917,6.35046195905603e-06,TRUE,"-"
"Prevotella_salivae","Prevotella_salivae","T12","GGT",-0.228953464702504,1.62801304510716e-07,TRUE,"-"
"Streptococcus_gordonii","Streptococcus_gordonii","T12","GGT",0.228006705552328,0.000252633276154397,TRUE,"+"
"Veillonella_atypica","Veillonella_atypica","T12","GGT",-0.217860067947814,3.68815246320179e-12,TRUE,"-"
"Neisseria_sicca","Neisseria_sicca","T0","GGT",0.216639910911085,0.00612924757812816,TRUE,"+"
"Staphylococcus_aureus","Staphylococcus_aureus","T0","Elastase",-0.263948548430929,1.4333735876606e-06,TRUE,"-"
"Lautropia_mirabilis","Lautropia_mirabilis","T0","Elastase",0.0694892152021522,0.0284353025212007,TRUE,"+"
