"system","variable","p_value","p_fdr_global","signif_fdr"
"Lung function","ppFEV1",1.3121135833246442e-6,3.411495316644075e-5,TRUE
"Lung function","FEV1_FVC",5.5250280522402534e-6,6.412564958304461e-5,TRUE
"Lung function","FEV1_FVC_ped",7.399113413428224e-6,6.412564958304461e-5,TRUE
"Lung function","ppFVC_adu",2.2081756035284078e-5,1.435314142293465e-4,TRUE
"Lung function","ppFEV1_adu",3.685822788848737e-5,0.00019166278502013432,TRUE
"Lung function","ppFEV1_mal",5.071963619486106e-5,2.1978509017773126e-4,TRUE
"Lung function","ppFVC",2.8719780037882566e-4,0.0010667346871213524,TRUE
"Lung function","FEV1_FVC_mal",0.0010996502830366102,0.003573863419868983,TRUE
"Lung function","FEV1_FVC_fem",0.0023430463282680877,0.006768800503885587,TRUE
"Anthropometry_BMI","Weight_kg",0.003143615231231256,0.008173399601201265,TRUE
"Lung function","FEV1_FVC_adu",0.0034959914803347836,0.008263252589882216,TRUE
"Anthropometry_BMI","BMI_kgm2",0.004318587599012241,0.009356939797859856,TRUE
"Lung function","ppFEV1_fem",0.005249099793599511,0.010498199587199022,TRUE
"Lung function","ppFVC_mal",0.009142096742737596,0.01697817966508411,TRUE
"Lung function","ppFEV1_ped",0.01697397555436175,0.029421557627560366,TRUE
"Lung function","ppFVC_fem",0.022519755795015934,0.03659460316690089,TRUE
"Absorption markers","Elastase",0.028314054945765676,0.043303848740582795,TRUE
"Intestinal inflammation","Calprotectin",0.07359392381144043,0.10630233439430285,FALSE
"Anthropometry_zscore","SD_z_score_height_2010",0.15743271325278563,0.21543423918802243,FALSE
"Transaminases","GGT",0.1759289796853854,0.22870767359100103,FALSE
"Anthropometry_zscore","SD_z_score_BMI_2010",0.27194762399473527,0.33669705827919605,FALSE
"Lung function","ppFVC_ped",0.4143487498888059,0.46839423900473703,FALSE
"Anthropometry_BMI","Height_cm",0.41421617824252505,0.46839423900473703,FALSE
"Transaminases","AST",0.6331165969600971,0.6858763133734386,FALSE
"Transaminases","ALT",0.8107586284871424,0.8431889736266281,FALSE
"Anthropometry_zscore","SD_z_score_weight_2010",0.9744897716291366,0.9744897716291366,FALSE
