"system","subgroup","variable","method","n_pairs","shapiro_p","stat","p_value","p_fdr_global","group_T0","group_T12","mean_T0","sd_T0","median_T0","q1_T0","q3_T0","min_T0","max_T0","range_T0","mean_T12","sd_T12","median_T12","q1_T12","q3_T12","min_T12","max_T12","range_T12","diff_estimate","ci_low","ci_high","effect_type","effect_value","fisher_p","fisher_or","fisher_ci_low","fisher_ci_high","or_ha","or_ha_ci_low","or_ha_ci_high","cutoff_used"
"Lung function","global","ppFEV1","paired_t",35,0.18051343594683317,5.859176656111515,1.3121135833246442e-6,3.411495316644075e-5,"70.286 ± 25.058","81.543 ± 23.708",70.28571428571429,25.058251463072093,76,47,87,30,122,92,81.54285714285714,23.708205153419748,82,62,96.5,39,134,95,11.257142857142858,7.352623825757924,15.161661888527792,"cohen_d_paired",0.99038161602373,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","global","ppFVC","wilcoxon_paired",35,0.03006214309559987,85.5,2.8719780037882566e-4,0.00106673468712135,"79.000 [65.000-91.500]","81.000 [72.500-96.500]",77.71428571428571,21.010601565668235,79,65,91.5,42,127,85,84.34285714285714,18.09117896386305,81,72.5,96.5,52,131,79,8,NA,NA,"rank_biserial_r",0.8642857142857143,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","global","FEV1_FVC","paired_t",35,0.46182435808640443,5.379248540443733,5.5250280522402534e-6,6.412564958304461e-5,"74.800 ± 12.681","81.257 ± 12.687",74.8,12.681157861405335,77,64.5,85.5,44,94,50,81.25714285714285,12.68705421040736,82,73.5,92,53,98,45,6.457142857142857,4.017677006355783,8.896608707929932,"cohen_d_paired",0.9092589582396368,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","female","ppFEV1","paired_t",16,0.13331034899354674,3.2623195772509463,0.005249099793599511,3.411495316644075e-5,"66.625 ± 25.760","77.812 ± 25.701",66.625,25.76011128340352,64,43,87,30,109,79,77.8125,25.701410467131954,72.5,62,97,39,130,91,11.1875,3.878102123338293,18.496897876661706,"cohen_d_paired",0.8155798943127366,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","female","ppFVC","paired_t",16,0.07460748207096676,2.542738138578039,0.022519755795015934,0.00106673468712135,"74.250 ± 21.749","81.750 ± 20.309",74.25,21.748563170931547,78.5,53.25,91.25,42,107,65,81.75,20.30927538507139,74,66.5,99.25,52,118,66,7.5,1.213127062058384,13.786872937941617,"cohen_d_paired",0.6356845346445098,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","female","FEV1_FVC","paired_t",16,0.7243714197541405,3.655548948313777,0.0023430463282680877,6.412564958304461e-5,"74.438 ± 12.654","81.562 ± 13.677",74.4375,12.65421537143519,72,64,85.25,53,94,41,81.5625,13.67707936658993,83.5,74.25,92.5,53,98,45,7.125,2.9706094483104577,11.279390551689543,"cohen_d_paired",0.9138872370784442,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","male","ppFEV1","paired_t",19,0.21474090004202104,5.281211098577611,5.071963619486106e-5,3.411495316644075e-5,"73.368 ± 24.721","84.684 ± 22.101",73.36842105263158,24.721134741835307,77,57,85.5,30,122,92,84.6842105263158,22.1009115739071,87,71,96.5,46,134,88,11.31578947368421,6.8142478643375135,15.817331083030908,"cohen_d_paired",1.2115929199055384,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","male","ppFVC","paired_t",19,0.4138498837081701,2.919973328880162,0.009142096742737596,0.00106673468712135,"80.632 ± 20.494","86.526 ± 16.232",80.63157894736842,20.494472225770185,79,71,89,42,127,85,86.52631578947368,16.232232752057218,83,78,91.5,54,131,77,5.894736842105263,1.6534712009052677,10.136002483305258,"cohen_d_paired",0.6698878241275097,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","male","FEV1_FVC","paired_t",19,0.24823573076520766,3.8790180829025536,0.0010996502830366102,6.412564958304461e-5,"75.105 ± 13.042","81.000 ± 12.166",75.10526315789474,13.042216652267296,77,66,85.5,44,92,48,81,12.165525060596439,80,74,91,54,98,44,5.894736842105263,2.7020776978785004,9.087395986332027,"cohen_d_paired",0.889907780186269,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","adult","ppFEV1","paired_t",21,0.7495849412326471,5.2724699671608315,3.685822788848737e-5,3.411495316644075e-5,"57.238 ± 19.063","69.429 ± 17.420",57.23809523809524,19.06280347143295,62,43,69,30,86,56,69.42857142857143,17.42002132194857,70,59,82,39,97,58,12.19047619047619,7.36752074521429,17.01343163573809,"cohen_d_paired",1.1505472725664685,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","adult","ppFVC","paired_t",21,0.5736705724098444,5.4988209851423395,2.2081756035284078e-5,0.00106673468712135,"68.524 ± 17.256","77.714 ± 15.209",68.52380952380952,17.255778880186913,71,54,81,42,101,59,77.71428571428571,15.20901988013316,76,67,85,52,108,56,9.19047619047619,5.704092937029667,12.676859443922714,"cohen_d_paired",1.1999411141631626,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","adult","FEV1_FVC","paired_t",21,0.8364470078463939,3.309903419548041,0.0034959914803347836,6.412564958304461e-5,"67.476 ± 9.847","73.857 ± 10.485",67.47619047619048,9.846923619176945,66,61,72,44,85,41,73.85714285714286,10.484682705192915,76,68,80,53,92,39,6.380952380952381,2.3595560626186387,10.402348699286124,"cohen_d_paired",0.7222801410986702,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","pediatric","ppFEV1","wilcoxon_paired",14,0.036463905034068815,14.5,0.01697397555436175,3.411495316644075e-5,"89.500 [85.500-97.750]","97.500 [88.750-109.000]",89.85714285714286,19.891463738758134,89.5,85.5,97.75,37,122,85,99.71428571428571,20.261477550452053,97.5,88.75,109,62,134,72,11.5,NA,NA,"rank_biserial_r",0.861904761904762,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","pediatric","ppFVC","paired_t",14,0.23521437744964105,0.8432252389633067,0.4143487498888059,0.00106673468712135,"91.500 ± 18.851","94.286 ± 17.963",91.5,18.850627412533353,91.5,83,103.75,51,127,76,94.28571428571429,17.963332616230172,90.5,82.75,102.25,67,131,64,2.7857142857142856,-4.351370268487086,9.922798839915657,"cohen_d_paired",0.22536142457723418,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","pediatric","FEV1_FVC","paired_t",14,0.21392537040929088,7.157187009191793,7.399113413428224e-6,6.412564958304461e-5,"85.786 ± 7.402","92.357 ± 5.542",85.78571428571429,7.402479537067515,87.5,84.25,90.5,65,94,29,92.35714285714286,5.541551335933938,94,91,95.75,76,98,22,6.571428571428571,4.587868788001664,8.554988354855478,"cohen_d_paired",1.9128386886760689,NA,NA,NA,NA,NA,NA,NA,NA
"Transaminases",NA,"ALT","wilcoxon_paired",34,6.215740042794378e-8,311.5,0.8107586284871424,0.8431889736266281,"27.000 [20.250-39.500]","24.000 [19.250-37.750]",33.029411764705884,20.997092575239808,27,20.25,39.5,11,104,93,38.26470588235294,47.32115218219298,24,19.25,37.75,12,285,273,-2,NA,NA,"rank_biserial_r",0.4764705882352941,NA,NA,NA,NA,NA,NA,NA,NA
"Transaminases",NA,"AST","wilcoxon_paired",34,0.002997336732889559,238.5,0.6331165969600971,0.6858763133734386,"26.500 [20.500-37.000]","29.500 [24.000-33.750]",29.676470588235293,13.16496863980266,26.5,20.5,37,12,70,58,32.61764705882353,16.00002785202567,29.5,24,33.75,12,77,65,2,NA,NA,"rank_biserial_r",0.5991596638655462,NA,NA,NA,NA,NA,NA,NA,NA
"Transaminases",NA,"GGT","wilcoxon_paired",34,8.953347691310213e-11,179,0.1759289796853854,0.22870767359100105,"15.000 [13.000-23.750]","19.000 [15.250-30.500]",40.61764705882353,102.93216792769839,15,13,23.75,9,608,599,31.794117647058822,45.81436813910828,19,15.25,30.5,12,276,264,3,NA,NA,"rank_biserial_r",0.6991596638655462,NA,NA,NA,NA,NA,NA,NA,NA
"Intestinal inflammation",NA,"Calprotectin","wilcoxon_paired",14,0.015632197393127305,81,0.07359392381144043,0.10630233439430284,"28.625 [20.125-48.208]","23.150 [16.100-27.220]",37.82857142857143,26.632386258129365,28.625,20.125,48.2075,8.76,97.84,89.08,21.463571428571427,8.305915970553164,23.15,16.1,27.220000000000002,0.03,31.5,31.47,-5.91,NA,NA,"rank_biserial_r",0.22857142857142854,0.09777777777777759,Inf,0.7308549740364352,Inf,12.428571428571429,NA,NA,50
"Absorption markers",NA,"Elastase","wilcoxon_paired",13,2.0704448595813463e-4,6,0.028314054945765676,0.04330384874058279,"15.000 [15.000-41.750]","21.380 [15.000-177.960]",60.136923076923075,118.7365252975831,15,15,41.75,13,447,434,109.49307692307693,137.7092020275948,21.38,15,177.96,14,440.3,426.3,1,NA,NA,"rank_biserial_r",0.9340659340659341,0.5930434782608697,0.2912090286974023,0.004898084691567363,4.297120311178179,12.428571428571429,NA,NA,200
"Anthropometry_BMI",NA,"Weight_kg","wilcoxon_paired",21,0.01412525675300605,18,0.003143615231231256,0.00817339960120126,"59.000 [51.000-71.000]","64.000 [56.000-75.000]",61.23809523809524,10.71403174302168,59,51,71,46,80,34,64.9047619047619,11.246798486257154,64,56,75,47,86,39,2,NA,NA,"rank_biserial_r",0.922077922077922,NA,NA,NA,NA,NA,NA,NA,NA
"Anthropometry_BMI",NA,"Height_cm","wilcoxon_paired",21,2.4396037466590687e-7,1.5,0.41421617824252505,0.46839423900473703,"168.000 [160.000-172.000]","168.000 [160.000-171.000]",167.57142857142858,8.623058787758719,168,160,172,153,183,30,167.66666666666666,8.708233651742088,168,160,171,154,185,31,0,NA,NA,"rank_biserial_r",0.9935064935064936,NA,NA,NA,NA,NA,NA,NA,NA
"Anthropometry_BMI",NA,"BMI_kgm2","wilcoxon_paired",21,0.0026903265085425772,20,0.004318587599012241,0.00935693979785985,"21.900 [19.800-23.000]","22.700 [21.400-23.800]",21.776190476190475,3.104658558022889,21.9,19.8,23,16.2,28.5,12.3,23.03333333333333,3.388854280333301,22.7,21.4,23.8,16.7,30.1,13.400000000000002,0.6999999999999993,NA,NA,"rank_biserial_r",0.9134199134199135,NA,NA,NA,NA,NA,NA,NA,NA
"Anthropometry_zscore",NA,"SD_z_score_weight_2010","paired_t",14,0.1669083980469949,0.032598735231222226,0.9744897716291366,0.9744897716291366,"-0.721 ± 0.929","-0.715 ± 0.754",-0.7207142857142858,0.929081136522402,-0.665,-1.245,-0.45000000000000007,-2.28,1.51,3.79,-0.715,0.7536449888579962,-0.77,-1.2525,-0.23750000000000002,-1.79,0.79,2.58,0.005714285714285707,-0.37298027601190825,0.38440884744047965,"cohen_d_paired",0.008712378462670756,NA,NA,NA,NA,NA,NA,NA,NA
"Anthropometry_zscore",NA,"SD_z_score_height_2010","paired_t",14,0.8896004063715033,-1.5002796076090412,0.15743271325278563,0.21543423918802243,"-0.342 ± 0.625","-0.486 ± 0.626",-0.34214285714285714,0.6249206543040678,-0.46,-0.5675,0.05000000000000001,-1.61,0.75,2.3600000000000003,-0.4857142857142857,0.6264026019903013,-0.71,-0.975,-0.020000000000000004,-1.32,0.6,1.92,-0.1435714285714286,-0.3503110340930998,0.06316817695024263,"cohen_d_paired",-0.40096659114547706,NA,NA,NA,NA,NA,NA,NA,NA
"Anthropometry_zscore",NA,"SD_z_score_BMI_2010","wilcoxon_paired",14,0.037271021715344216,35,0.27194762399473527,0.33669705827919605,"-0.955 [-1.295--0.400]","-0.865 [-1.075--0.335]",-0.7292857142857143,0.949116709089313,-0.9550000000000001,-1.2950000000000002,-0.4,-2.06,1.28,3.34,-0.625,0.889327749569216,-0.865,-1.0750000000000002,-0.335,-1.73,1.45,3.1799999999999997,0.14500000000000002,NA,NA,"rank_biserial_r",0.6666666666666667,1,1.6079126091724127,0.15284690070767934,22.70874188063879,1.5217391304347827,NA,NA,0
