"Gene","n_paired","Prev_T0","Prev_T12","DeltaPrev","Lost_1to0","Gained_0to1","Total_Discordant","P_value","P_adj"
"aph(3')-III",34,0.9117647058823529,0.6470588235294118,-0.2647058823529411,10,1,11,0.011718750000000002,0.7910156250000003
"erm(F)",34,0.6470588235294118,0.35294117647058826,-0.29411764705882354,14,4,18,0.030883789062499993,0.7910156250000003
"erm(A)",34,0.17647058823529413,0,-0.17647058823529413,6,0,6,0.03125000000000001,0.7910156250000003
"mph(A)",34,0.23529411764705882,0.058823529411764705,-0.1764705882352941,6,0,6,0.03125000000000001,0.7910156250000003
"tet(Q)",34,0.5588235294117647,0.29411764705882354,-0.2647058823529412,12,3,15,0.035156250000000014,0.7910156250000003
"tet(X)",34,0.47058823529411764,0.20588235294117646,-0.2647058823529412,12,3,15,0.035156250000000014,0.7910156250000003
"tet(32)",34,0.2647058823529412,0.058823529411764705,-0.20588235294117646,9,2,11,0.06542968750000004,1
"cepA",34,0.11764705882352941,0,-0.11764705882352941,4,0,4,0.125,1
"floR",34,0.11764705882352941,0,-0.11764705882352941,4,0,4,0.125,1
"msr(C)",34,0.11764705882352941,0,-0.11764705882352941,4,0,4,0.125,1
"tet(L)",34,0.17647058823529413,0.029411764705882353,-0.14705882352941177,6,1,7,0.12500000000000003,1
"sul2",34,0.47058823529411764,0.2647058823529412,-0.20588235294117646,12,5,17,0.14346313476562506,1
"erm(Q)",34,0.14705882352941177,0.3235294117647059,0.17647058823529413,3,9,12,0.14599609375000008,1
"dfrG",34,0.2647058823529412,0.11764705882352941,-0.14705882352941177,7,2,9,0.17968750000000006,1
"erm(X)",34,0.5588235294117647,0.4117647058823529,-0.1470588235294118,7,2,9,0.17968750000000006,1
"tet(M)",34,0.5,0.29411764705882354,-0.20588235294117646,14,7,21,0.1892471313476562,1
"dfrA1",34,0.08823529411764706,0,-0.08823529411764706,3,0,3,0.25000000000000006,1
"lsa(C)",34,0.08823529411764706,0,-0.08823529411764706,3,0,3,0.25000000000000006,1
"NarB",34,0.08823529411764706,0,-0.08823529411764706,3,0,3,0.25000000000000006,1
"qnrD1",34,0.08823529411764706,0,-0.08823529411764706,3,0,3,0.25000000000000006,1
"sul1",34,0.20588235294117646,0.08823529411764706,-0.1176470588235294,6,2,8,0.2890625000000001,1
"cfxA5",34,0.2647058823529412,0.14705882352941177,-0.11764705882352941,7,3,10,0.3437500000000001,1
"lnu(P)",34,0.14705882352941177,0.2647058823529412,0.11764705882352941,3,7,10,0.3437500000000001,1
"aadA1",34,0.11764705882352941,0.029411764705882353,-0.08823529411764705,4,1,5,0.37499999999999994,1
"tet(B)",34,0.11764705882352941,0.029411764705882353,-0.08823529411764705,4,1,5,0.37499999999999994,1
"tetB(P)",34,0.17647058823529413,0.29411764705882354,0.11764705882352941,4,8,12,0.3876953124999998,1
"tet(44)",34,0.35294117647058826,0.23529411764705882,-0.11764705882352944,9,5,14,0.4239501953125002,1
"lnu(B)",34,0.08823529411764706,0.17647058823529413,0.08823529411764706,2,5,7,0.4531250000000002,1
"tet(O/32/O)",34,0.14705882352941177,0.058823529411764705,-0.08823529411764706,5,2,7,0.4531250000000002,1
"ant(2'')-Ia",34,0.058823529411764705,0,-0.058823529411764705,2,0,2,0.5,1
"ant(3'')-Ia",34,0,0.058823529411764705,0.058823529411764705,0,2,2,0.5,1
"aph(2'')-If",34,0.08823529411764706,0.029411764705882353,-0.05882352941176471,2,0,2,0.5,1
"blaTEM-70",34,0.058823529411764705,0,-0.058823529411764705,2,0,2,0.5,1
"cat",34,0,0.058823529411764705,0.058823529411764705,0,2,2,0.5,1
"catA1",34,0.058823529411764705,0,-0.058823529411764705,2,0,2,0.5,1
"catB3",34,0.058823529411764705,0,-0.058823529411764705,2,0,2,0.5,1
"cepA-44",34,0.058823529411764705,0,-0.058823529411764705,2,0,2,0.5,1
"cfr(B)",34,0.058823529411764705,0,-0.058823529411764705,2,0,2,0.5,1
"NarA",34,0.058823529411764705,0,-0.058823529411764705,2,0,2,0.5,1
"qnrB19",34,0.058823529411764705,0,-0.058823529411764705,2,0,2,0.5,1
"str",34,0,0.058823529411764705,0.058823529411764705,0,2,2,0.5,1
"catS",34,0.4117647058823529,0.5,0.08823529411764708,3,6,9,0.5078125000000002,1
"cfr(C)",34,0.20588235294117646,0.11764705882352941,-0.08823529411764705,6,3,9,0.5078125000000002,1
"tet(W)",34,0.8529411764705882,0.7647058823529411,-0.08823529411764708,7,4,11,0.5488281250000002,1
"aac(3)-IId",34,0.08823529411764706,0.029411764705882353,-0.05882352941176471,3,1,4,0.6250000000000001,1
"aac(6')-Ii",34,0.14705882352941177,0.08823529411764706,-0.058823529411764705,3,1,4,0.6250000000000001,1
"aadA2",34,0.08823529411764706,0.029411764705882353,-0.05882352941176471,3,1,4,0.6250000000000001,1
"ant(9)-Ia",34,0.08823529411764706,0.029411764705882353,-0.05882352941176471,3,1,4,0.6250000000000001,1
"aph(3')-Ia",34,0.08823529411764706,0.029411764705882353,-0.05882352941176471,3,1,4,0.6250000000000001,1
"Cfr(E)",34,0.14705882352941177,0.08823529411764706,-0.058823529411764705,3,1,4,0.6250000000000001,1
"cfxA3",34,0.11764705882352941,0.058823529411764705,-0.058823529411764705,3,1,4,0.6250000000000001,1
"dfrA12",34,0.08823529411764706,0.029411764705882353,-0.05882352941176471,3,1,4,0.6250000000000001,1
"lsa(E)",34,0.11764705882352941,0.058823529411764705,-0.058823529411764705,3,1,4,0.6250000000000001,1
"tet(O)",34,0.5294117647058824,0.4411764705882353,-0.08823529411764708,11,8,19,0.6476058959960941,1
"dfrA14",34,0.11764705882352941,0.058823529411764705,-0.058823529411764705,4,2,6,0.6874999999999999,1
"tet(40)",34,0.8529411764705882,0.9117647058823529,0.05882352941176472,2,4,6,0.6874999999999999,1
"ant(6)-Ib",34,0.23529411764705882,0.17647058823529413,-0.05882352941176469,6,4,10,0.7539062500000002,1
"tet(A)",34,0.23529411764705882,0.17647058823529413,-0.05882352941176469,6,4,10,0.7539062500000002,1
"mef(A)",34,0.4411764705882353,0.38235294117647056,-0.05882352941176472,8,6,14,0.7905273437499996,1
"aph(3'')-Ib",34,0.35294117647058826,0.29411764705882354,-0.05882352941176472,9,7,16,0.8036193847656254,1
"aph(6)-Id",34,0.35294117647058826,0.29411764705882354,-0.05882352941176472,9,7,16,0.8036193847656254,1
"msr(D)",34,0.38235294117647056,0.4411764705882353,0.05882352941176472,7,9,16,0.8036193847656254,1
"aac(3)-IIa",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"aac(6')-aph(2'')",34,0.38235294117647056,0.35294117647058826,-0.029411764705882304,5,4,9,1,1
"aac(6')-Ib-cr",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"aac(6')-If",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"aac(6')-Iih",34,0,0.029411764705882353,0.029411764705882353,0,1,1,1,1
"aac(6')-Im",34,0.17647058823529413,0.20588235294117646,0.02941176470588233,2,3,5,1,1
"aac(6')Ib-cr",34,0,0.029411764705882353,0.029411764705882353,0,1,1,1,1
"aadA13",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"aadA5",34,0.058823529411764705,0.058823529411764705,0,2,2,4,1,1
"aadD",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"ant(6)-Ia",34,0.9411764705882353,0.9411764705882353,0,2,2,4,1,1
"aph(2'')-Ia",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"aph(2'')-Ib",34,0.35294117647058826,0.38235294117647056,0.029411764705882304,2,3,5,1,1
"aph(2'')-Ic",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"aph(3')-IIIa",34,0.029411764705882353,0.058823529411764705,0.029411764705882353,1,2,3,1,1
"ARR-3",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"blaACI-1",34,0.08823529411764706,0.058823529411764705,-0.02941176470588236,2,1,3,1,1
"blaACT-12",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"blaACT-14",34,0.029411764705882353,0.058823529411764705,0.029411764705882353,1,2,3,1,1
"blaACT-9",34,0,0.029411764705882353,0.029411764705882353,0,1,1,1,1
"blaCMY-76",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"blaCTX-M-14",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
"blaCTX-M-15",34,0.029411764705882353,0,-0.029411764705882353,1,0,1,1,1
