"Gene","n_paired","Prev_T0","Prev_T12","DeltaPrev","Lost_1to0","Gained_0to1","Total_Discordant","P_value","P_adj"
"aph(3')-IIb",29,0.20689655172413793,0.034482758620689655,-0.1724137931034483,5,0,5,0.0625,0.9375
"catB7",29,0.20689655172413793,0.034482758620689655,-0.1724137931034483,5,0,5,0.0625,0.9375
"fosA",29,0.20689655172413793,0.034482758620689655,-0.1724137931034483,5,0,5,0.0625,0.9375
"None",29,0.2413793103448276,0.4827586206896552,0.2413793103448276,4,11,15,0.1184692382812501,1
"tet(W)",29,0.06896551724137931,0.2413793103448276,0.1724137931034483,1,6,7,0.12500000000000003,1
"msr(D)",29,0.27586206896551724,0.4482758620689655,0.1724137931034483,3,8,11,0.22656249999999992,1
"blaPAO",29,0.13793103448275862,0.034482758620689655,-0.10344827586206896,3,0,3,0.25000000000000006,1
"cfxA",29,0,0.10344827586206896,0.10344827586206896,0,3,3,0.25000000000000006,1
"tet(32)",29,0,0.10344827586206896,0.10344827586206896,0,3,3,0.25000000000000006,1
"tet(Q)",29,0.06896551724137931,0.1724137931034483,0.10344827586206898,1,4,5,0.37499999999999994,1
"erm(B)",29,0.2413793103448276,0.3793103448275862,0.1379310344827586,4,8,12,0.3876953124999998,1
"ant(6)-Ia",29,0.06896551724137931,0,-0.06896551724137931,2,0,2,0.5,1
"blaOXA-114c",29,0.06896551724137931,0,-0.06896551724137931,2,0,2,0.5,1
"crpP",29,0.10344827586206896,0.034482758620689655,-0.06896551724137931,2,0,2,0.5,1
"erm(F)",29,0.27586206896551724,0.3793103448275862,0.10344827586206895,3,6,9,0.5078125000000002,1
"erm(X)",29,0.3793103448275862,0.27586206896551724,-0.10344827586206895,7,4,11,0.5488281250000002,1
"mef(A)",29,0.3103448275862069,0.41379310344827586,0.10344827586206895,4,7,11,0.5488281250000002,1
"blaOXA-494",29,0.13793103448275862,0.06896551724137931,-0.06896551724137931,3,1,4,0.6250000000000001,1
"cfxA3",29,0.20689655172413793,0.27586206896551724,0.06896551724137931,3,5,8,0.7265625000000003,1
"tet(M)",29,0.1724137931034483,0.2413793103448276,0.06896551724137931,5,7,12,0.7744140625000002,1
"aac(6')-aph(2'')",29,0.06896551724137931,0.034482758620689655,-0.034482758620689655,2,1,3,1,1
"aac(6')-Ic",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"ant(2'')-Ia",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"aph(2'')-Ia",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"aph(3'')-Ib",29,0.06896551724137931,0.034482758620689655,-0.034482758620689655,2,1,3,1,1
"aph(3')-III",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"aph(6)-Id",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"blaBRO-1",29,0,0.034482758620689655,0.034482758620689655,0,1,1,1,1
"blaOXA-396",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"blaOXA-50",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"blaROB-1",29,0,0.034482758620689655,0.034482758620689655,0,1,1,1,1
"blaTEM-1A",29,0,0.034482758620689655,0.034482758620689655,0,1,1,1,1
"blaTEM-1C",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"bleO",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"catS",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"cfxA5",29,0.034482758620689655,0.034482758620689655,0,0,0,0,1,1
"lnu(C)",29,0,0.034482758620689655,0.034482758620689655,0,1,1,1,1
"lsa(C)",29,0.034482758620689655,0.06896551724137931,0.034482758620689655,1,2,3,1,1
"sul1",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"sul2",29,0.034482758620689655,0.034482758620689655,0,0,0,0,1,1
"tet(37)",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"tet(O)",29,0.034482758620689655,0.034482758620689655,0,1,1,2,1,1
"tet(O/W)",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"tet(S/M)",29,0.034482758620689655,0,-0.034482758620689655,1,0,1,1,1
"tet(X)",29,0,0.034482758620689655,0.034482758620689655,0,1,1,1,1
