FeatureID,n_pairs,n_T0,n_T12,p,padj,padj_signif
Actinomyces_SGB17132,34,34,34,0.0025844789476035302,0.010337915790414121,*
Adlercreutzia_equolifaciens,34,34,34,0.006633375463483006,0.011652395781024286,*
Anaerostipes_hadrus,34,34,34,0.0038464128676347705,0.011539238602904312,*
Bifidobacterium_pseudocatenulatum,34,34,34,0.08323017041095729,0.09079654953922613,ns
Blautia_obeum,34,34,34,0.03324366449443352,0.03989239739332023,*
Blautia_wexlerae,34,34,34,6.430964299927953e-4,0.0038585785799567715,**
Clostridium_sp_1001270J_160509_D11,34,34,34,0.009151688852650072,0.013727533278975107,*
Dysosmobacter_welbionis,34,34,34,0.0059215370241487075,0.011652395781024286,*
Flavonifractor_plautii,34,34,34,2.206919308346755e-5,2.648303170016106e-4,***
Hungatella_hathewayi,34,34,34,0.006797230872264168,0.011652395781024286,*
Lactobacillus_gasseri,34,34,34,0.20489389381637854,0.20489389381637854,ns
Ruminococcus_sp_AF41_9,34,34,34,0.01905889160173045,0.025411855468973933,*
