FeatureID,n_pairs,p,padj,p_signif,padj_signif,n_T0,n_T12,n_zero_T0,n_zero_T12,pct_zero_T0,pct_zero_T12
Flavonifractor_plautii,34,2.206919308346755e-5,2.648303170016106e-4,****,***,34,34,10,25,29.41176470588235,73.52941176470588
Blautia_wexlerae,34,6.430964299927953e-4,0.0038585785799567715,***,**,34,34,6,2,17.647058823529413,5.882352941176471
Actinomyces_SGB17132,34,0.0025844789476035302,0.010337915790414121,**,*,34,34,22,31,64.70588235294117,91.17647058823529
Anaerostipes_hadrus,34,0.0038464128676347705,0.011539238602904312,**,*,34,34,10,4,29.41176470588235,11.764705882352942
Dysosmobacter_welbionis,34,0.0059215370241487075,0.011652395781024286,**,*,34,34,24,33,70.58823529411765,97.05882352941177
Adlercreutzia_equolifaciens,34,0.006633375463483006,0.011652395781024286,**,*,34,34,31,19,91.17647058823529,55.88235294117647
Hungatella_hathewayi,34,0.006797230872264168,0.011652395781024286,**,*,34,34,19,26,55.88235294117647,76.47058823529412
Clostridium_sp_1001270J_160509_D11,34,0.009151688852650072,0.013727533278975107,**,*,34,34,33,25,97.05882352941177,73.52941176470588
Ruminococcus_sp_AF41_9,34,0.01905889160173045,0.025411855468973933,*,*,34,34,32,24,94.11764705882354,70.58823529411765
Blautia_obeum,34,0.03324366449443352,0.03989239739332023,*,*,34,34,14,6,41.1764705882353,17.647058823529413
Bifidobacterium_pseudocatenulatum,34,0.08323017041095729,0.09079654953922613,ns,ns,34,34,26,19,76.47058823529412,55.88235294117647
Lactobacillus_gasseri,34,0.20489389381637854,0.20489389381637854,ns,ns,34,34,32,27,94.11764705882354,79.41176470588235
