SampleType,Time,Rank,Taxon,n_samples,n_nonzero,n_unique_values,zero_percent,mean_RA_percent,sd_RA_percent,median_RA_percent,Q1_RA_percent,Q3_RA_percent,min_RA_percent,max_RA_percent,shapiro_p,distribution,recommended_summary
feces,T0,Species,UNCLASSIFIED,34,34,34,0,18.938414029141878,8.356738384145713,18.284098081939497,14.24756474308918,21.365706379807264,3.918239169083727,36.75741,0.13535740942367597,Compatible with normality,Mean +/- SD
feces,T0,Species,Bifidobacterium_longum,34,26,27,23.52941176470588,5.569802131527495,10.69626496470661,1.002391110839721,0.03453458394486946,4.746132333067539,0,46.26003223438416,9.935241242607435e-9,Non-normal,Median [IQR]
feces,T0,Species,Streptococcus_thermophilus,34,31,32,8.823529411764707,3.3957633629380513,10.78754062428285,0.580832025319731,0.08730351511990482,1.8437963961156367,0,62.518576727421895,1.9478683246475488e-11,Non-normal,Median [IQR]
feces,T0,Species,Ruminococcus_gnavus,34,32,33,5.88235294117647,2.876023889296708,5.393405534284247,1.1094750872819583,0.16042305433775209,2.3311966523857177,0,23.601168458540506,4.299476320896131e-9,Non-normal,Median [IQR]
feces,T0,Species,Ruminococcus_bromii,34,12,13,64.70588235294117,2.63792015686548,6.799834441884846,0,0,0.47669567664890633,0,30.394066078813214,4.220253618916425e-10,Non-normal,Median [IQR]
feces,T0,Species,Escherichia_coli,34,20,21,41.17647058823529,2.3610396904506348,6.455347643633308,0.01647500325950081,0,1.4079641800999976,0,35.40438712340817,1.3953460933968392e-10,Non-normal,Median [IQR]
feces,T0,Species,Dialister_invisus,34,14,15,58.82352941176471,2.093945852912017,4.022397285625817,0,0,2.4853374462461337,0,16.76848327944439,1.9724449554723686e-8,Non-normal,Median [IQR]
feces,T0,Species,Eubacterium_rectale,34,17,18,50,1.9281278940283144,4.38668758592274,0.0027007024527079494,0,0.9876367216733426,0,19.837228530697434,1.734065731596356e-9,Non-normal,Median [IQR]
feces,T0,Species,Blautia_massiliensis,34,25,26,26.47058823529412,1.7497354871217727,5.3649921519342065,0.1333934319118325,0.001160756851574147,0.7877930656815397,0,30.313383031338304,3.881032293931297e-11,Non-normal,Median [IQR]
feces,T0,Species,Bifidobacterium_bifidum,34,14,15,58.82352941176471,1.6323371188154137,5.128656440182364,0,0,0.6471354173304849,0,28.708427061878794,4.252207560986885e-11,Non-normal,Median [IQR]
feces,T0,Species,Akkermansia_muciniphila,34,8,9,76.47058823529412,1.5811840914889734,4.753252918423,0,0,0,0,22.8813805776247,9.152413392680484e-11,Non-normal,Median [IQR]
feces,T0,Species,Dorea_longicatena,34,22,23,35.294117647058826,1.5552860468183096,2.40863698862712,0.41147069633529293,0,1.8192351914187972,0,8.735423913865299,3.129167052970326e-7,Non-normal,Median [IQR]
feces,T0,Species,Bifidobacterium_pseudocatenulatum,34,8,9,76.47058823529412,1.4105824832189533,6.107142310314942,0,0,0,0,35.09547052864116,4.769582047465503e-12,Non-normal,Median [IQR]
feces,T0,Species,Blautia_wexlerae,34,28,29,17.647058823529413,1.3956401479046894,3.3371015602047653,0.3156488555036484,0.024170754797278083,0.7146928832475015,0,15.169200591961966,4.412134621527463e-10,Non-normal,Median [IQR]
feces,T0,Species,Anaerostipes_hadrus,34,24,25,29.411764705882355,1.3559267823400423,2.333998211550152,0.126292138414921,0,1.8327985316110547,0,9.471759482562353,9.371906207905702e-8,Non-normal,Median [IQR]
feces,T0,Species,Streptococcus_salivarius,34,23,24,32.35294117647059,1.3401592736181764,2.5643194256965662,0.038339066309968285,0,0.8849155817513017,0,9.10921582444686,1.6080964241872123e-8,Non-normal,Median [IQR]
feces,T0,Species,Fusicatenibacter_saccharivorans,34,26,27,23.52941176470588,1.313203623911097,2.1230378657423246,0.5389109823717539,0.00839095248486878,1.4582781201363182,0,10.214409324591596,9.260571950315249e-8,Non-normal,Median [IQR]
feces,T0,Species,Enterocloster_clostridioformis,34,24,25,29.411764705882355,1.2401678815196584,5.550557239540809,0.011311674140933512,0,0.17305642225783927,0,32.21846350277408,3.4887036927378167e-12,Non-normal,Median [IQR]
feces,T0,Species,Ruminococcus_torques,34,28,29,17.647058823529413,1.209140798219695,1.7189691964420863,0.38571835343210276,0.017110414313510073,1.4083800723590145,0,6.584529322169236,1.864906901218887e-6,Non-normal,Median [IQR]
feces,T0,Species,Bifidobacterium_adolescentis,34,8,9,76.47058823529412,1.1722421580109916,4.291211097100645,0,0,0,0,23.200812320081234,1.6839400308390803e-11,Non-normal,Median [IQR]
feces,T0,Species,Ruthenibacterium_lactatiformans,34,23,24,32.35294117647059,1.1048787739390833,3.4024363650564684,0.06596293489118937,0,0.3641108503528552,0,17.82795775604385,5.268328957368687e-11,Non-normal,Median [IQR]
feces,T0,Species,Mediterraneibacter_faecis,34,13,14,61.76470588235294,1.085232751139534,2.8191856085436147,0,0,0.07216158446070534,0,12.857971437718172,4.227885040067788e-10,Non-normal,Median [IQR]
feces,T0,Species,Collinsella_aerofaciens,34,19,20,44.11764705882353,1.0779874624696644,3.602513779182891,0.05737692347813435,0,0.4749132810636858,0,20.677201287141997,1.9287228903896804e-11,Non-normal,Median [IQR]
