FeatureID,A1H0,A1E0,A1H12,A1E12,A3H0,A3E0,A3H12,A3E12,A4H0,A4E0,A4H12,A4E12,A6H0,A6E0,A6H12,A6E12,A7H0,A7E0,A7H12,A7E12,A8H0,A8E0,A8H12,A8E12,A9H0,A9E0,A9H12,A9E12,A10H0,A10E0,A10H12,A10E12,A12H0,A12H12,A13H0,A13E0,A13H12,A13E12,A16H0,A16E0,A16H12,A16E12,A17H0,A17E0,A17H12,A17E12,A19H0,A19E0,A19H12,A19E12,A20H0,A20H12,A22H0,A22E0,A22H12,A22E12,A24H0,A24E0,A24H12,A24E12,A25H0,A25E0,A25H12,A25E12,A26H0,A26H12,A27H0,A27E0,A27H12,A27E12,A28H0,A28E0,A28H12,A28E12,A30H0,A30E0,A30H12,A30E12,P2H0,P2E0,P2H12,P2E12,P3E0,P3E12,P4H0,P4E0,P4H12,P4E12,P5H0,P5E0,P5H12,P5E12,P11H0,P11E0,P11H12,P11E12,P14H0,P14E0,P14H12,P14E12,P16H0,P16H12,P17H0,P17E0,P17H12,P17E12,P20H0,P20E0,P20H12,P20E12,P21H0,P21H12,P25H0,P25E0,P25H12,P25E12,P26H0,P26E0,P26H12,P26E12,P27H0,P27E0,P27H12,P27E12,P42H0,P42E0,P42H12,P42E12
UNCLASSIFIED,0.09178870917887091,0.091952115093335507,0.14328847973613976,0.029560786691691543,0.21426988819490994,0.03565690713138143,0.16046323740118817,0.25743506318574405,0.250024487317775,0.04789740478974048,0.16332069522654785,0.0977399,0.21181859060756061,0.059196594080340594,0.1942531,0.2661358,0.1968980543410028,0.0022383,0.16171568382843163,0.1400570140057014,0.2669395583265896,0.2153313532707445,0.18315840533000619,0,0.1816783096008654,0.14742161474216148,0.10467275467950149,0,0.19265349572923762,0,0.0810736929008386,0.4508821,0.361527640030882,0.058895176441929424,0.3675741,0,0.11257241125724113,0.1901199,0.18400365203792454,0,0.1259467723160889,0,0.1896510433352501,0.024961207108437584,0.09360138751023182,0,0.1779413035459824,0.005086,0.2966406,0.1566504654226782,0.20689236641667333,0.13855789864982745,0.14895965098874422,0.1391369860863014,0.118457350761137,0.14858001232408585,0.14113572354196044,0.3013715,0.1645542809885289,0,0.14649541909768587,0.03827199783011097,0.1677270343119254,0.18708675260320465,0.30124018985255796,0.09593024780173924,0.14934343812635983,0.2668178207597852,0.09119533671598794,0.01095959890404011,0.11593416864646997,0.02615409738459026,0.31355305480924506,0,0.3586853112856549,0,0.1695050585844937,0.28053804024972767,0.1638103857010199,0.7327926,0.031328206265641256,0.4618106,0.04062080406208041,0.2202695779730422,0.3195874719031344,0.042922491415501716,0.04278360855672171,0,0.1467529360508903,0.21512212151221216,0.25371011262611504,0,0.039182391690837266,0.06273811254762252,0.2525441681133736,0.1590991159099116,0.12346732469346494,0.2184864218486422,0.16028414808524444,0.12351328764867124,0.11389693416908026,0.14458504961144816,0.04388401423210177,0,0.09873620048846128,0.28809394182725,0.08661520866152086,0.09860377041886888,0.3289050588246126,0,0.20544036230080526,0.11028628120976652,0.1201549759690048,0,0.1416956224535749,0,0.18461777209096497,0.18716328103832108,0.09153943619575641,0,0.2610027607783463,0.21848991140104412,0.11844028673822213,0,0.1751931314641105,0,0.07140999119660531,0
Cutibacterium_acnes,0,3.368911460250006e-4,0,0,1.5166072511503617e-5,0,0,7.050348501530546e-5,2.8171694144428154e-5,0,0,0,1.2346209501860707e-4,0,0,0,0,0,0,0,4.1097860239456326e-4,0,0,0,9.808337005561225e-5,0,0,0,3.434312122300761e-5,0.5035014,0,0,3.1346703453475335e-5,0,0,0.2339848,0,0,0,0,0,0,0,0,0,0,7.330955956656748e-5,0,0,0,0,0,0,0,0,0,3.6356394301366184e-5,0,0,0,0,0,0,0,0,0,1.5100388079973655e-5,0,0,0,8.099897916553739e-5,0,0,0,0,0,0,0,1.1600075825862344e-4,0,0,0.5381894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5456948049885478e-4,0,0,0,0,0,0,0,0,0,0,0,0.018591793392423672,0,0,0,0,0,0,4.009372308708838e-5,0.006579439228717831,0,0
Staphylococcus_aureus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100568175165945,1.7516170729380803e-4,0,0,0,0,0,0,0.005156674720779411,0.4964986,0,0,0,0,0,0.5218561,0,0,2.330233219182038e-5,0.0267771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.009873229209693e-4,0,1.3698194259806215e-4,0,1.8892149504224045e-4,0,0,0,0,0,0,0,0,0,4.308431168954527e-6,1,0,0,0,0,0,0,0,0,3.275463473073086e-5,0.02849559430088114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8866108848980551,0,0,0,0.011352084980475007,0,0,0,0,0,0,0,0,0,0
Streptococcus_mitis,0,0.004717981366718306,0,0.003206489455060844,3.615752386848544e-4,0.008202401640480328,0,0.0010287099404505933,0,0,0,0,5.393397239088987e-4,0.006573399342660066,1.44e-4,0.058861,0,0.0107314,0,0.11549031154903115,0.0010619198754835903,0.05947953705334898,0,0.0039484003948400395,0,0,1.1627586172301966e-4,0,0.006044689712402893,0,0,0.3302005,0.002638731445981368,0,0,0,0,0,0.008276847777012751,0.2039193,2.2096030450634763e-4,0.003033333728911425,0,0,0,0,0,0,0,0.10651771833686616,0,0,0,0,3.434928091332635e-5,0.021284194131276406,0,0,0,0.4920273,0,0.053111074395109426,0,0.06595488161160941,0,0,5.330136984520502e-5,0.023955184464355354,0,0.027658597234140277,0,0,0,0,3.940711578487943e-4,0,0,0.013811159239421618,0,0,0,0,0.04938600493860049,0,0,0.1953293609341278,0,0.07455050845151175,0,0.0402422040242204,0,0.004914851972689514,0,0.04125110825022165,0.0017997859177750681,0.17408761740876175,0,0.0396798039679804,0,0.06805069319493068,0,1.930406543618086e-5,0,0,1.8361325265423714e-4,0.13858428517988225,0,0.011016996694900992,8.606234356167607e-5,0.0080498,1.6872525991230538e-4,0,0,0,1.8207787187303275e-4,0,0,0,2.189094131047635e-4,0,8.3105368606812e-4,0.0025307696288027724,0,0.03882005965590394,8.379588125201471e-5,0.03296353493516594,0.003960315855865063,0
Streptococcus_sanguinis,0,4.258055205791116e-4,0,0.0055194069371726955,2.114210770643385e-4,0,7.253558310270803e-5,0,0,0,9.480580211508945e-5,0,0.003278402787822522,0,6.45e-5,0,0,0,0,0,0.0014600897948719438,0.00734460391647073,0,0,0,0,0,0,0.004729938911297024,0,0,0.1374882,2.053058852384167e-5,0,0,0,0,0,0.001294685611864503,0.0137255,0,0,5.317396085398196e-5,0,0,0,0,0,0,7.956721358579408e-4,0,0,0,0,0,0.001200912571634384,0,0,1.411012699114292e-4,0,6.428171769602252e-5,0,7.884716637492549e-5,0.0038029280540230422,0,0,0.008645722195060414,0.03164096876087273,0,0,0,0,0,0,4.17416843020106e-4,0,7.313567653870875e-5,1.9353165218770688e-4,0,0,0,0,0,0,0,0,0,0.004663165256997399,2.091356785467601e-4,0.003497500349750035,0,0,0,0,0,0,2.220000444000089e-5,0,0,0,0,0,0,0,0,0,0,0.0013978995806301258,0,0,0,0,0,0,2.9128455588264176e-5,0,0,0,4.6351993135704836e-4,0,0.0011511743658640348,0.09304616848023811,1.3770287782001933e-4,8.037491013265389e-4,0.007230101084294647,0,1.264263609868446e-4,0
Actinomyces_sp_ICM47,0,0.008531966473861632,0,0.0038085163566000274,3.922086964067657e-4,0.06971751394350278,4.5321951078278784e-5,0.054740948764596675,0,0,0,0,5.968343269812892e-4,0.008474799152520085,0,0.0050342,1.496099191376388e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89634256410319e-4,0.0814292,0,0,0,0,0,0,0,0,1.4029225682942707e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.805274140966457e-4,0,5.54503231198573e-4,0.023692401823911892,0,0,0,0,0,0,0,0.04594499081100184,0,0.15098673513393443,0,0,3.596642360325554e-4,0.005744551108515089,0,0,0,0,0,0,0,0,0,0,7.101847190454237e-4,0,0,0.023063627798309488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002709927170575598,0.0032243372106636474,0,1.8176313879897785e-5,0
Enterocloster_clostridioformis,0,0,3.606399917293228e-5,0,0,0,0,0,3.1780879159372686e-5,0,0.0016799028100519752,0,0.0516381221092571,0,0,0,6.066402202466024e-4,0,0,0,0,0,0,0,0.003837587691083089,0,0,0,0.3221846350277408,0,4.462482855085954e-4,0,0,0,7.5e-5,0,0,0,3.082536961064515e-4,0,0,0,1.2020167396110865e-5,0,0,0,0.005110866456985991,0,2.274e-4,0,1.4252621726958446e-4,0.004119075996156353,0.0010097331091576745,0,0,0,0,0,0,0,0.0037894022283121633,0,0,0,0.00158752247267837,2.6995477022280896e-4,8.450217170581284e-5,0,9.93187037885872e-5,0,0.0015361981964639513,0,0,0,0.002251906756331465,0,0,0,0.008157485591985198,0,0,0,0,0,0.01708950529483178,0,0,0,0,0,0.0010724915469902925,0,1.5341405153926943e-4,0,0.009543806031602833,0,0,0,0,0,0,0,0,0,0,0,5.7600005760000574e-5,0,0.1399705946987998,0,0.0017782448058784003,0,5.279998944000211e-5,0,3.7056200201977314e-4,0,0,0,0,0,1.960126624179922e-5,0,0,0,1.417313111128574e-4,0,0,0
Ruminococcus_gnavus,0,0,3.7857181354030865e-4,0,0.011827728682779396,0,5.520479639241362e-4,0,0.0031493146909570167,0,6.719411227967152e-4,0,0.019649436240199943,0,0.0512768,0,0.0074132915012265314,0,0.004411999558800044,0,0.0022573302441725247,0,6.731946700341876e-5,0,0.060834440731657446,0,0.018949654759008495,0,0.041896104749122996,0,0.0056491900664806215,0,0.00123674262283376,0.003913598434560626,0.0158355,0,0.0011288001128800112,0,0.02426114280864416,0,0.0025681499700175407,0,0.0018421415863666853,0,0.0024542769429579127,0,0.0892150336403867,0,0.0554894,0,0.0034654519471095783,0.006608282086910648,0.010361773062859772,0,0.004617725050129421,0,3.788296113390974e-4,0,0,0,0.23601168458540506,0,0.03051175213012424,0,9.88251049477466e-4,0.0015906860461317104,0.017812657785305084,0,0.31049966236656806,0,0.017020193890533487,0,0,0,0.0012134746485397273,0,0.002632079561153749,0,0.015828648764316687,0,5.130001026000205e-4,0,0,0,0,0,0.001099300219860044,0,0.06130675893307398,0,0.03545853289397487,0,0.21253785396089614,0,0.0095269696802366,0,0.014531502906300581,0,0.02179610653883196,0,6.287001886100565e-4,3.610760426145746e-4,0.0038753079676023734,0,0.001303904248140253,0,0.007209300720930072,0,0.022316466048005176,0,0.02453085116579843,0.011740519158585455,0.04844779031044194,0,0.0042446465952589085,0,0.0015249268623811327,0,0.008060146586303212,0,2.9151883211655475e-4,0,0.082915145905506,0,0.020464437669496214,0,0.0022608305080946195,0
Longicatena_caecimuris,0,0,0,0,5.041965828327692e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.022048646777651e-4,0,0,0,0,0,0,0,0.03439879112213295,0,0,0,0,0,0,0,0,0,0,0,0.001519365141462695,0,0,0,5.81267858607535e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004896929343133062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011200728953168722,0,0,0,0,0,0,0,0,0,0,0,0.0024644401490106133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034673386544820843,0,0,0,0,0,0,0,0,0,9.141930752151777e-4,0,1.692027048403988e-5,0,2.3821024304045073e-4,0,0,0,0,0,0.008954832817193472,0,0,0
Clostridium_symbiosum,0,0,8.715466466791969e-5,0,0,0,0,0,6.125589011475303e-5,0,0,0,0.004732411039205873,0,0,0,0.0010368687443977535,0,0,0,0.001709859113493037,0,0,0,0,0,0,0,0.03299122378057889,0,0,0,0,0,0,0,0,0,1.4664398706921446e-5,0,0,0,0,0,0,0,0.001135048010260538,0,8.32e-5,0,9.830783608135296e-5,0,0.0022607431932516256,0,6.84982744743884e-5,0,0,0,0,0,0.005354496068554289,0,0,0,0.005465479788861418,0,0,0,0,0,0.004047578759140982,0,7.155783954194862e-5,0,1.5891097288283441e-4,0,1.2454190860374336e-4,0,0.0010352992609380508,0,0,0,0,0,8.414034609729028e-6,0,0,0,1.8263115687536293e-4,0,4.4557958051307965e-4,0,0.001916467659583078,0,0.0052166632977261205,0,1.0200002040000409e-5,0,0,0,0,0,0,0,0,0,0.0011453001145300115,0,0,0,0.0012617451050190756,0,0,0,0,0,4.625541398595517e-5,0,0,0,3.4702241764818005e-5,0,6.574912116842493e-5,0,3.700650640938257e-4,0,0,0
