FeatureID,Rank,Taxon,A1E0,A1E12,A3E0,A3E12,A4E0,A4E12,A6E0,A6E12,A7E0,A7E12,A8E0,A8E12,A9E0,A9E12,A10E0,A10E12,A13E0,A13E12,A16E0,A16E12,A17E0,A17E12,A19E0,A19E12,A22E0,A22E12,A24E0,A24E12,A25E0,A25E12,A27E0,A27E12,A28E0,A28E12,A30E0,A30E12,P2E0,P2E12,P3E0,P3E12,P4E0,P4E12,P5E0,P5E12,P11E0,P11E12,P14E0,P14E12,P17E0,P17E12,P20E0,P20E12,P25E0,P25E12,P26E0,P26E12,P27E0,P27E12,P42E0,P42E12
UNCLASSIFIED,Species,UNCLASSIFIED,9.19521150933355,2.9560786691691545,3.565690713138143,25.743506318574404,4.789740478974048,9.773990000000001,5.919659408034059,26.61358,0.22383,14.005701400570139,21.53313532707445,0,14.742161474216148,0,0,45.088210000000004,0,19.01199,0,0,2.4961207108437584,0,0.5086,15.665046542267818,13.91369860863014,14.858001232408585,30.137150000000002,0,3.8271997830110966,18.708675260320465,26.68178207597852,1.0959598904040109,2.615409738459026,0,0,28.053804024972766,73.27926000000001,46.18106,4.0620804062080405,22.02695779730422,4.292249141550172,0,21.512212151221217,0,6.2738112547622515,15.909911590991161,21.848642184864218,12.351328764867125,0,28.809394182725,9.860377041886888,0,0,0,18.716328103832108,0,21.848991140104413,0,0,0
Cutibacterium_acnes,Species,Cutibacterium_acnes,0.03368911460250006,0,0,0.007050348501530547,0,0,0,0,0,0,0,0,0,0,50.350139999999996,0,23.39848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.818940000000005,0,0,0,0,0,0,0,0,0,0,0,0.015456948049885478,0,0,0,0,1.8591793392423672,0,0,0,0.6579439228717832,0
Staphylococcus_aureus,Species,Staphylococcus_aureus,0,0,0,0,0,0,0,0,0,0,0.017516170729380803,0,0,0,49.649860000000004,0,52.185610000000004,0,2.6777100000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,2.8495594300881137,0,0,0,0,0,0,0,0,0,0,0,88.66108848980551,0,1.1352084980475008,0,0,0,0,0
Streptococcus_mitis,Species,Streptococcus_mitis,0.4717981366718306,0.3206489455060844,0.8202401640480328,0.10287099404505934,0,0,0.6573399342660066,5.8861,1.07314,11.549031154903115,5.947953705334898,0.3948400394840039,0,0,0,33.02005,0,0,20.39193,0.30333337289114254,0,0,0,10.651771833686615,0,2.1284194131276406,0,49.20273,5.311107439510943,6.595488161160941,2.3955184464355352,2.7658597234140276,0,0,0,1.3811159239421618,0,0,4.938600493860049,0,19.532936093412783,7.455050845151175,4.02422040242204,0.49148519726895135,4.125110825022165,17.408761740876173,3.9679803967980396,6.805069319493068,0,13.858428517988225,1.1016996694900991,0.8049799999999999,0,0,0,0,0.25307696288027726,3.882005965590394,3.296353493516594,0
Streptococcus_sanguinis,Species,Streptococcus_sanguinis,0.042580552057911156,0.5519406937172695,0,0,0,0,0,0,0,0,0.734460391647073,0,0,0,0,13.74882,0,0,1.37255,0,0,0,0,0.07956721358579408,0,0.12009125716343841,0,0,0,0.3802928054023042,3.164096876087273,0,0,0,0,0.019353165218770688,0,0,0,0,0,0.4663165256997399,0.3497500349750035,0,0,0,0,0,0,0,0.1397899580630126,0,0,0,0,0,9.30461684802381,0.0803749101326539,0,0
Actinomyces_sp_ICM47,Species,Actinomyces_sp_ICM47,0.8531966473861632,0.38085163566000274,6.971751394350278,5.4740948764596675,0,0,0.8474799152520085,0.50342,0,0,0,0,0,0,0,8.14292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3692401823911893,0,0,0,0,4.594499081100184,15.098673513393443,0,0.5744551108515089,0,0,0,0,0,2.3063627798309487,0,0,0,0,0,0,0,0.2709927170575598,0,0
Enterocloster_clostridioformis,Species,Enterocloster_clostridioformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus_gnavus,Species,Ruminococcus_gnavus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longicatena_caecimuris,Species,Longicatena_caecimuris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_symbiosum,Species,Clostridium_symbiosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
