"FeatureID","Time","n","prevalence","mean","sd","median","iqr","sum_abundance"
"Actinobacteria","T0",34,100,0.1315878038436687,0.1934078843230915,0.059765879105190906,0.08695473088858609,4.4739853306847355
"Actinobacteria","T12",34,100,0.17019553576598068,0.19645581581574956,0.1091094779890602,0.17926324883630296,5.786648216043343
"Bacillota","T0",34,44.11764705882353,0.015460030518381414,0.05499362151310244,0,0.0014683727411135355,0.525641037624968
"Bacillota","T12",34,52.94117647058824,0.008671103912091822,0.019272813207994833,6.921275518551315e-4,0.00781768210680472,0.2948175330111219
"Bacteria_unclassified","T0",34,17.647058823529413,3.097642514870979e-5,8.866645848006929e-5,0,0,0.001053198455056133
"Bacteria_unclassified","T12",34,5.88235294117647,8.770495185324738e-7,3.572989495017053e-6,0,0,2.9819683630104108e-5
"Bacteroidota","T0",34,97.05882352941177,0.026686671240862454,0.03998418742726416,0.008645951819315469,0.03035960098444385,0.9073468221893235
"Bacteroidota","T12",34,91.17647058823529,0.014604041371237246,0.03173911721127169,0.002400768637994986,0.007146204366391728,0.49653740662206636
"Candidatus_Absconditabacteria","T0",34,0,0,0,0,0,0
"Candidatus_Absconditabacteria","T12",34,0,0,0,0,0,0
"Candidatus_Saccharibacteria","T0",34,38.23529411764706,9.616930285894432e-5,3.1662579206450536e-4,0,4.673254976699126e-5,0.003269756297204107
"Candidatus_Saccharibacteria","T12",34,14.705882352941178,1.6142671811524433e-5,4.5336156575024275e-5,0,0,5.488508415918308e-4
"Firmicutes","T0",34,100,0.5870733939348521,0.19700001150522056,0.6516278989620583,0.2278880662609204,19.960495393784974
"Firmicutes","T12",34,100,0.6066875289258854,0.21644236973829062,0.6595935226540933,0.2363563025887917,20.627375983480103
"Fusobacteria","T0",34,26.47058823529412,4.0867067329596204e-4,0.0016910267597612595,0,5.784648794188707e-6,0.01389480289206271
"Fusobacteria","T12",34,8.823529411764707,3.0654992319399503e-6,1.1582922705192998e-5,0,0,1.042269738859583e-4
"Proteobacteria","T0",34,85.29411764705883,0.033430986506062875,0.09902598377158427,0.0014338677571270398,0.025518742697914196,1.1366535412061378
"Proteobacteria","T12",34,88.23529411764706,0.016950629975856946,0.03201579784146108,0.002432626814374789,0.016232581497680625,0.5763214191791362
"Spirochaetes","T0",34,0,0,0,0,0,0
"Spirochaetes","T12",34,0,0,0,0,0,0
"Synergistetes","T0",34,5.88235294117647,2.931634856024076e-5,1.6832866648433287e-4,0,0,9.96755851048186e-4
"Synergistetes","T12",34,0,0,0,0,0,0
"Tenericutes","T0",34,0,0,0,0,0,0
"Tenericutes","T12",34,0,0,0,0,0,0
"UNCLASSIFIED","T0",34,100,0.18938414029141878,0.08356738384145712,0.18284098081939498,0.07118141636718081,6.439060769908239
"UNCLASSIFIED","T12",34,100,0.14662737734166392,0.07259865995868915,0.14012676055170117,0.07030211000765653,4.985330829616573
"Verrucomicrobia","T0",34,23.52941176470588,0.015811840914889734,0.04753252918422999,0,0,0.537602591106251
"Verrucomicrobia","T12",34,44.11764705882353,0.036243697486721994,0.12792790219753097,0,0.0024454137068260938,1.2322857145485477
