SampleType,Time,Rank,Taxon,n_samples,mean_RA_percent,sd_RA_percent,median_RA_percent,Q1_RA_percent,Q3_RA_percent,min_RA_percent,max_RA_percent
feces,T0,Phylum,Bacillota,34,60.25334244532336,19.60916175366581,66.23828676869428,52.991822059265445,73.47518302081068,4.608421382526416,84.51871889344322
feces,T0,Phylum,UNCLASSIFIED,34,18.938414029141878,8.356738384145713,18.284098081939497,14.24756474308918,21.365706379807264,3.918239169083727,36.75741
feces,T0,Phylum,Actinomycetota,34,13.158780384366867,19.340788432309147,5.97658791051909,3.2885023272155056,11.983975416074115,0.7388160420167681,83.00568490170545
feces,T0,Phylum,Pseudomonadota,34,3.3430986506062874,9.902598377158425,0.14338677571270397,0.02949401044842642,2.5813682802398463,0,56.894935412827664
feces,T0,Phylum,Bacteroidota,34,2.6686671240862454,3.9984187427264155,0.8645951819315467,0.089779437286974,3.125739535731359,0,13.62021302012323
feces,T0,Phylum,Verrucomicrobiota,34,1.5811840914889734,4.753252918423,0,0,0,0,22.8813805776247
feces,T0,Phylum,Fusobacteriota,34,0.040867067329596204,0.16910267597612597,0,0,5.784648794188707e-4,0,0.9556467225822198
feces,T0,Phylum,Candidatus_Saccharibacteria,34,0.009616930285894432,0.031662579206450533,0,0,0.004673254976699126,0,0.18243114637932478
feces,T0,Phylum,Bacteria_unclassified,34,0.003097642514870979,0.00886664584800693,0,0,0,0,0.042870285446906936
feces,T0,Phylum,Synergistetes,34,0.002931634856024076,0.016832866648433288,0,0,0,0,0.09818548884460018
feces,T0,Phylum,Candidatus_Absconditabacteria,34,0,0,0,0,0,0,0
feces,T0,Phylum,Mycoplasmatota,34,0,0,0,0,0,0,0
feces,T0,Phylum,Spirochaetota,34,0,0,0,0,0,0,0
feces,T12,Phylum,Bacillota,34,61.535863283797724,21.611754302929047,66.74598278890662,55.045604533398226,77.81966435819513,8.541861708372345,91.73168330732666
feces,T12,Phylum,Actinomycetota,34,17.019553576598067,19.645581581574955,10.910947798906019,3.8854315359620326,21.811756419592335,0.07788642092331685,87.72763754552751
feces,T12,Phylum,UNCLASSIFIED,34,14.662737734166392,7.259865995868915,14.012676055170118,9.663173597341974,16.693384598107627,3.1328206265641256,32.890505882461255
feces,T12,Phylum,Verrucomicrobiota,34,3.6243697486721995,12.792790219753098,0,0,0.2445413706826094,0,65.36596307319262
feces,T12,Phylum,Pseudomonadota,34,1.6950629975856946,3.201579784146108,0.24326268143747895,0.027387237973643785,1.6506453877417062,0,10.756015781620897
feces,T12,Phylum,Bacteroidota,34,1.4604041371237246,3.173911721127169,0.24007686379949858,0.05971935585327212,0.774339792492445,0,14.82189202987768
feces,T12,Phylum,Candidatus_Saccharibacteria,34,0.0016142671811524433,0.004533615657502428,0,0,0,0,0.01796301240618704
feces,T12,Phylum,Fusobacteriota,34,3.0654992319399503e-4,0.0011582922705192999,0,0,0,0,0.0052392976576232184
feces,T12,Phylum,Bacteria_unclassified,34,8.770495185324737e-5,3.572989495017053e-4,0,0,0,0,0.0016099999999999999
feces,T12,Phylum,Candidatus_Absconditabacteria,34,0,0,0,0,0,0,0
feces,T12,Phylum,Mycoplasmatota,34,0,0,0,0,0,0,0
feces,T12,Phylum,Spirochaetota,34,0,0,0,0,0,0,0
feces,T12,Phylum,Synergistetes,34,0,0,0,0,0,0,0
