"FeatureID","Time","n","prevalence","mean","sd","median","iqr","sum_abundance"
"Abiotrophia_defectiva","T0",34,11.76470588235294,3.750460687380404e-5,1.2530240397759152e-4,0,0,0.0012751566337093376
"Abiotrophia_defectiva","T12",34,5.88235294117647,1.7238232138134845e-6,8.376903625102183e-6,0,0,5.860998926965847e-5
"Abiotrophia_sp_HMSC24B09","T0",34,8.823529411764707,5.173180309663169e-5,2.2859765201210236e-4,0,0,0.0017588813052854774
"Abiotrophia_sp_HMSC24B09","T12",34,0,0,0,0,0,0
"Achromobacter_xylosoxidans","T0",34,0,0,0,0,0,0
"Achromobacter_xylosoxidans","T12",34,0,0,0,0,0,0
"Acidaminococcus_SGB5735","T0",34,8.823529411764707,1.1574448708196594e-6,5.115577363995783e-6,0,0,3.935312560786842e-5
"Acidaminococcus_SGB5735","T12",34,0,0,0,0,0,0
"Acidaminococcus_intestini","T0",34,17.647058823529413,0.003509263704568052,0.013497570060790776,0,0,0.11931496595531375
"Acidaminococcus_intestini","T12",34,20.588235294117645,0.008458965472103461,0.04783496436280942,0,0,0.2876048260515177
"Actinobaculum_sp_oral_taxon_183","T0",34,2.941176470588235,8.661506215897528e-7,5.050482608180204e-6,0,0,2.9449121134051597e-5
"Actinobaculum_sp_oral_taxon_183","T12",34,0,0,0,0,0,0
"Actinomyces_SGB17132","T0",34,35.294117647058826,0.00018524802445468817,6.646265671266091e-4,0,6.082173584876116e-5,0.0062984328314593975
"Actinomyces_SGB17132","T12",34,8.823529411764707,4.847718662947789e-6,2.3250582837204317e-5,0,0,1.648224345402248e-4
"Actinomyces_bouchesdurhonensis","T0",34,2.941176470588235,4.217059645973838e-6,2.45894719333668e-5,0,0,1.4338002796311048e-4
"Actinomyces_bouchesdurhonensis","T12",34,2.941176470588235,1.3456961743948541e-5,7.846689657973747e-5,0,0,4.575366992942504e-4
"Actinomyces_dentalis","T0",34,0,0,0,0,0,0
"Actinomyces_dentalis","T12",34,2.941176470588235,4.533307655768775e-6,2.6433498865321647e-5,0,0,1.5413246029613836e-4
"Actinomyces_gerencseriae","T0",34,14.705882352941178,1.1284034619454265e-4,3.908551644213567e-4,0,0,0.0038365717706144503
"Actinomyces_gerencseriae","T12",34,8.823529411764707,1.5401129396262192e-5,5.2851062393821723e-5,0,0,5.236383994729146e-4
"Actinomyces_graevenitzii","T0",34,5.88235294117647,1.4202741380112517e-4,8.010259302328518e-4,0,0,0.004828932069238256
"Actinomyces_graevenitzii","T12",34,5.88235294117647,3.8868069020680055e-5,1.8047783223747613e-4,0,0,0.0013215143467031217
"Actinomyces_johnsonii","T0",34,17.647058823529413,1.38002617212975e-4,6.957758738741329e-4,0,0,0.0046920889852411505
"Actinomyces_johnsonii","T12",34,8.823529411764707,6.217474824085227e-6,2.5114465761106072e-5,0,0,2.1139414401889772e-4
"Actinomyces_massiliensis","T0",34,17.647058823529413,6.729671068545982e-5,2.532135112537496e-4,0,0,0.002288088163305634
"Actinomyces_massiliensis","T12",34,5.88235294117647,6.197829341395636e-6,3.495708406912726e-5,0,0,2.1072619760745164e-4
"Actinomyces_naeslundii","T0",34,23.52941176470588,8.480134257016302e-5,2.8876028827233216e-4,0,0,0.0028832456473855427
"Actinomyces_naeslundii","T12",34,17.647058823529413,6.577877890516524e-5,1.9650409269228857e-4,0,0,0.002236478482775618
"Actinomyces_oris","T0",34,35.294117647058826,3.983514882173e-4,0.0013907050302843765,0,9.441753586108985e-5,0.0135439505993882
"Actinomyces_oris","T12",34,35.294117647058826,3.3163548261986e-4,0.0014937363083096958,0,1.2713612852700113e-4,0.011275606409075238
"Actinomyces_radicidentis","T0",34,0,0,0,0,0,0
"Actinomyces_radicidentis","T12",34,5.88235294117647,2.5867869631569567e-5,1.0545707180571338e-4,0,0,8.795075674733652e-4
"Actinomyces_sp_ICM47","T0",34,17.647058823529413,1.72167714303865e-4,5.782559800118917e-4,0,0,0.0058537022863314105
"Actinomyces_sp_ICM47","T12",34,17.647058823529413,3.768615336125196e-5,1.1997639996597542e-4,0,0,0.0012813292142825666
"Actinomyces_sp_oral_taxon_448","T0",34,8.823529411764707,8.736066976620919e-5,3.896166609620139e-4,0,0,0.0029702627720511123
"Actinomyces_sp_oral_taxon_448","T12",34,5.88235294117647,1.3431959156417943e-5,5.468274026002075e-5,0,0,4.5668661131821e-4
"Actinomyces_sp_ph3","T0",34,50,1.6776953920113148e-4,3.697669099278605e-4,4.2783646664123415e-6,1.7003994637503387e-4,0.00570416433283847
"Actinomyces_sp_ph3","T12",34,14.705882352941178,2.4895861342793966e-5,7.588382480484503e-5,0,0,8.464592856549948e-4
"Adlercreutzia_equolifaciens","T0",34,8.823529411764707,2.7160433526833127e-4,0.0015688057640062334,0,0,0.009234547399123263
"Adlercreutzia_equolifaciens","T12",34,44.11764705882353,0.001267895122118492,0.002600499124873632,0,9.540265633205037e-4,0.04310843415202873
"Agathobaculum_butyriciproducens","T0",34,61.76470588235294,0.0010916685024365852,0.0015667035968030014,4.7553628051399054e-4,0.0012471305945332474,0.03711672908284389
"Agathobaculum_butyriciproducens","T12",34,67.64705882352942,0.001983699937900632,0.0029120624552935025,5.462713709274662e-4,0.003619800431492714,0.0674457978886215
"Aggregatibacter_aphrophilus","T0",34,0,0,0,0,0,0
"Aggregatibacter_aphrophilus","T12",34,0,0,0,0,0,0
"Aggregatibacter_segnis","T0",34,0,0,0,0,0,0
"Aggregatibacter_segnis","T12",34,2.941176470588235,4.27393373267516e-7,2.4921101996985473e-6,0,0,1.4531374691095544e-5
"Aggregatibacter_sp_2125159857","T0",34,0,0,0,0,0,0
