FeatureID,SampleID,RelAbundance,Time,sign|Time
Neisseria_subflava,A1E0,0,T0,TRUE
Fusobacterium_periodonticum,A1E0,0,T0,TRUE
Prevotella_pallens,A1E0,0.013461867674995272,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A1E0,0,T0,TRUE
Neisseria_subflava,A1E12,0.00768501758623705,T12,TRUE
Fusobacterium_periodonticum,A1E12,0.006528706586683881,T12,TRUE
Prevotella_pallens,A1E12,0.011000554937451099,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A1E12,0,T12,TRUE
Neisseria_subflava,A3E0,0.008391206074104969,T0,TRUE
Fusobacterium_periodonticum,A3E0,0,T0,TRUE
Prevotella_pallens,A3E0,0.001455498868711534,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A3E0,9.196936069109857e-4,T0,TRUE
Neisseria_subflava,A3E12,0.027764658282477494,T12,TRUE
Fusobacterium_periodonticum,A3E12,0.0027933510907313126,T12,TRUE
Prevotella_pallens,A3E12,0.0085795205502545609,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A3E12,3.6009305775649884e-5,T12,TRUE
Neisseria_subflava,A4E0,0,T0,TRUE
Fusobacterium_periodonticum,A4E0,0,T0,TRUE
Prevotella_pallens,A4E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A4E0,0,T0,TRUE
Neisseria_subflava,A4E12,0,T12,TRUE
Fusobacterium_periodonticum,A4E12,0,T12,TRUE
Prevotella_pallens,A4E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A4E12,0,T12,TRUE
Neisseria_subflava,A6E0,0,T0,TRUE
Fusobacterium_periodonticum,A6E0,0,T0,TRUE
Prevotella_pallens,A6E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A6E0,0.015782041627183573,T0,TRUE
Neisseria_subflava,A6E12,0,T12,TRUE
Fusobacterium_periodonticum,A6E12,0,T12,TRUE
Prevotella_pallens,A6E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A6E12,0.07628345952834326,T12,TRUE
Neisseria_subflava,A7E0,0,T0,TRUE
Fusobacterium_periodonticum,A7E0,0,T0,TRUE
Prevotella_pallens,A7E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A7E0,0,T0,TRUE
Neisseria_subflava,A7E12,0.009765183246469038,T12,TRUE
Fusobacterium_periodonticum,A7E12,0,T12,TRUE
Prevotella_pallens,A7E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A7E12,0,T12,TRUE
Neisseria_subflava,A8E0,0.0019524616035139688,T0,TRUE
Fusobacterium_periodonticum,A8E0,0.001620504620825795,T0,TRUE
Prevotella_pallens,A8E0,2.8497467191328144e-5,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A8E0,0,T0,TRUE
Neisseria_subflava,A8E12,1.8500001850000185e-4,T12,TRUE
Fusobacterium_periodonticum,A8E12,0,T12,TRUE
Prevotella_pallens,A8E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A8E12,0,T12,TRUE
Neisseria_subflava,A9E0,0,T0,TRUE
Fusobacterium_periodonticum,A9E0,0,T0,TRUE
Prevotella_pallens,A9E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A9E0,0,T0,TRUE
Neisseria_subflava,A9E12,0,T12,TRUE
Fusobacterium_periodonticum,A9E12,0,T12,TRUE
Prevotella_pallens,A9E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A9E12,0,T12,TRUE
Neisseria_subflava,A10E0,0,T0,TRUE
Fusobacterium_periodonticum,A10E0,0,T0,TRUE
Prevotella_pallens,A10E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A10E0,0,T0,TRUE
Neisseria_subflava,A10E12,0,T12,TRUE
Fusobacterium_periodonticum,A10E12,0,T12,TRUE
Prevotella_pallens,A10E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A10E12,0,T12,TRUE
Neisseria_subflava,A13E0,0.0884809,T0,TRUE
Fusobacterium_periodonticum,A13E0,0,T0,TRUE
Prevotella_pallens,A13E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,A13E0,0,T0,TRUE
Neisseria_subflava,A13E12,0.3798936410463722,T12,TRUE
Fusobacterium_periodonticum,A13E12,0.01884982727690185,T12,TRUE
Prevotella_pallens,A13E12,0.002871659644433787,T12,TRUE
TM7_phylum_sp_oral_taxon_351,A13E12,0,T12,TRUE
Neisseria_subflava,A16E0,0.1975504,T0,TRUE
Fusobacterium_periodonticum,A16E0,0.0048762,T0,TRUE
Prevotella_pallens,A16E0,0,T0,TRUE
