FeatureID,A1H0,A1E0,A1H12,A1E12,A3H0,A3E0,A3H12,A3E12,A4H0,A4E0,A4H12,A4E12,A6H0,A6E0,A6H12,A6E12,A7H0,A7E0,A7H12,A7E12,A8H0,A8E0,A8H12,A8E12,A9H0,A9E0,A9H12,A9E12,A10H0,A10E0,A10H12,A10E12,A12H0,A12H12,A13H0,A13E0,A13H12,A13E12,A16H0,A16E0,A16H12,A16E12,A17H0,A17E0,A17H12,A17E12,A19H0,A19E0,A19H12,A19E12,A20H0,A20H12,A22H0,A22E0,A22H12,A22E12,A24H0,A24E0,A24H12,A24E12,A25H0,A25E0,A25H12,A25E12,A26H0,A26H12,A27H0,A27E0,A27H12,A27E12,A28H0,A28E0,A28H12,A28E12,A30H0,A30E0,A30H12,A30E12,P2H0,P2E0,P2H12,P2E12,P3E0,P3E12,P4H0,P4E0,P4H12,P4E12,P5H0,P5E0,P5H12,P5E12,P11H0,P11E0,P11H12,P11E12,P14H0,P14E0,P14H12,P14E12,P16H0,P16H12,P17H0,P17E0,P17H12,P17E12,P20H0,P20E0,P20H12,P20E12,P21H0,P21H12,P25H0,P25E0,P25H12,P25E12,P26H0,P26E0,P26H12,P26E12,P27H0,P27E0,P27H12,P27E12,P42H0,P42E0,P42H12,P42E12
UNCLASSIFIED,0.09178870917887091,0.091952115093335507,0.14328847973613976,0.029560786691691543,0.21426988819490994,0.03565690713138143,0.16046323740118817,0.25743506318574405,0.250024487317775,0.04789740478974048,0.16332069522654785,0.0977399,0.21181859060756061,0.059196594080340594,0.1942531,0.2661358,0.1968980543410028,0.0022383,0.16171568382843163,0.1400570140057014,0.2669395583265896,0.2153313532707445,0.18315840533000619,0,0.1816783096008654,0.14742161474216148,0.10467275467950149,0,0.19265349572923762,0,0.0810736929008386,0.4508821,0.361527640030882,0.058895176441929424,0.3675741,0,0.11257241125724113,0.1901199,0.18400365203792454,0,0.1259467723160889,0,0.1896510433352501,0.024961207108437584,0.09360138751023182,0,0.1779413035459824,0.005086,0.2966406,0.1566504654226782,0.20689236641667333,0.13855789864982745,0.14895965098874422,0.1391369860863014,0.118457350761137,0.14858001232408585,0.14113572354196044,0.3013715,0.1645542809885289,0,0.14649541909768587,0.03827199783011097,0.1677270343119254,0.18708675260320465,0.30124018985255796,0.09593024780173924,0.14934343812635983,0.2668178207597852,0.09119533671598794,0.01095959890404011,0.11593416864646997,0.02615409738459026,0.31355305480924506,0,0.3586853112856549,0,0.1695050585844937,0.28053804024972767,0.1638103857010199,0.7327926,0.031328206265641256,0.4618106,0.04062080406208041,0.2202695779730422,0.3195874719031344,0.042922491415501716,0.04278360855672171,0,0.1467529360508903,0.21512212151221216,0.25371011262611504,0,0.039182391690837266,0.06273811254762252,0.2525441681133736,0.1590991159099116,0.12346732469346494,0.2184864218486422,0.16028414808524444,0.12351328764867124,0.11389693416908026,0.14458504961144816,0.04388401423210177,0,0.09873620048846128,0.28809394182725,0.08661520866152086,0.09860377041886888,0.3289050588246126,0,0.20544036230080526,0.11028628120976652,0.1201549759690048,0,0.1416956224535749,0,0.18461777209096497,0.18716328103832108,0.09153943619575641,0,0.2610027607783463,0.21848991140104412,0.11844028673822213,0,0.1751931314641105,0,0.07140999119660531,0
Actinobacteria,0.34281293428129345,0.14403616868160757,0.12392461662466213,0.02212876712384256,0.032312271642638314,0.30175436035087205,0.13428791797606693,0.45496149247866013,0.030815221657596415,0,0.09139759353272421,0,0.034603278160705284,0.11339468866053115,0.021252099999999996,0.2737069,0.047449845924784816,0,0.0029876997012300297,3.1700003170000314e-4,0.06525663747454398,0.2609851017866796,0.034721402877135106,1.1120001112000111e-4,0.013119105770881696,0.10747291074729107,0.022121106476685887,0,0.059461559934653956,0.5035014,0.17532076129469362,0.0814292,0.06664829930112877,0.006166997533200987,0.0424009,0.389663,0.24713192471319245,0.1399555,0.060070198275727835,0.104952,0.05259436458029367,0,0.06623448392480877,0.041462114820551524,0.05125305280707599,0,0.042759475835648965,0.0080261,0.2215686,0.05530176463531994,0.0515242851579946,0.16323363026404236,0.05866299663596118,0.15447638455236154,0.024408318614716533,0.2842137400857403,0.10620034201122971,0,0.13034757312815812,0.1230942,0.05498873410083759,0.15009349245319475,0.09531361660545337,0.15069146355244678,0.01628286574343618,0.6705304384339758,0.010093859412186892,0.12095961960749088,0.12163220558450011,0.16469108353089162,0.0302526034576465,0.004371799562820044,0.38806932888896556,0,0.021325131149145766,0,0.1754931301254704,0.23937690294321884,0.06804120058682972,0.2004373,0.8772763754552751,0.5381894,0,0,0.06293667837953706,0.30648763870247225,0.0066120013224002655,0.3210823018049703,0.0073881604201676805,0.09174760917476092,0.09658675039362029,0.11957255963513704,0.1913260460316647,0.36464747292949456,0.03102719080767285,0.22065892206589222,0.12438622487724496,0.14822701482270145,0.4619829385948816,0.2195073780492622,0.8300568490170546,0.2563480869071027,0.7614411508433343,0,0.2642202710631918,0.14622424592247132,0.18504231850423186,0.07454117763764671,7.788642092331685e-4,0.2191988,0.027193916740815022,0.4282769179296249,0.38244202351159523,0.06760640709006108,0.06215081513130176,0,0.3314710022607083,0.07210499613943938,0.07147717351846129,0,0.08992390908452685,0.12797581366505503,0.0683899941646404,0.01695542916767456,0.1590608205741742,0.21833433613718273,0.2077644567836932,0
Firmicutes,0.5030464503046451,0.33667548350703574,0.34034938401687614,0.31878848491145395,0.7319413757978006,0.34230796846159367,0.613596298864199,0.1832512762232404,0.6580181904929855,0,0.669774990229402,0,0.7305160372621512,0.09445969055403092,0.7843388999999998,0.2912869,0.6178633643410557,0.0107314,0.8327536167246384,0.21719072171907217,0.5194338241894181,0.4400622121201222,0.6551962503763378,0.0077066007706600775,0.6868679310455709,0.4905688490568849,0.8698489868499926,0.2469077,0.7444730603746061,0.4964986,0.7378847607532567,0.4676887,0.5611528616485701,0.9173168330732666,0.4959880000000001,0.5218561,0.5347309534730955,0.16270849999999998,0.7350730734018442,0.5032741000000001,0.7025174844235512,0.10839968473790156,0.6791263171887886,0.027920569858791773,0.7946549930448724,0,0.6645023511065845,0,0.47723069999999995,0.6290912259663843,0.4251061492961624,0.5979154128133646,0.5056485486979367,0.03438929656107034,0.7836241655903726,0.33823265699874483,0.744316727265679,0,0.688874199867799,0.6066485,0.7965234153450015,0.17494860315394006,0.7302717485599888,0.3834218308665789,0.5897831094953065,0.21118853108705152,0.8379034341182572,0.3354254907922976,0.7860974079724428,0.41051645894835403,0.6921259717558828,4.786999521300048e-4,0.14527002680627718,0,0.5785258171716233,1,0.652184327255896,0.19112591110614718,0.5449794691669182,0.0667701,0.06767501353500273,0,0.04938600493860049,0.1300872869912713,0.44515712207962865,0.5568163886367223,0.16881283376256673,0.4070782974303762,0.8451871889344322,0.4548303454830345,0.5319926138808387,0.45829948311626717,0.7525908502611413,0.37129517425903485,0.6124385159998953,0.3133068313306831,0.74726814945363,0.2164623216462322,0.3487409046222714,0.3502852649714735,0.046084213825264154,0.593136514549964,0.1898776871864372,1,0.6173360728897587,0.3742463979140404,0.7205977720597772,0.3179537046138886,0.6639907949318486,0.35725609999999997,0.6581345868867782,0.45848896444827036,0.4810449037910192,0.9114122527609014,0.7341025447759915,0,0.3075445383569517,0.5306514935216028,0.7794164149058411,0,0.07885529405199576,0.3180563697257659,0.8117682720760682,0.23260987837039424,0.6452376074311309,0.28765173945576505,0.7138565513191056,0
Bacteroidota,0.001705100170510017,0.16862691418046788,0.0025004372759899716,0.4493500438583433,1.1168657372709948e-4,0.09220731844146371,0.03818809182616055,0.06541701910063592,0.05855251028342028,0,0.0713767682582174,0,0.022373671748584373,0.11334848866515115,1.559e-4,0.0635169,0.1362021302012323,0,0.002542999745700026,0.04610360461036046,0.08450758769369755,0.05043126141912813,0.014125985909742863,0.007806400780640078,0.013391312402005109,0.14064021406402138,0,0,0.0028638959077017102,0,0.001005177314030756,0,5.847712506863976e-4,0,5.79e-5,0,1.7220001722000172e-4,0.1369085,0.0072189018072867,0.0983884,0.004802203951271288,0.3957654456535039,0.058222634891999296,0.001027702514712465,0.059012706707889676,0,0.08258406896259271,0,0.0023011,0.020982213381198385,0.009758462884460693,0.0022010035692305945,0.046015309756113704,0,0.00837882109462446,0.027425205854397984,3.9238793518076714e-4,0,0.003419630776676991,0.1078621,0.001992431456474839,0.28000009601278886,0.0038130809850452536,0.17444058485811811,0.011454983459085352,9.712119506970016e-4,0.002080853477934383,0.19876468192510943,4.989009231723678e-4,0.33389876661012335,0.12450460261756549,0,0.1482189202987768,0,0.022290420123138973,0,0.0021812941876049818,0.1696196177360378,0.12923695521930348,0,0.0038042007608401524,0,0.0403440040344004,0,0.004384713702455697,0.04552159089568182,0.08816651763330352,0.16603005582310312,3.2745586397039337e-4,0.22523222252322225,0.009153634839182278,0.34279764765764,0.0010252769782988576,0.14758872951774593,0.014122892737709988,0.3069351306935131,8.553001710600343e-4,0.04696320469632047,2.0480006144001843e-4,0.30669406933059307,0.009547202864160859,3.21367680033415e-4,0,0,0,0.10453529919816075,0.007744700774470077,0.5037506488748053,0.005837128415824423,0.28011339999999996,0.03421863656022333,0.001100373514675849,0.016358096728380653,0,8.920714646137813e-4,0,0.015272296210860611,0,0.005688844620318673,0,7.33647393621628e-4,0.18879875717452577,0.0013557128530725306,0.3968025767170036,7.769161191200551e-4,0.35884811007100775,2.3427249000757145e-5,0
Proteobacteria,1.683000168300017e-4,0.17399509445546618,0.0026223536287495793,0.030539725978012706,4.7205656161633774e-4,0.20173124034624806,0.0028032087122908324,0.021063917618280113,0.001098194795936178,0.9521025952102595,0.002883476468759888,0.9022601,3.948971421551035e-4,0.5893585410641459,0,0.039688999999999995,0.0012276813952765068,0.9870303,0,0.5963316596331659,0.033390035104797544,0.013552721609021944,0.10756015781620898,0.9791669979166998,0.10494334118067705,0.11389641138964114,0.0033571519938200233,0.7530923,2.9466998763647635e-4,0,0.004715607737180506,0,0.009861893234730424,0.01762099295160282,3.6e-5,0.0884809,0.03147910314791032,0.3550415,0.0015697937492498305,0.2628534,0.09550375341912272,0.18452449399082776,0,0.9046284056975067,0,1,0.03134198699510416,0.9868879,0.0022429,0.1237090587267665,3.787269094937368e-5,0.01316283665485979,0.001297941765004249,0.6719973328002667,2.9312054003879364e-4,0.19080468762303132,0,0.6986285,1.8400165601490412e-4,0.16239520000000002,0,0.35668581054996523,0.0012239321562158483,0.04656751675787304,0.08123885144961379,0.02137957072653632,5.784148652620372e-4,0.07571951001289413,5.761488038968245e-4,0.022798197720180227,0.03643233091772256,0.9689954031004597,0.001221964298220595,1,0.00987482404317008,0,5.921273619076199e-4,0.0604822327219635,0.02791855005257567,0,2.322000464400093e-4,0,0.8223883822388383,0.6496431350356865,0.10329629822544005,0.040452191909561626,0.03996540799308161,0.02351234281929184,2.957504550276277e-4,0,0.10593662028038207,0.0023587278096669365,0.01587543503805806,0.01977110395422079,0.08706488178626472,0,0.002548500509700102,0.3506922350692235,8.480002544000763e-5,0,4.148001244400373e-4,2.6745632630231927e-4,0.004788345448651195,0,4.1765761121459715e-4,0.01926959446349924,0,0.001977599406720178,3.085234944193574e-4,0.0421592,0.06625710389518508,2.4162593543755004e-4,0,0.020981340149037506,0.021018432907106952,1,0.012551236381184659,0.21008022930063677,0.005995857821886341,1,0.5689493541282766,0.12384457195153405,0,0.06339135132674967,0.019499081051866846,0,0.005365546877824271,1
Bacteria_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,8.644364005796263e-5,0,0,0,0,0,0,0,1.1988126751124587e-4,0,0,0,0,0,0,0,2.5331806616387537e-4,0,0,0,0,0,0,0,0,0,1.6572779360561906e-5,0,0,0,0,0,0,0,0,0,1.61e-5,0,0,0,4.2870285446906933e-4,0,1.371968363010411e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4827984749341775e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusobacteria,0,0.01792567982616136,5.239297657623218e-5,0.056004906949628425,0,0.0025149005029801007,0,0.0024521993381885934,0,0,0,0,0,0,0,0,2.0311346642282383e-4,0,0,0,8.596827789558542e-4,0.011899513384862505,7.77151268255359e-6,0.005208800520880052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152661,0.009556467225822199,0.026784000000000002,0,0.2965341016278311,4.563588977506498e-5,0,0,0,0,0,0,4.541123883640379e-4,0,0,1.0308924781150953e-4,0,0,0.0019211553144699296,0,0,0,0,0,0,0,0.04183189842122965,0,0,0,8.014700860443719e-4,0,0.025386597461340255,0,0,0,0,0.0028012818284100156,0,4.406248462717253e-5,0.006825202778276866,0,0,0,0,0.04468390446839045,0,7.712865058918276e-6,0,0,0.024641612476198387,0,0.0022369002236900222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015023283545370697,0,0.0031730990480702856,0,0.0445859,4.180175905445838e-5,0,0,0,0,0,0,0,0,0,2.760178307518666e-4,0.020327026359698172,0,0.2722557062077371,0,0.020991804947947213,0,0
Tenericutes,0,0.006170316387651821,0,0.02281352842042926,0,0.0025125005025001005,0,9.367749983425672e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002432924599180356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013811159479288463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006191363728428629,0,0,0,6.036172171626853e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03395940679188136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025075497223769937,0,0,0,0,0,0
Candidatus_Saccharibacteria,0,0.04722126020972352,0,0.03882349462388458,1.1761239013887905e-4,0.01921810384362077,0,0.013174737880260648,4.1405372532558107e-5,0,9.260566746684897e-5,0,2.0708143878529439e-4,0.030241996975800302,0,0.0656645,1.558103302248939e-4,0,0,0,1.0607190614517582e-5,9.420859392288595e-4,0,0,0,0,0,0,0,0,0,0,2.2453453400220988e-4,0,0,0,0,0,0.0018243114637932478,0.0037481,0,0.002261035708015899,0,0,0,0,7.560985952568214e-5,0,0,0,0,0,0,0,0,0.00807283504266948,0,0,0,0,0,0,0,0.0033085122540573476,0,0,0,1.0581658264541658e-4,0,0.03104449689555031,0,0,0,0,3.1491625962846694e-4,0,0,0.05203209246462812,0,0,0,0,0.0025769002576900256,0,8.113533373667277e-6,0.007799698440060312,0,0.05765538964606012,4.8508275511802314e-5,0.010830801083080108,0,0.07697158178128874,0,0,1.7447671267032652e-4,0,0,0.019168801916880192,0,0,0,6.0712786112755346e-5,8.802289475492576e-6,0,4.1425551280029524e-5,0.0524310198287961,0,0,1.796301240618704e-4,0.0237742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01422232401803331,2.3244335959739487e-4,0.11417400938809731,0,0
Bacillota,0,0,0,0,0.02077510883916872,0,0.009978399946882264,0,0.0014499900797539658,0,0.0011538706168817531,0,0,0,0,0,0,0,0,0,7.284938459781886e-5,0,0.0026162746981448592,0,0,0,0,0,0,0,0,0,0,0,0.0939431,0,0.07391340739134074,0,6.670292589908584e-4,0,0.018635421309672308,0,0.006719884769378318,0,6.013548688401928e-4,0,7.952036945617708e-4,0,0,0,0.3066808635537598,0.0849292180486753,0.009088099389266404,0,0.008807235741117782,0,0.007954819245950304,0,0.012620313582822245,0,0,0,0.0016505873813715364,0,0,0,0,0,0,0,7.503226047128215e-4,0,0.0036667048985147433,0,0,0,0,0,0.06593407033349168,0,0.01774360354872071,0,0,0,7.698841667902061e-4,0,0,0,0,0,0.0026202679798612034,0,0,0,0,0,0.001474500294900059,0,7.829002348700704e-4,0,0,0.004849021203865534,0,0,0.01924837239609391,0,0,0,0,0,0.008565312009645377,0,0,0,0.026283476328024847,0,0,0,0.004717102835421923,0,0,0,0,0,0,0,0,0
