SampleType,Time,Rank,Taxon,n_samples,n_nonzero,n_unique_values,zero_percent,mean_RA_percent,sd_RA_percent,median_RA_percent,Q1_RA_percent,Q3_RA_percent,min_RA_percent,max_RA_percent,shapiro_p,distribution,recommended_summary
sputum,T0,Species,Pseudomonas_aeruginosa,30,14,15,53.333333333333336,14.686157452123242,29.657592456509015,0,0,10.426570714152911,0,98.70303,2.5819022664946868e-08,Non-normal,Median [IQR]
sputum,T0,Species,UNCLASSIFIED,30,23,24,23.333333333333332,10.728111375070743,15.010856976819886,4.540994810262109,0.2950225,17.722786446428117,0,73.27926000000001,1.3692032218996348e-6,Non-normal,Median [IQR]
sputum,T0,Species,Staphylococcus_aureus,30,8,9,73.33333333333333,9.905885086289016,26.34127313836328,0,0,0.013137128047035602,0,100,1.1031866235769786e-9,Non-normal,Median [IQR]
sputum,T0,Species,Achromobacter_xylosoxidans,30,3,4,90,6.1578623972055375,23.4646016239277,0,0,0,0,96.89954031004598,4.720481830527239e-11,Non-normal,Median [IQR]
sputum,T0,Species,Rothia_mucilaginosa,30,21,22,30,5.028003434348038,6.150133397648019,2.00473020047302,0,6.809121201043731,0,17.76310945370599,2.6113197302885027e-5,Non-normal,Median [IQR]
sputum,T0,Species,Streptococcus_pneumoniae,30,1,2,96.66666666666667,3.3333333333333335,18.257418583505537,0,0,0,0,100,NA,Not assessed: identical or nearly identical values,Median [IQR]
sputum,T0,Species,Porphyromonas_bobii,30,11,12,63.33333333333333,3.2812301733277063,7.613821620526624,0,0,1.240903276341551,0,29.36817118954864,5.627971585397532e-9,Non-normal,Median [IQR]
sputum,T0,Species,Stenotrophomonas_maltophilia,30,1,2,96.66666666666667,3.1677773167777317,17.35063093552352,0,0,0,0,95.03331950333195,NA,Not assessed: identical or nearly identical values,Median [IQR]
sputum,T0,Species,Streptococcus_mitis,30,16,17,46.666666666666664,2.6103002054556432,5.086321387237898,0.3624375497760539,0,3.800073670977678,0,20.39193,2.1692105215284723e-8,Non-normal,Median [IQR]
sputum,T0,Species,Cutibacterium_acnes,30,5,6,83.33333333333334,2.5433144125572213,9.986996012529136,0,0,0,0,50.350139999999996,5.107598873871713e-11,Non-normal,Median [IQR]
