#node	identifier	category	term ID	term description
AZU1	9606.ENSP00000233997	GO Process	GO:0001774	Microglial cell activation
AZU1	9606.ENSP00000233997	GO Process	GO:0001775	Cell activation
AZU1	9606.ENSP00000233997	GO Process	GO:0001817	Regulation of cytokine production
AZU1	9606.ENSP00000233997	GO Process	GO:0001819	Positive regulation of cytokine production
AZU1	9606.ENSP00000233997	GO Process	GO:0001906	Cell killing
AZU1	9606.ENSP00000233997	GO Process	GO:0001909	Leukocyte mediated cytotoxicity
AZU1	9606.ENSP00000233997	GO Process	GO:0001932	Regulation of protein phosphorylation
AZU1	9606.ENSP00000233997	GO Process	GO:0001934	Positive regulation of protein phosphorylation
AZU1	9606.ENSP00000233997	GO Process	GO:0002252	Immune effector process
AZU1	9606.ENSP00000233997	GO Process	GO:0002269	Leukocyte activation involved in inflammatory response
AZU1	9606.ENSP00000233997	GO Process	GO:0002274	Myeloid leukocyte activation
AZU1	9606.ENSP00000233997	GO Process	GO:0002376	Immune system process
AZU1	9606.ENSP00000233997	GO Process	GO:0002443	Leukocyte mediated immunity
AZU1	9606.ENSP00000233997	GO Process	GO:0002444	Myeloid leukocyte mediated immunity
AZU1	9606.ENSP00000233997	GO Process	GO:0002446	Neutrophil mediated immunity
AZU1	9606.ENSP00000233997	GO Process	GO:0003008	System process
AZU1	9606.ENSP00000233997	GO Process	GO:0003013	Circulatory system process
AZU1	9606.ENSP00000233997	GO Process	GO:0003018	Vascular process in circulatory system
AZU1	9606.ENSP00000233997	GO Process	GO:0006508	Proteolysis
AZU1	9606.ENSP00000233997	GO Process	GO:0006807	Nitrogen compound metabolic process
AZU1	9606.ENSP00000233997	GO Process	GO:0006935	Chemotaxis
AZU1	9606.ENSP00000233997	GO Process	GO:0006950	Response to stress
AZU1	9606.ENSP00000233997	GO Process	GO:0006952	Defense response
AZU1	9606.ENSP00000233997	GO Process	GO:0006954	Inflammatory response
AZU1	9606.ENSP00000233997	GO Process	GO:0006955	Immune response
AZU1	9606.ENSP00000233997	GO Process	GO:0006959	Humoral immune response
AZU1	9606.ENSP00000233997	GO Process	GO:0007154	Cell communication
AZU1	9606.ENSP00000233997	GO Process	GO:0007165	Signal transduction
AZU1	9606.ENSP00000233997	GO Process	GO:0007186	G protein-coupled receptor signaling pathway
AZU1	9606.ENSP00000233997	GO Process	GO:0007205	Protein kinase C-activating G protein-coupled receptor signaling pathway
AZU1	9606.ENSP00000233997	GO Process	GO:0007275	Multicellular organism development
AZU1	9606.ENSP00000233997	GO Process	GO:0007399	Nervous system development
AZU1	9606.ENSP00000233997	GO Process	GO:0008015	Blood circulation
AZU1	9606.ENSP00000233997	GO Process	GO:0008152	Metabolic process
AZU1	9606.ENSP00000233997	GO Process	GO:0008347	Glial cell migration
AZU1	9606.ENSP00000233997	GO Process	GO:0009605	Response to external stimulus
AZU1	9606.ENSP00000233997	GO Process	GO:0009607	Response to biotic stimulus
AZU1	9606.ENSP00000233997	GO Process	GO:0009615	Response to virus
AZU1	9606.ENSP00000233997	GO Process	GO:0009617	Response to bacterium
AZU1	9606.ENSP00000233997	GO Process	GO:0009889	Regulation of biosynthetic process
AZU1	9606.ENSP00000233997	GO Process	GO:0009891	Positive regulation of biosynthetic process
AZU1	9606.ENSP00000233997	GO Process	GO:0009893	Positive regulation of metabolic process
AZU1	9606.ENSP00000233997	GO Process	GO:0009987	Cellular process
AZU1	9606.ENSP00000233997	GO Process	GO:0010468	Regulation of gene expression
AZU1	9606.ENSP00000233997	GO Process	GO:0010556	Regulation of macromolecule biosynthetic process
AZU1	9606.ENSP00000233997	GO Process	GO:0010557	Positive regulation of macromolecule biosynthetic process
AZU1	9606.ENSP00000233997	GO Process	GO:0010562	Positive regulation of phosphorus metabolic process
AZU1	9606.ENSP00000233997	GO Process	GO:0010604	Positive regulation of macromolecule metabolic process
AZU1	9606.ENSP00000233997	GO Process	GO:0010628	Positive regulation of gene expression
AZU1	9606.ENSP00000233997	GO Process	GO:0010799	Regulation of peptidyl-threonine phosphorylation
AZU1	9606.ENSP00000233997	GO Process	GO:0010800	Positive regulation of peptidyl-threonine phosphorylation
AZU1	9606.ENSP00000233997	GO Process	GO:0010941	Regulation of cell death
AZU1	9606.ENSP00000233997	GO Process	GO:0016477	Cell migration
AZU1	9606.ENSP00000233997	GO Process	GO:0019220	Regulation of phosphate metabolic process
AZU1	9606.ENSP00000233997	GO Process	GO:0019222	Regulation of metabolic process
AZU1	9606.ENSP00000233997	GO Process	GO:0019538	Protein metabolic process
AZU1	9606.ENSP00000233997	GO Process	GO:0019722	Calcium-mediated signaling
AZU1	9606.ENSP00000233997	GO Process	GO:0019730	Antimicrobial humoral response
AZU1	9606.ENSP00000233997	GO Process	GO:0019932	Second-messenger-mediated signaling
