"","Name","p_value","p_adj","Taxonomy","COG_category","COG_accession","COG_name","KEGG_ko","KEGG_pathway","time0","time12","Group","Logfc"
"2821","MH0002_GL0063099",3.39031028216453e-06,0.0221048230397127,"Clostridia","J","COG0423","Glycyl-tRNA synthetase, class II","ko:K01880","ko00970,map00970",0.000365690969925025,0.000131732631028508,"time0",-1.47301224758612
"2852","MH0002_GL0072110",4.78124629526781e-06,0.0233802943838596,"Negativicutes","C","COG1882","Pyruvate-formate lyase","ko:K00656","ko00620,ko00640,ko00650,ko01100,ko01120,map00620,map00640,map00650,map01100,map01120",0.000158002754627416,0.000452780795262833,"time12",1.51886305679625
"3456","MH0007_GL0035721",1.55146699398756e-05,0.0295396572476193,"Negativicutes","J","COG0480","Translation elongation factor EF-G, a GTPase","ko:K02355",NA,1.38761262099699e-05,2.54583749264711e-05,"time12",0.875535463450088
"5564","MH0088_GL0053209",1.91084109246731e-05,0.0311467098072171,"Ruminococcaceae","R","COG2509","FAD-dependent dehydrogenase","ko:K07137",NA,5.39700645112429e-05,0.00010499247578787,"time12",0.960054624968131
"7080","MH0155_GL0058152",1.66122816832215e-05,0.0295396572476193,"Blautia","T","COG1854","S-ribosylhomocysteine lyase LuxS, autoinducer biosynthesis","ko:K07173","ko00270,ko01100,ko01230,ko02024,ko02026,ko05111,map00270,map01100,map01230,map02024,map02026,map05111",9.55429060821488e-05,0.000187583272545849,"time12",0.973310519101138
"7294","MH0175_GL0010320",1.41267091983342e-05,0.0295396572476193,"Rikenellaceae","J","COG0480","Translation elongation factor EF-G, a GTPase","ko:K02355",NA,4.71494601264427e-05,9.22483654159662e-05,"time12",0.968282095972614
"8967","MH0238_GL0060153",2.34439503401518e-05,0.0346836850397595,"Blautia","F","COG0634","Hypoxanthine-guanine phosphoribosyltransferase","ko:K00760","ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110",0.000102480353311781,5.68060492315619e-05,"time0",-0.851230880158542
"9375","MH0260_GL0149425",1.39587791636586e-05,0.0295396572476193,"Clostridia","I","COG1250","3-hydroxyacyl-CoA dehydrogenase","ko:K00074","ko00360,ko00362,ko00650,ko01100,ko01120,map00360,map00362,map00650,map01100,map01120",0.000461689417900798,0.000809188149984706,"time12",0.809552527113508
"11510","MH0378_GL0189110",2.48247234435906e-05,0.0346836850397595,"Blautia","G","COG0148","Enolase","ko:K01689","ko00010,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04066,map00010,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04066",3.45666894516012e-05,0.000128444053239097,"time12",1.89368575284174
"11563","MH0387_GL0031475",9.76560656042183e-06,0.0295396572476193,"Ruminococcaceae",NA,NA,NA,NA,NA,8.72396568362467e-05,0.000336167904520822,"time12",1.94612599033721
"11671","MH0400_GL0043956",2.20537185668945e-06,0.0215685367584229,"Pseudobutyrivibrio","G","COG0574,COG1080","Phosphoenolpyruvate synthase/pyruvate phosphate dikinase;Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)","ko:K01006","ko00620,ko00710,ko00720,ko01100,ko01120,ko01200,map00620,map00710,map00720,map01100,map01120,map01200",0.000450021525091727,0.000908142135487582,"time12",1.01292410582488
"14302","O2.UC20-1_GL0060047",7.32917136077842e-06,0.0286717183633652,"Clostridiaceae",NA,NA,NA,NA,NA,1.14778285474871e-05,7.42321495231539e-05,"time12",2.69319441611895
"15287","O2.UC47-2_GL0002078",4.31900843977928e-08,0.000844798050820828,"Clostridia","I","COG1250","3-hydroxyacyl-CoA dehydrogenase","ko:K00074","ko00360,ko00362,ko00650,ko01100,ko01120,map00360,map00362,map00650,map01100,map01120",3.7337352243873e-05,0.000119543151925715,"time12",1.67883995864684
"17724","V1.CD52-0_GL0017570",1.25463120639324e-05,0.0295396572476193,"Eubacteriaceae","I","COG1250","3-hydroxyacyl-CoA dehydrogenase","ko:K00074","ko00360,ko00362,ko00650,ko01100,ko01120,map00360,map00362,map00650,map01100,map01120",0.000427743049000649,0.00107207787075401,"time12",1.3255933846306
