"","Name","p_value","p_adj","time0","time12","Group","Logfc"
"49","SHOT1_HUMAN",0.00566756380151438,0.0411829179883764,4.05836815278941e-07,5.62624616579152e-06,"time12",3.79320102694885
"52","BICL2_HUMAN",0.0047289220599092,0.0369722754588055,7.67844450472745e-07,6.66648786501747e-06,"time12",3.11804091495834
"54","HACL2_HUMAN",0.000867096646388231,0.0148049152581706,2.98683044929796e-06,1.07138797269664e-05,"time12",1.84279375677707
"94","EFCB7_HUMAN",0.00333335402513658,0.0301362232052216,3.26520425710549e-07,6.96137584880931e-06,"time12",4.41412732052691
"124","PDLI1_HUMAN",0.00663953647017479,0.0452716339456096,3.11792563674824e-05,6.6342197931355e-05,"time12",1.08934028988252
"125","BACH_HUMAN",0.00123013955537317,0.0175641036696892,1.03731192131863e-06,4.54408237879633e-06,"time12",2.13113920937407
"128","SNP23_HUMAN",0.00186400674283505,0.0217031428361671,0.000359796606433582,0.000209003404336493,"time0",-0.783655137565973
"131","LEG9_HUMAN",7.99447298049928e-06,0.00171321307396894,6.81775424434188e-06,2.020550723906e-05,"time12",1.56738006786168
"150","EIF3F_HUMAN",0.00127362695713335,0.0177328060954721,3.32155471257365e-05,5.20050668837662e-05,"time12",0.646793514062328
"166","AGRIN_HUMAN",1.8841157194807e-05,0.00216419676778043,5.50664407249135e-06,2.69897410532345e-05,"time12",2.29316586870867
"169","NDUA4_HUMAN",0.000955073029182218,0.0154179762251497,9.83471508195939e-06,2.24146996470059e-05,"time12",1.18849000524502
"178","VMA5A_HUMAN",0.00538640817961186,0.0396707966175359,5.08811521920436e-06,1.14358452226042e-05,"time12",1.16835975358664
"179","SDCB1_HUMAN",1.59777700901032e-05,0.00203053661166354,0.000666707556041729,0.000345940349491199,"time0",-0.946530782459616
"183","RNT2_HUMAN",0.000460106879472733,0.0109932106953017,8.77428728967788e-05,3.83012572460326e-05,"time0",-1.19589019450854
"191","MA2B1_HUMAN",0.000634396353547879,0.0129325918762508,0.000111445689625147,4.58522276479585e-05,"time0",-1.28127708731342
"209","IDLC_HUMAN",0.00324982929574922,0.0297262333591272,2.63305740705509e-05,5.40280779499256e-05,"time12",1.03697038298268
"219","APAF_HUMAN",0.00284505134147752,0.0275421258713861,0.000387411291308715,0.000172946243889844,"time0",-1.163542321601
