Outcome,FeatureID,n,beta_SD,conf.low,conf.high,p,singular_fit,model_used,p_fdr_outcome,p_fdr_global
acetate,Fusobacterium_periodonticum,60,-0.13427222931327631,-0.37977904927618766,0.11123459064963503,0.28885878456099456,FALSE,LMM,0.9697076446272508,0.9872208442895154
acetate,Neisseria_subflava,60,0.005100526617879387,-0.2569940926611545,0.26719514589691334,0.9697076446272508,FALSE,LMM,0.9697076446272508,0.9872208442895154
acetate,Prevotella_pallens,60,-0.020356990555409415,-0.2533679629619783,0.21265398185115944,0.8647805912805133,FALSE,LMM,0.9697076446272508,0.9872208442895154
acetate,TM7_phylum_sp_oral_taxon_351,60,-0.049806965551088045,-0.30509697170755506,0.20548304060537897,0.7036077459556983,FALSE,LMM,0.9697076446272508,0.9872208442895154
propionate,Fusobacterium_periodonticum,60,-0.05758083897835768,-0.32427692204211056,0.20911524408539517,0.6737697877537476,FALSE,LMM,0.9872208442895154,0.9872208442895154
propionate,Neisseria_subflava,60,-0.029716940578451135,-0.29390900078796744,0.23447511963106515,0.8264012546454224,FALSE,LMM,0.9872208442895154,0.9872208442895154
propionate,Prevotella_pallens,60,-0.0021101001288700316,-0.2591689844660895,0.25494878420834943,0.9872208442895154,FALSE,LMM,0.9872208442895154,0.9872208442895154
propionate,TM7_phylum_sp_oral_taxon_351,60,-0.03636300076288239,-0.29815983467076307,0.22543383314499826,0.7864992167931879,FALSE,LMM,0.9872208442895154,0.9872208442895154
butyrate,Fusobacterium_periodonticum,60,-0.10309315813203983,-0.37330845578703686,0.16712213952295718,0.4576822714178512,FALSE,LMM,0.9153645428357025,0.9872208442895154
butyrate,Neisseria_subflava,60,0.14344486726217212,-0.12312671288813423,0.41001644741247845,0.2965937092487513,FALSE,LMM,0.9153645428357025,0.9872208442895154
butyrate,Prevotella_pallens,60,0.024305474316768317,-0.23758020144062642,0.28619115007416307,0.8563094190018652,FALSE,LMM,0.9549186972769772,0.9872208442895154
butyrate,TM7_phylum_sp_oral_taxon_351,60,0.0076805609366592635,-0.2573294177123953,0.2726905395857138,0.9549186972769772,FALSE,LMM,0.9549186972769772,0.9872208442895154
