taxon,var,n,rho,p,p_fdr
Actinomyces_SGB17132_delta,acetate_delta,34,0.15524774662381063,0.3806414805721595,0.9819389196873791
Adlercreutzia_equolifaciens_delta,acetate_delta,34,-0.19416985403024678,0.27117542144417267,0.9819389196873791
Anaerostipes_hadrus_delta,acetate_delta,34,0.14626318885958986,0.409141216536408,0.9819389196873791
Anaerostipes_hadrus_delta,butyrate_delta,34,0.19089103749804362,0.27950791028255917,0.9819389196873791
Blautia_obeum_delta,acetate_delta,34,-0.15181977195896992,0.39137537771508757,0.9819389196873791
Blautia_obeum_delta,butyrate_delta,34,0.22029952782744577,0.21058543281840095,0.9819389196873791
Blautia_wexlerae_delta,acetate_delta,34,-0.1917494270435447,0.2773106396541396,0.9819389196873791
Blautia_wexlerae_delta,propionate_delta,34,-0.19633307868601985,0.2657676692962665,0.9819389196873791
Clostridium_sp_1001270J_160509_D11_delta,butyrate_delta,34,0.19109129372346328,0.27899429756751476,0.9819389196873791
Flavonifractor_plautii_delta,propionate_delta,34,0.19328460920695367,0.2734089551436684,0.9819389196873791
Hungatella_hathewayi_delta,propionate_delta,34,0.15585890712831887,0.3787460354581632,0.9819389196873791
Lactobacillus_gasseri_delta,acetate_delta,34,-0.3098017771088032,0.07458151031853946,0.9819389196873791
Lactobacillus_gasseri_delta,propionate_delta,34,-0.327961825452934,0.05828490820314033,0.9819389196873791
Lactobacillus_gasseri_delta,butyrate_delta,34,-0.17792523556213888,0.3140648041545155,0.9819389196873791
Ruminococcus_sp_AF41_9_delta,propionate_delta,34,-0.17624712495570102,0.31872476599857646,0.9819389196873791
Actinomyces_SGB17132_delta,propionate_delta,34,8.558310177718337e-4,0.9961672622114109,0.9961672622114109
Actinomyces_SGB17132_delta,butyrate_delta,34,0.08917759205182507,0.6159900004910781,0.9961672622114109
Adlercreutzia_equolifaciens_delta,propionate_delta,34,0.04022444546406646,0.8213064207858345,0.9961672622114109
Adlercreutzia_equolifaciens_delta,butyrate_delta,34,0.08028335823074995,0.6517386286517924,0.9961672622114109
Anaerostipes_hadrus_delta,propionate_delta,34,0.10897142492882714,0.5395646269256382,0.9961672622114109
Bifidobacterium_pseudocatenulatum_delta,acetate_delta,34,-0.039727847371917493,0.823477664768641,0.9961672622114109
Bifidobacterium_pseudocatenulatum_delta,propionate_delta,34,0.013739213882788134,0.9385283610540633,0.9961672622114109
Bifidobacterium_pseudocatenulatum_delta,butyrate_delta,34,-0.01489794276446906,0.9333550564543911,0.9961672622114109
Blautia_obeum_delta,propionate_delta,34,0.022673386730502065,0.8987199908603358,0.9961672622114109
Blautia_wexlerae_delta,butyrate_delta,34,-0.1040488922841864,0.5581417141165128,0.9961672622114109
Clostridium_sp_1001270J_160509_D11_delta,acetate_delta,34,-0.084032937610627,0.6365688981043022,0.9961672622114109
Clostridium_sp_1001270J_160509_D11_delta,propionate_delta,34,-0.0871817127904163,0.6239406653149036,0.9961672622114109
Dysosmobacter_welbionis_delta,acetate_delta,34,0.045721805289907366,0.797361134780693,0.9961672622114109
Dysosmobacter_welbionis_delta,propionate_delta,34,0.0034149066191632056,0.9847075810767356,0.9961672622114109
Dysosmobacter_welbionis_delta,butyrate_delta,34,-0.06602152797048864,0.7106568433379188,0.9961672622114109
Flavonifractor_plautii_delta,acetate_delta,34,0.011296858664617788,0.9494404370822334,0.9961672622114109
Flavonifractor_plautii_delta,butyrate_delta,34,-0.13014600187593917,0.463181070783111,0.9961672622114109
Hungatella_hathewayi_delta,acetate_delta,34,-0.004435009552431838,0.9801402157461236,0.9961672622114109
Hungatella_hathewayi_delta,butyrate_delta,34,-0.11705257354454031,0.5097220216170909,0.9961672622114109
Ruminococcus_sp_AF41_9_delta,acetate_delta,34,0.013469909442254867,0.9397310694017247,0.9961672622114109
Ruminococcus_sp_AF41_9_delta,butyrate_delta,34,0.02352491226534653,0.8949369316860912,0.9961672622114109
