taxon,var,n,rho,p,p_fdr
Neisseria_subflava_delta,acetate_delta,30,0.3699530789583031,0.04419375447897326,0.22120351152933798
Neisseria_subflava_delta,propionate_delta,30,0.38202726560837824,0.03722389957007423,0.22120351152933798
Neisseria_subflava_delta,butyrate_delta,30,0.35353218511420087,0.055300877882334495,0.22120351152933798
Fusobacterium_periodonticum_delta,acetate_delta,30,-0.15397651025787118,0.4165679420377487,0.7953146026147309
Fusobacterium_periodonticum_delta,propionate_delta,30,-0.10424184625940708,0.5835597455086116,0.7953146026147309
Prevotella_pallens_delta,propionate_delta,30,0.1400483764166227,0.46043435253850606,0.7953146026147309
Prevotella_pallens_delta,butyrate_delta,30,0.11912434055132083,0.5306688967363166,0.7953146026147309
TM7_phylum_sp_oral_taxon_351_delta,acetate_delta,30,-0.10069837762924966,0.5964859519610481,0.7953146026147309
TM7_phylum_sp_oral_taxon_351_delta,propionate_delta,30,-0.12484403766024141,0.510973565152031,0.7953146026147309
Fusobacterium_periodonticum_delta,butyrate_delta,30,0.03742659058470278,0.844334740923953,0.844334740923953
Prevotella_pallens_delta,acetate_delta,30,0.04398802994410051,0.8174653060907,0.844334740923953
TM7_phylum_sp_oral_taxon_351_delta,butyrate_delta,30,-0.05844347257501411,0.7590196069730234,0.844334740923953
