"variable","method","n_pairs","shapiro_p","stat","p_value","group_T0","group_T12","mean_T0","sd_T0","median_T0","q1_T0","q3_T0","min_T0","max_T0","range_T0","mean_T12","sd_T12","median_T12","q1_T12","q3_T12","min_T12","max_T12","range_T12","diff_estimate","ci_low","ci_high","effect_type","effect_value","p_fdr"
"Ingestion_kcalday","paired_t",9,0.6729508040005929,-0.3636895416406011,0.7255135137381509,"2096.556 ± 712.249","2035.889 ± 575.211",2096.5555555555557,712.2489226231078,2148,1498,2396,1156,3526,2370,2035.888888888889,575.2111448078098,1930,1559,2469,1327,2899,1572,-60.666666666666664,-445.3287704250234,323.99543709169,"cohen_d_paired",-0.12122984721353369,0.8323525601276384
"Fat_gday","paired_t",9,0.34531238423260924,1.4549270191523622,0.1837752053329783,"103.056 ± 37.497","110.333 ± 27.636",103.05555555555556,37.49703691997246,120,76,122,46,159,113,110.33333333333333,27.636027210870957,124,80,130,75,146,71,7.277777777777778,-4.257223930026128,18.812779485581686,"cohen_d_paired",0.4849756730507874,0.29863470866608977
"Protein_gday","paired_t",9,0.7561497593866872,-0.3047616367572416,0.7683254401178201,"83.667 ± 29.614","81.556 ± 25.461",83.66666666666667,29.614185789921695,81,71,111,40,127,87,81.55555555555556,25.461299608970823,83,71,98,41,122,81,-2.111111111111111,-18.085007969971606,13.862785747749383,"cohen_d_paired",-0.10158721225241386,0.8323525601276384
"CH_gday","paired_t",9,0.6067167844977379,-0.9442695958926463,0.37267231565248216,"199.778 ± 81.771","171.444 ± 71.830",199.77777777777777,81.77068205930806,178,147,213,119,385,266,171.44444444444446,71.82985297059835,145,136,222,94,308,214,-28.333333333333332,-97.52626733754629,40.85960067087962,"cohen_d_paired",-0.31475653196421544,0.4844740103482268
"Fiber_gday","paired_t",9,0.059669565754141465,-1.4791413444462918,0.17736496622770198,"15.898 ± 5.355","12.889 ± 4.853",15.897777777777778,5.354581631130899,17,11,20,7.5,23,15.5,12.88888888888889,4.852948702707573,12.4,9.4,17,6,20,14,-3.0088888888888885,-7.6997930044418474,1.68201522666407,"cohen_d_paired",-0.4930471148154306,0.29863470866608977
"Calcium_mgday","paired_t",9,0.7993444544916105,1.6796276342530294,0.13154258852540812,"840.444 ± 261.159","974.667 ± 251.505",840.4444444444445,261.15852997322867,892,771,956,247,1112,865,974.6666666666666,251.5049701298167,1065,732,1119,570,1378,808,134.22222222222223,-50.054931337701554,318.499375782146,"cohen_d_paired",0.559875878084343,0.28500894180505093
"Cholesterol_mgday","paired_t",9,0.6779379702921491,-1.948613058250949,0.08717879165140088,"324.667 ± 130.534","271.333 ± 58.777",324.6666666666667,130.5335205991166,298,275,362,125,610,485,271.3333333333333,58.77712139940166,241,239,301,190,389,199,-53.333333333333336,-116.44842264782268,9.781755981156005,"cohen_d_paired",-0.6495376860836497,0.28500894180505093
"fat_g_1000kcal","paired_t",9,0.17984023080082265,1.915486076662081,0.09175196705706717,"48.874 ± 8.721","54.835 ± 6.905",48.874455674196696,8.72080579982111,49.877350776778414,45.093590470788435,55.596196049743966,30.707610146862482,59.4607607125662,28.753150565703717,54.83504099172719,6.9052461685823925,52.24787363304982,51.499118165784836,60.28636021100226,46.222835460503624,67.35751295336787,21.13467749286425,5.9605853175304935,-1.2152091494357073,13.136379784496695,"cohen_d_paired",0.6384953588873603,0.28500894180505093
"protein_g_1000kcal","wilcoxon_paired",9,0.007345636935047837,21,0.8589549227374824,"35.893 [34.602-37.709]","39.692 [35.411-46.577]",40.772098334628794,13.246775355969394,35.89315525876461,34.602076124567475,37.709497206703915,32.91880029261156,74.76635514018692,41.84755484757536,39.91338175474541,6.09027884498108,39.69218307006885,35.41147132169576,46.57687991021324,30.89675960813866,46.82488774855677,15.92812814041811,-0.06524708185191486,NA,NA,"rank_biserial_r",0.5333333333333333,0.8589549227374824
"CH_g_1000kcal","paired_t",9,0.7928659908007472,-1.8542520813286942,0.10081650103076621,"94.930 ± 12.435","82.873 ± 16.934",94.92977474015414,12.435076513782713,90.02217294900223,87.05193855157279,107.26210350584307,79.44150216658642,113.32179930795849,33.88029714137207,82.87262654899017,16.933550998936187,87.47795414462081,76.31874298540966,93.00833867864016,48.70466321243523,106.24353225250087,57.53886904006564,-12.057148191163975,-27.05178342310627,2.9374870407783154,"cohen_d_paired",-0.6180840271095647,0.28500894180505093
"fiber_g_1000kcal","paired_t",9,0.05480892977648522,-1.2866008932841526,0.23421360667419877,"7.832 ± 2.501","6.412 ± 2.139",7.832332884522368,2.5013756102432256,7.5388026607538805,6.487889273356401,8.046817849305048,4.612421762156957,13.35113484646195,8.738713084304992,6.4117995509044485,2.138605310673031,5.99647266313933,4.746632456703015,7.98004987531172,3.955174686882004,9.539842873176207,5.584668186294203,-1.4205333336179198,-3.966587637339606,1.1255209701037663,"cohen_d_paired",-0.42886696442805083,0.33830854297384266
"Calcium_mg_1000kcal","paired_t",9,0.9708553554886116,1.8329799154357898,0.10416035877926019,"416.065 ± 146.431","493.592 ± 135.887",416.06450828154084,146.43085344807452,415.2700186219739,312.1869782971619,492.23946784922396,213.66782006920414,698.6100950987563,484.9422750295522,493.59158960201427,135.88677118684856,482.53131179960445,409.0909090909091,490.2743142144638,365.6189865298268,811.605124340618,445.98613781079115,77.52708132047346,-20.00686796604514,175.06103060699206,"cohen_d_paired",0.6109933051452633,0.28500894180505093
"Cholesterol_mg_1000kcal","paired_t",9,0.7234271224019191,-1.7410513331323418,0.11985270631346269,"156.170 ± 41.825","138.182 ± 29.910",156.16980278205074,41.824621517709915,151.08514190317197,128.0260707635009,173.00056721497447,108.13148788927336,222.96395193591457,114.8324640466412,138.18227741502852,29.910081866484422,137.21340388007056,120.19950124688279,152.6619627966645,96.80032401782097,181.61266013564432,84.81233611782335,-17.987525367022215,-41.81181307703318,5.836762342988755,"cohen_d_paired",-0.5803504443774472,0.28500894180505093
