"var_row","var_col","rho","p_raw","p_fdr"
"SD_z_score_BMI_Carrascosa2010_delta","fat_g_1000kcal_delta",-0.9166666666666666,5.066190663052066e-4,0.005066190663052066
"CH_g_1000kcal_delta","Ingestion_kcalday_delta",0.8833333333333333,0.0015905004234978701,0.00795250211748935
"CH_g_1000kcal_delta","fat_g_1000kcal_delta",-0.7,0.035769574970261654,0.11923191656753886
"fat_g_1000kcal_delta","Ingestion_kcalday_delta",-0.55,0.12497678418833179,0.2082946403138863
"protein_g_1000kcal_delta","Ingestion_kcalday_delta",-0.5666666666666667,0.11163298761149111,0.2082946403138863
"CH_g_1000kcal_delta","protein_g_1000kcal_delta",-0.5833333333333334,0.09918581647988328,0.2082946403138863
"SD_z_score_BMI_Carrascosa2010_delta","CH_g_1000kcal_delta",0.5166666666666667,0.1543901209862251,0.2205573156946073
"SD_z_score_BMI_Carrascosa2010_delta","Ingestion_kcalday_delta",0.36666666666666664,0.3317398014330152,0.414674751791269
"protein_g_1000kcal_delta","fat_g_1000kcal_delta",0.08333333333333333,0.831214097710308,0.8646897846262037
"SD_z_score_BMI_Carrascosa2010_delta","protein_g_1000kcal_delta",0.06666666666666667,0.8646897846262037,0.8646897846262037
