var_row,var_col,rho,p_raw,p_fdr
non_HDL_mgdL_delta,serum_LDL_mgdL_delta,1,0,0
serum_LDL_mgdL_delta,serum_cholesterol_mgdL_delta,0.8285714285714285,0.04156268221574345,0.23275102040816328
non_HDL_mgdL_delta,serum_cholesterol_mgdL_delta,0.8285714285714285,0.04156268221574345,0.23275102040816328
SD_z_score_BMI_Carrascosa2010_delta,serum_cholesterol_mgdL_delta,-0.8285714285714285,0.04156268221574345,0.23275102040816328
Ingestion_kcalday_delta,serum_HDL_mgdL_delta,-0.8696565534786727,0.024376891685690787,0.23275102040816328
LDL_HDL_ratio_delta,serum_HDL_mgdL_delta,-0.7247137945655605,0.10324280462370772,0.387755102040816
serum_triglycerides_mgdL_delta,serum_HDL_mgdL_delta,-0.7247137945655605,0.10324280462370772,0.387755102040816
Ingestion_kcalday_delta,LDL_HDL_ratio_delta,0.7142857142857143,0.1107871720116617,0.387755102040816
Ingestion_kcalday_delta,serum_cholesterol_mgdL_delta,-0.6571428571428571,0.15617492711370246,0.43728979591836686
SD_z_score_BMI_Carrascosa2010_delta,serum_HDL_mgdL_delta,-0.6667366910003156,0.14808979944035283,0.43728979591836686
SD_z_score_BMI_Carrascosa2010_delta,serum_LDL_mgdL_delta,-0.6,0.20799999999999974,0.4479999999999998
serum_triglycerides_mgdL_delta,LDL_HDL_ratio_delta,0.6,0.2079999999999999,0.4479999999999998
SD_z_score_BMI_Carrascosa2010_delta,non_HDL_mgdL_delta,-0.6,0.20799999999999974,0.4479999999999998
SD_z_score_BMI_Carrascosa2010_delta,Ingestion_kcalday_delta,0.4999999999999999,0.2531699951003227,0.5063399902006454
serum_HDL_mgdL_delta,serum_cholesterol_mgdL_delta,0.5217939320872036,0.2883432338003937,0.5382407030940682
LDL_HDL_ratio_delta,serum_LDL_mgdL_delta,0.42857142857142855,0.39650145772594747,0.6530612244897958
non_HDL_mgdL_delta,LDL_HDL_ratio_delta,0.42857142857142855,0.39650145772594747,0.6530612244897958
serum_triglycerides_mgdL_delta,serum_LDL_mgdL_delta,0.37142857142857144,0.46847813411078737,0.6558693877551023
non_HDL_mgdL_delta,serum_triglycerides_mgdL_delta,0.37142857142857144,0.46847813411078737,0.6558693877551023
Ingestion_kcalday_delta,serum_triglycerides_mgdL_delta,0.37142857142857144,0.46847813411078737,0.6558693877551023
SD_z_score_BMI_Carrascosa2010_delta,serum_triglycerides_mgdL_delta,0.2571428571428572,0.6227871720116618,0.830382896015549
serum_triglycerides_mgdL_delta,serum_cholesterol_mgdL_delta,0.14285714285714285,0.7871720116618075,0.8904519221078008
serum_LDL_mgdL_delta,serum_HDL_mgdL_delta,0.11595420713048969,0.826848213385815,0.8904519221078008
non_HDL_mgdL_delta,serum_HDL_mgdL_delta,0.11595420713048969,0.826848213385815,0.8904519221078008
Ingestion_kcalday_delta,serum_LDL_mgdL_delta,-0.14285714285714285,0.7871720116618076,0.8904519221078008
Ingestion_kcalday_delta,non_HDL_mgdL_delta,-0.14285714285714285,0.7871720116618076,0.8904519221078008
LDL_HDL_ratio_delta,serum_cholesterol_mgdL_delta,-0.028571428571428574,0.9571545189504375,0.9571545189504375
SD_z_score_BMI_Carrascosa2010_delta,LDL_HDL_ratio_delta,0.028571428571428574,0.9571545189504373,0.9571545189504375
