"system","variable","p_value","p_fdr_global","signif_fdr"
"Sweat test","chloride_final",2.0651592567812858e-7,6.881604582932586e-6,TRUE
"Sweat test","conductivity_final",3.2769545633012313e-7,6.881604582932586e-6,TRUE
"Lung function","FEV1_FVC",0.001101841059064004,0.015425774826896057,TRUE
"Transaminases","ALT",0.05530771441023253,0.3365180822099176,FALSE
"Transaminases","AST",0.08845590658942175,0.3365180822099176,FALSE
"3-day dietary record","Cholesterol_mgday",0.08717879165140088,0.3365180822099176,FALSE
"3-day dietary record","fat_g_1000kcal",0.09175196705706717,0.3365180822099176,FALSE
"3-day dietary record","CH_g_1000kcal",0.10081650103076621,0.3365180822099176,FALSE
"3-day dietary record","Calcium_mg_1000kcal",0.10416035877926019,0.3365180822099176,FALSE
"Serum lipids","serum_cholesterol_mgdL",0.05534704095783494,0.3365180822099176,FALSE
"Serum lipids","serum_LDL_mgdL",0.06498036817092537,0.3365180822099176,FALSE
"Serum lipids","non_HDL_mgdL",0.0670994252404552,0.3365180822099176,FALSE
"Serum vitamins","VitaminA_ugdL",0.04839173382869869,0.3365180822099176,FALSE
"Transaminases","GGT",0.13153267675654987,0.3425239188326577,FALSE
"Anthropometry","SD_z_score_BMI_Carrascosa2010",0.1386406338132186,0.3425239188326577,FALSE
"3-day dietary record","Calcium_mgday",0.13154258852540812,0.3425239188326577,FALSE
"3-day dietary record","Cholesterol_mg_1000kcal",0.11985270631346269,0.3425239188326577,FALSE
"3-day dietary record","Fat_gday",0.1837752053329783,0.40623992757816263,FALSE
"3-day dietary record","Fiber_gday",0.17736496622770198,0.40623992757816263,FALSE
"Lung function","ppFEV1",0.2303140660908552,0.4445666038454402,FALSE
"Intestinal inflammation","Calprotectin",0.26462297847942873,0.4445666038454402,FALSE
"Anthropometry","SD_z_score_weight_2010",0.2135243540361823,0.4445666038454402,FALSE
"Body composition","lean_mass_perc",0.25997449371051157,0.4445666038454402,FALSE
"Body composition","fat_mass_index_kgm2",0.25997449371051157,0.4445666038454402,FALSE
"3-day dietary record","fiber_g_1000kcal",0.23421360667419877,0.4445666038454402,FALSE
"Serum lipids","LDL_HDL_ratio",0.3343229722175786,0.5400601858899347,FALSE
"3-day dietary record","CH_gday",0.37267231565248216,0.5797124910149722,FALSE
"Serum lipids","serum_HDL_mgdL",0.48582496431141153,0.7287374464671172,FALSE
"Serum lipids","serum_triglycerides_mgdL",0.521860613622368,0.7557981300737744,FALSE
"Absorption markers","Elastase",0.6720521061616944,0.8795086019848942,FALSE
"Absorption markers","fecal_fat",0.7329238349874119,0.8795086019848942,FALSE
"Absorption markers","CFA",0.6858304344516057,0.8795086019848942,FALSE
"Anthropometry","SD_z_score_height_2010",0.7220491421508173,0.8795086019848942,FALSE
"Body composition","fat_mass_perc",0.6388145776459488,0.8795086019848942,FALSE
"3-day dietary record","Ingestion_kcalday",0.7255135137381509,0.8795086019848942,FALSE
"Lung function","ppFVC",0.8645459898352839,0.885632477392242,FALSE
"Body composition","total_body_water_perc",0.8589549227374824,0.885632477392242,FALSE
"3-day dietary record","Protein_gday",0.7683254401178201,0.885632477392242,FALSE
"3-day dietary record","protein_g_1000kcal",0.8589549227374824,0.885632477392242,FALSE
"Serum vitamins","VitaminD_ngdL",0.8616634295416982,0.885632477392242,FALSE
"Serum vitamins","VitaminE_ugdL",0.8354202525569326,0.885632477392242,FALSE
"Absorption markers","UI_L_kg_day",0.9150535243560355,0.9150535243560355,FALSE
