"system","variable","method","n_pairs","shapiro_p","stat","p_value","p_fdr_global","group_T0","group_T12","mean_T0","sd_T0","median_T0","q1_T0","q3_T0","min_T0","max_T0","range_T0","mean_T12","sd_T12","median_T12","q1_T12","q3_T12","min_T12","max_T12","range_T12","diff_estimate","ci_low","ci_high","effect_type","effect_value","fisher_p","fisher_or","fisher_ci_low","fisher_ci_high","or_ha","or_ha_ci_low","or_ha_ci_high","cutoff_used"
"Lung function","ppFEV1","paired_t",9,0.25726560112541297,1.298437985064723,0.2303140660908552,0.4471350672871068,"93.111 ± 12.791","99.222 ± 16.746",93.11111111111111,12.791055902899929,92,87,97,76,122,46,99.22222222222223,16.74647558277396,97,94,103,73,134,61,6.111111111111111,-4.742119967315707,16.964342189537927,"cohen_d_paired",0.43281266168824106,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","ppFVC","paired_t",9,0.3899567018406059,-0.17615986751632515,0.8645459898352839,0.885632477392242,"94.222 ± 15.139","93.444 ± 17.529",94.22222222222223,15.1391692124913,92,86,94,76,127,51,93.44444444444444,17.52934048325201,90,88,100,67,131,64,-0.7777777777777778,-10.9592044393257,9.403648883770146,"cohen_d_paired",-0.05871995583877504,NA,NA,NA,NA,NA,NA,NA,NA
"Lung function","FEV1_FVC","paired_t",9,0.225910457610659,4.963649182994816,0.001101841059064004,0.01542577482689605,"87.333 ± 5.220","93.111 ± 2.472",87.33333333333333,5.220153254455275,89,85,91,77,94,17,93.11111111111111,2.4720661623652207,94,91,95,89,96,7,5.777777777777778,3.0935470925206223,8.462008463034932,"cohen_d_paired",1.6545497276649386,NA,NA,NA,NA,NA,NA,NA,NA
"Sweat test","chloride_final","paired_t",8,0.9605028264421227,-19.841385873974115,2.0651592567812858e-7,6.881604582932586e-6,"99.562 ± 13.418","45.688 ± 15.957",99.5625,13.417572433193719,101,90.875,109.375,79,115.5,36.5,45.6875,15.957393047021899,49.75,38.25,56.75,18,62,44,-53.875,-60.295626682214966,-47.45437331778504,"cohen_d_paired",-7.014989249813033,NA,NA,NA,NA,NA,NA,NA,NA
"Sweat test","conductivity_final","paired_t",8,0.48162267946838133,-18.554235596769093,3.2769545633012313e-7,6.881604582932586e-6,"92.562 ± 8.748","53.875 ± 12.395",92.5625,8.748214103461345,96.5,87.75,98,78,101.5,23.5,53.875,12.39455525624054,58.75,46.625,63.25,30,65,35,-38.6875,-43.617986101482174,-33.757013898517826,"cohen_d_paired",-6.559912905104127,NA,NA,NA,NA,NA,NA,NA,NA
"Transaminases","ALT","paired_t",9,0.20229227014720652,-2.2413628217808252,0.05530771441023253,0.3365180822099176,"43.444 ± 28.439","30.556 ± 16.546",43.44444444444444,28.439018579722084,32,24,49,17,104,87,30.555555555555557,16.546231527987807,25,21,29,20,72,52,-12.88888888888889,-26.149495688974017,0.37171791119624237,"cohen_d_paired",-0.7471209405936085,NA,NA,NA,NA,NA,NA,NA,NA
"Transaminases","AST","paired_t",9,0.358412748107517,-1.939197022863215,0.08845590658942175,0.3365180822099176,"35.667 ± 14.782","28.889 ± 7.201",35.666666666666664,14.781745499094482,32,26,40,20,70,50,28.88888888888889,7.2014659001561006,29,25,33,18,41,23,-6.777777777777778,-14.837600167548908,1.2820446119933535,"cohen_d_paired",-0.6463990076210717,NA,NA,NA,NA,NA,NA,NA,NA
"Transaminases","GGT","paired_t",9,0.059270795924497986,-1.679677532867563,0.13153267675654987,0.3425239188326577,"22.444 ± 12.441","17.444 ± 4.613",22.444444444444443,12.440971737681014,21,14,24,9,52,43,17.444444444444443,4.612784167699349,19,14,19,12,26,14,-5,-11.864425135422666,1.8644251354226662,"cohen_d_paired",-0.55989251095585435,NA,NA,NA,NA,NA,NA,NA,NA
"Intestinal inflammation","Calprotectin","paired_t",9,0.3273773608129061,-1.1995756421768349,0.26462297847942873,0.4630902123390003,"37.797 ± 22.729","24.168 ± 20.449",37.79666666666667,22.728599824890225,28.99,23.53,52.03,10.83,72,61.17,24.16777777777778,20.44866118953621,16,16,19.38,0.03,64.8,64.77,-13.62888888888889,-39.828382302229564,12.570604524451783,"cohen_d_paired",-0.39985854739227833,0.9999999999999999,1.6961766724354306,0.1405759341239683,26.987437874666824,1.6153846153846154,-39.828382302229564,12.570604524451783,50
"Absorption markers","Elastase","paired_t",9,0.05139728714588262,0.4393234609197512,0.6720521061616944,0.8795086019848942,"54.893 ± 66.730","61.482 ± 63.029",54.89333333333333,66.73042615628945,18.42,15,66.15,15,217.26,202.26,61.48222222222222,63.029478178424135,38.38,15,72.96,15,203,188,6.588888888888889,-27.99611823176194,41.17389600953972,"cohen_d_paired",0.14644115363991708,1,1,0.011347525791295101,88.12493739975625,1,0.08588043669384844,11.644095424955255,200
"Absorption markers","fecal_fat","paired_t",6,0.8722516029772855,-0.36089614216179805,0.7329238349874119,0.8795086019848942,"4.787 ± 3.202","4.150 ± 2.488",4.786666666666666,3.2017911653739484,4.449999999999999,3.1249999999999996,5.250000000000001,1.1,10.52,9.42,4.15,2.488172019776768,3.6999999999999997,3.1500000000000004,5.300000000000001,0.7,8,7.3,-0.6366666666666666,-5.171499759880297,3.8981664265469638,"cohen_d_paired",-0.14733523307255733,NA,NA,NA,NA,NA,NA,NA,NA
"Absorption markers","CFA","wilcoxon_paired",6,0.025215813982524097,6,0.6858304344516057,0.8795086019848942,"96.500 [95.250-97.000]","96.000 [94.500-96.000]",93.33333333333333,8.066391179868893,96.5,95.25,97,77,98,21,95.83333333333333,1.834847859269718,96,94.5,96,94,99,5,-0.5,NA,NA,"rank_biserial_r",0.7142857142857143,NA,NA,NA,NA,NA,NA,NA,NA
"Absorption markers","UI_L_kg_day","paired_t",8,0.7881142036491875,0.11057942612097216,0.9150535243560355,0.9150535243560356,"7208.750 ± 1906.376","7240.750 ± 2070.718",7208.75,1906.3764993156146,7835.5,5949,8645.75,3807,9297,5490,7240.75,2070.7177327128456,7576.5,6066.25,8376.25,3940,9841,5901,32,-652.2862068047766,716.2862068047766,"cohen_d_paired",0.03909573103492813,NA,NA,NA,NA,NA,NA,NA,NA
"Anthropometry","SD_z_score_weight_2010","wilcoxon_paired",9,2.5934923764045264e-4,12,0.2135243540361823,0.4471350672871068,"-0.750 [-1.260--0.210]","-0.560 [-0.910--0.110]",-0.48333333333333334,1.354280251646608,-0.75,-1.26,-0.21,-2.07,2.57,4.64,-0.5077777777777778,0.7690542532516444,-0.56,-0.91,-0.11,-1.59,0.84,2.43,0.18999999999999995,NA,NA,"rank_biserial_r",0.7333333333333334,NA,NA,NA,NA,NA,NA,NA,NA
"Anthropometry","SD_z_score_height_2010","wilcoxon_paired",9,0.002427488265125931,19.5,0.7220491421508173,0.8795086019848942,"-0.480 [-0.630--0.050]","-0.530 [-0.600--0.100]",-0.4222222222222223,1.237808322982377,-0.48,-0.63,-0.05,-2.33,2.17,4.5,-0.13888888888888892,0.8791109776991248,-0.53,-0.6,-0.1,-0.75,2.07,2.82,-0.05,NA,NA,"rank_biserial_r",0.5666666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"Anthropometry","SD_z_score_BMI_Carrascosa2010","wilcoxon_paired",9,0.01696682583923968,10,0.1386406338132186,0.3425239188326577,"-0.900 [-1.130-0.010]","-0.640 [-1.100--0.280]",-0.5444444444444444,1.0543257455728652,-0.9,-1.13,0.01,-1.83,1.28,3.1100000000000003,-0.45222222222222225,1.0224820020149228,-0.64,-1.1,-0.28,-1.7,1.45,3.15,0.15999999999999992,NA,NA,"rank_biserial_r",0.7777777777777778,0.9999999999999999,1.6961766724354306,0.1405759341239683,26.987437874666824,1.6153846153846154,NA,NA,0
"Body composition","fat_mass_perc","paired_t",9,0.09794905404114691,-0.4877469113124555,0.6388145776459488,0.8795086019848942,"20.767 ± 3.833","20.422 ± 2.726",20.766666666666666,3.832998173753805,20.9,17.95,24,15.2,25.35,10.150000000000002,20.42222222222222,2.7261592844961284,20.2,17.9,21.4,16.7,24.9,8.2,-0.3444444444444448,-1.972933102834249,1.2840442139453592,"cohen_d_paired",-0.1625823037708185,NA,NA,NA,NA,NA,NA,NA,NA
"Body composition","lean_mass_perc","wilcoxon_paired",9,2.8817353636547197e-4,32,0.25997449371051157,0.4630902123390003,"79.700 [76.400-81.700]","79.900 [76.800-82.200]",78.95555555555556,5.317215227708749,79.7,76.4,81.7,68.6,86,17.400000000000006,79.5111111111111,3.3527766270825636,79.9,76.8,82.2,74.8,84.7,9.900000000000006,-0.5999999999999943,NA,NA,"rank_biserial_r",0.28888888888888886,NA,NA,NA,NA,NA,NA,NA,NA
"Body composition","fat_mass_index_kgm2","wilcoxon_paired",9,2.3595400072818945e-4,11,0.32698934959801507,0.5400601858899347,"15.500 [13.400-16.500]","16.700 [15.500-20.800]",15.552222222222222,6.360958610496098,15.5,13.4,16.5,2.67,26.1,23.43,17.27777777777778,3.315033098544334,16.7,15.5,20.8,12.5,21.8,9.3,0.3000000000000007,NA,NA,"rank_biserial_r",0.7555555555555555,NA,NA,NA,NA,NA,NA,NA,NA
"Body composition","total_body_water_perc","wilcoxon_paired",9,1.4562452067211622e-4,24,0.8589549227374824,0.885632477392242,"56.300 [47.300-60.700]","56.800 [55.600-58.500]",51.86222222222222,13.398856087160741,56.3,47.3,60.7,20.66,63.2,42.540000000000006,55.62222222222222,5.826186097649512,56.8,55.6,58.5,44.4,62.9,18.5,-0.6000000000000014,NA,NA,"rank_biserial_r",0.4666666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"3-day dietary record","Ingestion_kcalday","paired_t",9,0.6729508040005929,-0.3636895416406011,0.7255135137381509,0.8795086019848942,"2096.556 ± 712.249","2035.889 ± 575.211",2096.5555555555557,712.2489226231078,2148,1498,2396,1156,3526,2370,2035.888888888889,575.2111448078098,1930,1559,2469,1327,2899,1572,-60.666666666666664,-445.3287704250234,323.99543709169,"cohen_d_paired",-0.12122984721353369,NA,NA,NA,NA,NA,NA,NA,NA
"3-day dietary record","Fat_gday","paired_t",9,0.34531238423260924,1.4549270191523622,0.1837752053329783,0.40623992757816263,"103.056 ± 37.497","110.333 ± 27.636",103.05555555555556,37.49703691997246,120,76,122,46,159,113,110.33333333333333,27.636027210870957,124,80,130,75,146,71,7.277777777777778,-4.257223930026128,18.812779485581686,"cohen_d_paired",0.4849756730507874,NA,NA,NA,NA,NA,NA,NA,NA
"3-day dietary record","Protein_gday","paired_t",9,0.7561497593866872,-0.3047616367572416,0.7683254401178201,0.885632477392242,"83.667 ± 29.614","81.556 ± 25.461",83.66666666666667,29.614185789921695,81,71,111,40,127,87,81.55555555555556,25.461299608970823,83,71,98,41,122,81,-2.111111111111111,-18.085007969971606,13.862785747749383,"cohen_d_paired",-0.10158721225241386,NA,NA,NA,NA,NA,NA,NA,NA
"3-day dietary record","CH_gday","paired_t",9,0.6067167844977379,-0.9442695958926463,0.37267231565248216,0.5797124910149722,"199.778 ± 81.771","171.444 ± 71.830",199.77777777777777,81.77068205930806,178,147,213,119,385,266,171.44444444444446,71.82985297059835,145,136,222,94,308,214,-28.333333333333332,-97.52626733754629,40.85960067087962,"cohen_d_paired",-0.31475653196421544,NA,NA,NA,NA,NA,NA,NA,NA
"3-day dietary record","Fiber_gday","paired_t",9,0.059669565754141465,-1.4791413444462918,0.17736496622770198,0.40623992757816263,"15.898 ± 5.355","12.889 ± 4.853",15.897777777777778,5.354581631130899,17,11,20,7.5,23,15.5,12.88888888888889,4.852948702707573,12.4,9.4,17,6,20,14,-3.0088888888888885,-7.6997930044418474,1.68201522666407,"cohen_d_paired",-0.4930471148154306,NA,NA,NA,NA,NA,NA,NA,NA
"3-day dietary record","Calcium_mgday","paired_t",9,0.7993444544916105,1.6796276342530294,0.13154258852540812,0.3425239188326577,"840.444 ± 261.159","974.667 ± 251.505",840.4444444444445,261.15852997322867,892,771,956,247,1112,865,974.6666666666666,251.5049701298167,1065,732,1119,570,1378,808,134.22222222222223,-50.054931337701554,318.499375782146,"cohen_d_paired",0.559875878084343,NA,NA,NA,NA,NA,NA,NA,NA
"3-day dietary record","Cholesterol_mgday","paired_t",9,0.6779379702921491,-1.948613058250949,0.08717879165140088,0.3365180822099176,"324.667 ± 130.534","271.333 ± 58.777",324.6666666666667,130.5335205991166,298,275,362,125,610,485,271.3333333333333,58.77712139940166,241,239,301,190,389,199,-53.333333333333336,-116.44842264782268,9.781755981156005,"cohen_d_paired",-0.6495376860836497,NA,NA,NA,NA,NA,NA,NA,NA
"3-day dietary record","fat_g_1000kcal","paired_t",9,0.17984023080082265,1.915486076662081,0.09175196705706717,0.3365180822099176,"48.874 ± 8.721","54.835 ± 6.905",48.874455674196696,8.72080579982111,49.877350776778414,45.093590470788435,55.596196049743966,30.707610146862482,59.4607607125662,28.753150565703717,54.83504099172719,6.9052461685823925,52.24787363304982,51.499118165784836,60.28636021100226,46.222835460503624,67.35751295336787,21.13467749286425,5.9605853175304935,-1.2152091494357073,13.136379784496695,"cohen_d_paired",0.6384953588873603,NA,NA,NA,NA,NA,NA,NA,NA
"3-day dietary record","protein_g_1000kcal","wilcoxon_paired",9,0.007345636935047837,21,0.8589549227374824,0.885632477392242,"35.893 [34.602-37.709]","39.692 [35.411-46.577]",40.772098334628794,13.246775355969394,35.89315525876461,34.602076124567475,37.709497206703915,32.91880029261156,74.76635514018692,41.84755484757536,39.91338175474541,6.09027884498108,39.69218307006885,35.41147132169576,46.57687991021324,30.89675960813866,46.82488774855677,15.92812814041811,-0.06524708185191486,NA,NA,"rank_biserial_r",0.5333333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"3-day dietary record","CH_g_1000kcal","paired_t",9,0.7928659908007472,-1.8542520813286942,0.10081650103076621,0.3365180822099176,"94.930 ± 12.435","82.873 ± 16.934",94.92977474015414,12.435076513782713,90.02217294900223,87.05193855157279,107.26210350584307,79.44150216658642,113.32179930795849,33.88029714137207,82.87262654899017,16.933550998936187,87.47795414462081,76.31874298540966,93.00833867864016,48.70466321243523,106.24353225250087,57.53886904006564,-12.057148191163975,-27.05178342310627,2.9374870407783154,"cohen_d_paired",-0.6180840271095647,NA,NA,NA,NA,NA,NA,NA,NA
"3-day dietary record","fiber_g_1000kcal","paired_t",9,0.05480892977648522,-1.2866008932841526,0.23421360667419877,0.4471350672871068,"7.832 ± 2.501","6.412 ± 2.139",7.832332884522368,2.5013756102432256,7.5388026607538805,6.487889273356401,8.046817849305048,4.612421762156957,13.35113484646195,8.738713084304992,6.4117995509044485,2.138605310673031,5.99647266313933,4.746632456703015,7.98004987531172,3.955174686882004,9.539842873176207,5.584668186294203,-1.4205333336179198,-3.966587637339606,1.1255209701037663,"cohen_d_paired",-0.42886696442805083,NA,NA,NA,NA,NA,NA,NA,NA
"3-day dietary record","Calcium_mg_1000kcal","paired_t",9,0.9708553554886116,1.8329799154357898,0.10416035877926019,0.3365180822099176,"416.065 ± 146.431","493.592 ± 135.887",416.06450828154084,146.43085344807452,415.2700186219739,312.1869782971619,492.23946784922396,213.66782006920414,698.6100950987563,484.9422750295522,493.59158960201427,135.88677118684856,482.53131179960445,409.0909090909091,490.2743142144638,365.6189865298268,811.605124340618,445.98613781079115,77.52708132047346,-20.00686796604514,175.06103060699206,"cohen_d_paired",0.6109933051452633,NA,NA,NA,NA,NA,NA,NA,NA
"3-day dietary record","Cholesterol_mg_1000kcal","paired_t",9,0.7234271224019191,-1.7410513331323418,0.11985270631346269,0.3425239188326577,"156.170 ± 41.825","138.182 ± 29.910",156.16980278205074,41.824621517709915,151.08514190317197,128.0260707635009,173.00056721497447,108.13148788927336,222.96395193591457,114.8324640466412,138.18227741502852,29.910081866484422,137.21340388007056,120.19950124688279,152.6619627966645,96.80032401782097,181.61266013564432,84.81233611782335,-17.987525367022215,-41.81181307703318,5.836762342988755,"cohen_d_paired",-0.5803504443774472,NA,NA,NA,NA,NA,NA,NA,NA
"Serum lipids","serum_cholesterol_mgdL","paired_t",8,0.953200636967956,2.2956218151237997,0.05534704095783494,0.3365180822099176,"127.625 ± 20.283","147.875 ± 39.190",127.625,20.283261924200314,125,111.25,133.75,108,167,59,147.875,39.18978547675766,149,117,179.5,92,203,111,20.25,-0.6086801098035256,41.10868010980353,"cohen_d_paired",0.8116248762569048,NA,NA,NA,NA,NA,NA,NA,NA
"Serum lipids","serum_HDL_mgdL","paired_t",7,0.6977066854174669,0.7425014738668885,0.48582496431141153,0.7287374464671172,"52.286 ± 12.829","55.857 ± 7.967",52.285714285714285,12.828539611796371,46,43,60,40,74,34,55.857142857142854,7.967194642795572,58,55.5,60,39,63,24,3.5714285714285716,-8.198205839442634,15.341062982299778,"cohen_d_paired",0.28063917827867296,NA,NA,NA,NA,NA,NA,NA,NA
"Serum lipids","serum_LDL_mgdL","paired_t",7,0.16078999485212087,2.255142393689473,0.06498036817092537,0.3365180822099176,"66.714 ± 16.028","87.714 ± 30.374",66.71428571428571,16.02824887206216,63,55,73,52,96,44,87.71428571428571,30.37386094278152,77,67.5,109.5,49,134,85,21,-1.785766884536669,43.78576688453666,"cohen_d_paired",0.8523637063916089,NA,NA,NA,NA,NA,NA,NA,NA
"Serum lipids","serum_triglycerides_mgdL","paired_t",8,0.7643730930509784,0.6741295197365169,0.521860613622368,0.7557981300737744,"53.250 ± 17.790","57.875 ± 20.972",53.25,17.790446874657196,48.5,40.75,62.25,32,85,53,57.875,20.972345737048247,59.5,46.25,67.5,23,90,67,4.625,-11.597976213667522,20.847976213667526,"cohen_d_paired",0.2383407774018608,NA,NA,NA,NA,NA,NA,NA,NA
"Serum lipids","LDL_HDL_ratio","paired_t",7,0.1139730358917365,1.0496121774595697,0.3343229722175786,0.5400601858899347,"1.322 ± 0.375","1.573 ± 0.493",1.3216431322021385,0.37534305221696007,1.2380952380952381,1.1136363636363638,1.4673913043478262,0.8513513513513513,2,1.1486486486486487,1.5734835572439183,0.4930859920480771,1.6666666666666667,1.2193486590038316,1.8253681578216172,0.9074074074074074,2.3508771929824563,1.443469785575049,0.25184042504177984,-0.33526339660367166,0.8389442466872312,"cohen_d_paired",0.3967161135175738,NA,NA,NA,NA,NA,NA,NA,NA
"Serum lipids","non_HDL_mgdL","paired_t",7,0.3072750813303342,2.231801430749753,0.0670994252404552,0.3365180822099176,"77.571 ± 14.876","100.000 ± 30.952",77.57142857142857,14.875675254781353,71,66,86.5,64,103,39,100,30.95157508108432,89,84.5,121,54,146,92,22.428571428571427,-2.1617601648563047,47.018903021999165,"cohen_d_paired",0.8435416516345697,NA,NA,NA,NA,NA,NA,NA,NA
"Serum vitamins","VitaminA_ugdL","paired_t",9,0.8700496905273238,2.3269475275657805,0.04839173382869869,0.3365180822099176,"36.922 ± 8.266","44.722 ± 10.354",36.922222222222224,8.266162619041827,38.7,34,39.4,20,47.8,27.799999999999997,44.72222222222222,10.354440807906743,46.6,41,50.6,28.2,57,28.8,7.8,0.07020289821123743,15.52979710178876,"cohen_d_paired",0.7756491758552603,NA,NA,NA,NA,NA,NA,NA,NA
"Serum vitamins","VitaminD_ngdL","paired_t",9,0.1794803002178361,0.17995393768717366,0.8616634295416982,0.885632477392242,"29.889 ± 6.412","30.444 ± 5.247",29.88888888888889,6.411794687223781,32,26,33,19,39,20,30.444444444444443,5.246692079565731,30,26,33,24,40,16,0.5555555555555556,-6.563562952836336,7.674674063947447,"cohen_d_paired",0.059984645895724546,NA,NA,NA,NA,NA,NA,NA,NA
