"Outcome","FeatureID","n","beta_SD","conf.low","conf.high","p","singular_fit","model_used","p_fdr_outcome","p_fdr_global"
"Ingestion_kcalday","Adlercreutzia_equolifaciens",18,0.0670821060031073,-0.347652115980446,0.48181632798666,0.75796191328584,FALSE,"LMM",0.785257621952584,0.960856637331336
"Ingestion_kcalday","Clostridium_SGB6179",18,0.428968787463241,0.0816036364956763,0.776333938430805,0.0371723060651562,FALSE,"LMM",0.111516918195469,0.260206142456094
"Ingestion_kcalday","Flavonifractor_plautii",18,0.0550953828752395,-0.330660766879834,0.440851532630313,0.785257621952584,FALSE,"LMM",0.785257621952584,0.960856637331336
"fat_g_1000kcal","Adlercreutzia_equolifaciens",18,0.0875176917127032,-0.431174272950755,0.606209656376162,0.745789625523066,FALSE,"LMM",0.745789625523066,0.960856637331336
"fat_g_1000kcal","Clostridium_SGB6179",18,-0.708460773978367,-1.01418545231507,-0.402736095641667,0.00184321699954504,FALSE,"LMM",0.00552965099863513,0.0365722477508519
"fat_g_1000kcal","Flavonifractor_plautii",18,0.154793334879749,-0.318189997741627,0.627776667501125,0.53146787720021,FALSE,"LMM",0.745789625523066,0.960856637331336
"protein_g_1000kcal","Adlercreutzia_equolifaciens",18,-0.128081489962966,-0.657839033863213,0.401676053937281,0.643517593056969,FALSE,"LMM",0.994331500570955,0.960856637331336
"protein_g_1000kcal","Clostridium_SGB6179",18,0.00195093951970473,-0.525931039779987,0.529832918819396,0.994331500570955,FALSE,"LMM",0.994331500570955,0.994331500570955
"protein_g_1000kcal","Flavonifractor_plautii",18,-0.110113716343183,-0.59497251014223,0.374745077455864,0.66362808673892,FALSE,"LMM",0.994331500570955,0.960856637331336
"CH_g_1000kcal","Adlercreutzia_equolifaciens",18,-0.0369264599166262,-0.566435916775482,0.49258299694223,0.893131441653586,FALSE,"LMM",0.893131441653586,0.960856637331336
"CH_g_1000kcal","Clostridium_SGB6179",18,0.71294308337556,0.353545836216828,1.07234033053429,0.00348307121436685,FALSE,"LMM",0.0104492136431005,0.0365722477508519
"CH_g_1000kcal","Flavonifractor_plautii",18,-0.107691477454782,-0.592482469738662,0.377099514829098,0.669538279855834,FALSE,"LMM",0.893131441653586,0.960856637331336
"fiber_g_1000kcal","Adlercreutzia_equolifaciens",18,0.264136168026317,-0.687002557154163,1.2152748932068,0.532380394729278,TRUE,"FE_PatientID",0.798570592093918,0.960856637331336
"fiber_g_1000kcal","Clostridium_SGB6179",18,0.267820053747614,-0.693011857970079,1.22865196546531,0.530901620254533,TRUE,"FE_PatientID",0.798570592093918,0.960856637331336
"fiber_g_1000kcal","Flavonifractor_plautii",18,-0.0362138690334917,-0.544313303059335,0.471885564992352,0.890761056404756,FALSE,"LMM",0.890761056404756,0.960856637331336
"Calcium_mg_1000kcal","Adlercreutzia_equolifaciens",18,-0.0251318568871406,-0.476596452519516,0.426332738745235,0.915101559363177,FALSE,"LMM",0.915101559363177,0.960856637331336
"Calcium_mg_1000kcal","Clostridium_SGB6179",18,-0.153632161633707,-0.599508991100639,0.292244667833226,0.513186052173064,FALSE,"LMM",0.769779078259595,0.960856637331336
"Calcium_mg_1000kcal","Flavonifractor_plautii",18,0.159894073372459,-0.244908403093627,0.564696549838546,0.455363091180241,FALSE,"LMM",0.769779078259595,0.960856637331336
"Cholesterol_mg_1000kcal","Adlercreutzia_equolifaciens",18,-0.0642679326164434,-0.506708760874684,0.378172895641797,0.78147852404147,FALSE,"LMM",0.78147852404147,0.960856637331336
"Cholesterol_mg_1000kcal","Clostridium_SGB6179",18,-0.338118778362613,-0.739189567800269,0.0629520110750426,0.12784438357237,FALSE,"LMM",0.337052478854492,0.671183013754942
"Cholesterol_mg_1000kcal","Flavonifractor_plautii",18,-0.253976447139123,-0.640202481374588,0.132249587096343,0.224701652569661,FALSE,"LMM",0.337052478854492,0.943746940792577
