"taxon","var","n","rho","p","p_fdr"
"Clostridium_SGB6179_delta","fat_g_1000kcal_delta",9,-0.864530967116533,0.00263237184483384,0.0552798087415106
"Clostridium_SGB6179_delta","CH_g_1000kcal_delta",9,0.779773029163932,0.01320518673206,0.13865446068663
"Clostridium_SGB6179_delta","Cholesterol_mg_1000kcal_delta",9,-0.593305565668209,0.0921619525517758,0.64513366786243
"Adlercreutzia_equolifaciens_delta","Ingestion_kcalday_delta",9,0.389886514581966,0.299588758586314,0.896622545113034
"Adlercreutzia_equolifaciens_delta","fat_g_1000kcal_delta",9,-0.288176989038844,0.452055614547963,0.896622545113034
"Adlercreutzia_equolifaciens_delta","protein_g_1000kcal_delta",9,-0.220370638676763,0.568838013951106,0.896622545113034
"Adlercreutzia_equolifaciens_delta","CH_g_1000kcal_delta",9,0.406838102172486,0.277169877770675,0.896622545113034
"Adlercreutzia_equolifaciens_delta","fiber_g_1000kcal_delta",9,0.186467463495723,0.63096682389723,0.896622545113034
"Adlercreutzia_equolifaciens_delta","Calcium_mg_1000kcal_delta",9,-0.169515875905203,0.662828040854944,0.896622545113034
"Adlercreutzia_equolifaciens_delta","Cholesterol_mg_1000kcal_delta",9,-0.118661113133642,0.761084066531759,0.896622545113034
"Clostridium_SGB6179_delta","Ingestion_kcalday_delta",9,0.491596040125088,0.17892749146834,0.896622545113034
"Clostridium_SGB6179_delta","protein_g_1000kcal_delta",9,-0.152564288314682,0.695164092023903,0.896622545113034
"Clostridium_SGB6179_delta","fiber_g_1000kcal_delta",9,0.0847579379526013,0.828362897117741,0.896622545113034
"Clostridium_SGB6179_delta","Calcium_mg_1000kcal_delta",9,-0.339031751810405,0.372111793417203,0.896622545113034
"Flavonifractor_plautii_delta","Ingestion_kcalday_delta",9,0.0508547627715608,0.896622545113034,0.896622545113034
"Flavonifractor_plautii_delta","fat_g_1000kcal_delta",9,0.0847579379526013,0.828362897117741,0.896622545113034
"Flavonifractor_plautii_delta","protein_g_1000kcal_delta",9,0.067806350362081,0.862394191836714,0.896622545113034
"Flavonifractor_plautii_delta","CH_g_1000kcal_delta",9,0.152564288314682,0.695164092023903,0.896622545113034
"Flavonifractor_plautii_delta","fiber_g_1000kcal_delta",9,0.0508547627715608,0.896622545113034,0.896622545113034
"Flavonifractor_plautii_delta","Calcium_mg_1000kcal_delta",9,-0.067806350362081,0.862394191836714,0.896622545113034
"Flavonifractor_plautii_delta","Cholesterol_mg_1000kcal_delta",9,-0.339031751810405,0.372111793417203,0.896622545113034
