"Outcome","FeatureID","n","beta_SD","conf.low","conf.high","p","singular_fit","model_used","p_fdr_outcome","p_fdr_global","sig"
"serum_cholesterol_mgdL","Adlercreutzia_equolifaciens",16,-0.0300291004133624,-0.45921476511199,0.399156564285265,0.894046336159364,FALSE,"LMM",0.894046336159364,0.913089711029112,FALSE
"serum_cholesterol_mgdL","Clostridium_SGB6179",16,-0.146472988028903,-0.581621450499803,0.288675474441998,0.526797978227616,FALSE,"LMM",0.894046336159364,0.866044982380269,FALSE
"serum_cholesterol_mgdL","Flavonifractor_plautii",16,-0.0723008333416724,-0.476545630250123,0.331943963566778,0.734174580806067,FALSE,"LMM",0.894046336159364,0.866044982380269,FALSE
"serum_HDL_mgdL","Adlercreutzia_equolifaciens",14,0.100537386254647,-0.532009829241001,0.733084601750294,0.76162840188105,FALSE,"LMM",0.76162840188105,0.866044982380269,FALSE
"serum_HDL_mgdL","Clostridium_SGB6179",14,-0.199769370112499,-0.854590309282475,0.455051569057478,0.562758937580023,FALSE,"LMM",0.76162840188105,0.866044982380269,FALSE
"serum_HDL_mgdL","Flavonifractor_plautii",14,0.117461501253781,-0.477275954461835,0.712198956969397,0.706670120522262,FALSE,"LMM",0.76162840188105,0.866044982380269,FALSE
"serum_LDL_mgdL","Adlercreutzia_equolifaciens",14,-0.120958717012079,-0.646798315351091,0.404880881326933,0.663079710746663,FALSE,"LMM",0.669944551116601,0.866044982380269,FALSE
"serum_LDL_mgdL","Clostridium_SGB6179",14,-0.291850702249056,-0.809517094259082,0.225815689760969,0.300441802038393,FALSE,"LMM",0.669944551116601,0.866044982380269,FALSE
"serum_LDL_mgdL","Flavonifractor_plautii",14,-0.113826475829789,-0.620358589307979,0.3927056376484,0.669944551116601,FALSE,"LMM",0.669944551116601,0.866044982380269,FALSE
"LDL_HDL_ratio","Adlercreutzia_equolifaciens",14,-0.0565145853453484,-1.32224878602211,1.20921961533141,0.913089711029112,TRUE,"FE_PatientID",0.913089711029112,0.913089711029112,FALSE
"LDL_HDL_ratio","Clostridium_SGB6179",14,-0.159396372430528,-1.48563077220926,1.1668380273482,0.769817762115795,TRUE,"FE_PatientID",0.913089711029112,0.866044982380269,FALSE
"LDL_HDL_ratio","Flavonifractor_plautii",14,-0.145870729631383,-1.34118436092975,1.04944290166698,0.766412394432152,TRUE,"FE_PatientID",0.913089711029112,0.866044982380269,FALSE
"serum_triglycerides_mgdL","Adlercreutzia_equolifaciens",16,0.129316682297935,-0.383564329243253,0.642197693839124,0.632689087502592,FALSE,"LMM",0.632689087502592,0.866044982380269,FALSE
"serum_triglycerides_mgdL","Clostridium_SGB6179",16,0.363403787037953,-0.162739064871263,0.889546638947169,0.20336820955248,FALSE,"LMM",0.610104628657441,0.866044982380269,FALSE
"serum_triglycerides_mgdL","Flavonifractor_plautii",16,-0.19924331965596,-0.679895598602147,0.281408959290228,0.435414536230058,FALSE,"LMM",0.632689087502592,0.866044982380269,FALSE
"non_HDL_mgdL","Adlercreutzia_equolifaciens",14,-0.114404801368192,-0.660301135680376,0.431491532943992,0.690427822537502,FALSE,"LMM",0.690427822537502,0.866044982380269,FALSE
"non_HDL_mgdL","Clostridium_SGB6179",14,-0.227984711088369,-0.780660037773055,0.324690615596316,0.439798043128474,FALSE,"LMM",0.690427822537502,0.866044982380269,FALSE
"non_HDL_mgdL","Flavonifractor_plautii",14,-0.143282688765304,-0.663626068011513,0.377060690480905,0.60157654886986,FALSE,"LMM",0.690427822537502,0.866044982380269,FALSE
