"taxon","var","n","rho","p","p_fdr"
"Clostridium_SGB6179_delta","serum_cholesterol_mgdL_delta",8,-0.610789393575762,0.107721236692871,0.646327420157223
"Clostridium_SGB6179_delta","serum_LDL_mgdL_delta",7,-0.666693722394714,0.101920460246182,0.646327420157223
"Clostridium_SGB6179_delta","non_HDL_mgdL_delta",7,-0.666693722394714,0.101920460246182,0.646327420157223
"Adlercreutzia_equolifaciens_delta","serum_cholesterol_mgdL_delta",8,-0.390360029179413,0.339030183245566,0.933258534482338
"Adlercreutzia_equolifaciens_delta","serum_LDL_mgdL_delta",7,-0.29649972666444,0.518476963601299,0.933258534482338
"Adlercreutzia_equolifaciens_delta","non_HDL_mgdL_delta",7,-0.29649972666444,0.518476963601299,0.933258534482338
"Flavonifractor_plautii_delta","serum_cholesterol_mgdL_delta",8,-0.29277002188456,0.481617814312155,0.933258534482338
"Flavonifractor_plautii_delta","serum_HDL_mgdL_delta",7,0.390909090909091,0.385892206622279,0.933258534482338
"Flavonifractor_plautii_delta","LDL_HDL_ratio_delta",7,-0.522543728363424,0.228877877576095,0.933258534482338
"Flavonifractor_plautii_delta","serum_triglycerides_mgdL_delta",8,-0.343616485571671,0.404637178387074,0.933258534482338
"Adlercreutzia_equolifaciens_delta","serum_HDL_mgdL_delta",7,0.130892578601184,0.779688503496189,0.943558245350315
"Adlercreutzia_equolifaciens_delta","LDL_HDL_ratio_delta",7,-0.22237479499833,0.631749338926165,0.943558245350315
"Adlercreutzia_equolifaciens_delta","serum_triglycerides_mgdL_delta",8,0.110448156076609,0.794587711952642,0.943558245350315
"Clostridium_SGB6179_delta","serum_HDL_mgdL_delta",7,-0.0363636363636364,0.93830798058361,0.943558245350315
"Clostridium_SGB6179_delta","LDL_HDL_ratio_delta",7,-0.216224991046934,0.641445509353918,0.943558245350315
"Clostridium_SGB6179_delta","serum_triglycerides_mgdL_delta",8,0.0301204819277108,0.943558245350315,0.943558245350315
"Flavonifractor_plautii_delta","serum_LDL_mgdL_delta",7,-0.0720749970156447,0.877959250822513,0.943558245350315
"Flavonifractor_plautii_delta","non_HDL_mgdL_delta",7,-0.0720749970156447,0.877959250822513,0.943558245350315
