"Gene","n_paired","Prev_T0","Prev_T12","DeltaPrev","Lost_1to0","Gained_0to1","Total_Discordant","P_value","P_adj"
"tet(M)",9,0.4444444444444444,0,-0.4444444444444444,4,0,4,0.125,1
"sul2",9,0.6666666666666666,0.1111111111111111,-0.5555555555555556,6,1,7,0.12500000000000003,1
"aph(3'')-Ib",9,0.5555555555555556,0.1111111111111111,-0.4444444444444445,5,1,6,0.21875000000000008,1
"sul1",9,0.3333333333333333,0,-0.3333333333333333,3,0,3,0.25000000000000006,1
"tet(44)",9,0,0.3333333333333333,0.3333333333333333,0,3,3,0.25000000000000006,1
"tet(B)",9,0.3333333333333333,0,-0.3333333333333333,3,0,3,0.25000000000000006,1
"tetB(P)",9,0.1111111111111111,0.4444444444444444,0.3333333333333333,0,3,3,0.25000000000000006,1
"tet(Q)",9,0.5555555555555556,0.2222222222222222,-0.33333333333333337,4,1,5,0.37499999999999994,1
"aph(6)-Id",9,0.5555555555555556,0.2222222222222222,-0.33333333333333337,5,2,7,0.4531250000000002,1
"aadA1",9,0.2222222222222222,0,-0.2222222222222222,2,0,2,0.5,1
"aph(2'')-Ib",9,0.1111111111111111,0.3333333333333333,0.2222222222222222,0,2,2,0.5,1
"erm(A)",9,0.2222222222222222,0,-0.2222222222222222,2,0,2,0.5,1
"fosA",9,0.2222222222222222,0,-0.2222222222222222,2,0,2,0.5,1
"lnu(P)",9,0,0.2222222222222222,0.2222222222222222,0,2,2,0.5,1
"qnrB19",9,0.2222222222222222,0,-0.2222222222222222,2,0,2,0.5,1
"tet(O/32/O)",9,0.2222222222222222,0,-0.2222222222222222,2,0,2,0.5,1
"tet(W)",9,0.8888888888888888,0.6666666666666666,-0.2222222222222222,2,0,2,0.5,1
"blaTEM-1B",9,0.3333333333333333,0.1111111111111111,-0.2222222222222222,3,1,4,0.6250000000000001,1
"mef(A)",9,0.4444444444444444,0.2222222222222222,-0.2222222222222222,3,1,4,0.6250000000000001,1
"tet(O)",9,0.4444444444444444,0.6666666666666666,0.2222222222222222,1,3,4,0.6250000000000001,1
"erm(G)",9,0.3333333333333333,0.5555555555555556,0.22222222222222227,2,4,6,0.6874999999999999,1
"aac(3)-IId",9,0,0.1111111111111111,0.1111111111111111,0,1,1,1,1
"aac(6')-aph(2'')",9,0.1111111111111111,0.1111111111111111,0,1,1,2,1,1
"aac(6')-If",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"aac(6')-Im",9,0.1111111111111111,0.2222222222222222,0.1111111111111111,0,1,1,1,1
"ant(2'')-Ia",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"ant(3'')-Ia",9,0,0.1111111111111111,0.1111111111111111,0,1,1,1,1
"ant(6)-Ia",9,0.8888888888888888,0.8888888888888888,0,1,1,2,1,1
"ant(6)-Ib",9,0,0.1111111111111111,0.1111111111111111,0,1,1,1,1
"ant(9)-Ia",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"aph(3')-Ia",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"aph(3')-III",9,0.7777777777777778,0.6666666666666666,-0.11111111111111116,2,1,3,1,1
"aph(3')-IIIa",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"ARR-3",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"blaACI-1",9,0.2222222222222222,0.1111111111111111,-0.1111111111111111,1,0,1,1,1
"blaACT-12",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"blaCMY-76",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"blaCTX-M-14",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"blaCTX-M-27",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"blaMIR-6",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"blaOXY-6-1",9,0,0.1111111111111111,0.1111111111111111,0,1,1,1,1
"blaSHV-1",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"blaTEM-1C",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"blaTEM-30",9,0,0.1111111111111111,0.1111111111111111,0,1,1,1,1
"blaTEM-84",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"cat",9,0,0.1111111111111111,0.1111111111111111,0,1,1,1,1
"catS",9,0.3333333333333333,0.3333333333333333,0,2,2,4,1,1
"cepA",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"cepA-44",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"cfr(C)",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"Cfr(E)",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"cfxA",9,0.2222222222222222,0.1111111111111111,-0.1111111111111111,2,1,3,1,1
"cfxA5",9,0.1111111111111111,0.2222222222222222,0.1111111111111111,0,1,1,1,1
"dfrA1",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"dfrA14",9,0.1111111111111111,0.1111111111111111,0,1,1,2,1,1
"dfrA17",9,0.1111111111111111,0.1111111111111111,0,1,1,2,1,1
"dfrA36",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"dfrA5",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"dfrG",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"erm(B)",9,0.8888888888888888,1,0.11111111111111116,0,1,1,1,1
"erm(F)",9,0.3333333333333333,0.2222222222222222,-0.1111111111111111,3,2,5,1,1
"erm(Q)",9,0.2222222222222222,0.3333333333333333,0.1111111111111111,0,1,1,1,1
"erm(T)",9,0,0.1111111111111111,0.1111111111111111,0,1,1,1,1
"erm(X)",9,0.3333333333333333,0.2222222222222222,-0.1111111111111111,1,0,1,1,1
"floR",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"fosA2",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"lnu(C)",9,0.3333333333333333,0.4444444444444444,0.1111111111111111,2,3,5,1,1
"lsa(A)",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"lsa(C)",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"lsa(E)",9,0.1111111111111111,0.1111111111111111,0,0,0,0,1,1
"mph(A)",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"msr(D)",9,0.4444444444444444,0.3333333333333333,-0.1111111111111111,2,1,3,1,1
"nimA",9,0.1111111111111111,0.1111111111111111,0,0,0,0,1,1
"OqxA",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"OqxB",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"qnrB60",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"qnrD1",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"qnrS1",9,0,0.1111111111111111,0.1111111111111111,0,1,1,1,1
"tet(32)",9,0.2222222222222222,0.1111111111111111,-0.1111111111111111,2,1,3,1,1
"tet(40)",9,0.7777777777777778,0.8888888888888888,0.11111111111111105,0,1,1,1,1
"tet(A)",9,0.2222222222222222,0.1111111111111111,-0.1111111111111111,2,1,3,1,1
"tet(D)",9,0.1111111111111111,0,-0.1111111111111111,1,0,1,1,1
"tet(X)",9,0.2222222222222222,0.2222222222222222,0,2,2,4,1,1
"tetA(P)",9,0.2222222222222222,0.1111111111111111,-0.1111111111111111,2,1,3,1,1
