FeatureID,SampleID,RelAbundance,Time,sign|Time
Flavonifractor_plautii,P2H0,0.005364566483338725,T0,TRUE
Clostridium_SGB6179,P2H0,0,T0,TRUE
Adlercreutzia_equolifaciens,P2H0,0,T0,TRUE
Flavonifractor_plautii,P2H12,0,T12,TRUE
Clostridium_SGB6179,P2H12,0,T12,TRUE
Adlercreutzia_equolifaciens,P2H12,0.003420655463352064,T12,TRUE
Flavonifractor_plautii,P4H0,0,T0,TRUE
Clostridium_SGB6179,P4H0,0,T0,TRUE
Adlercreutzia_equolifaciens,P4H0,0,T0,TRUE
Flavonifractor_plautii,P4H12,0,T12,TRUE
Clostridium_SGB6179,P4H12,1.3242966805801422e-4,T12,TRUE
Adlercreutzia_equolifaciens,P4H12,4.1936061551704507e-4,T12,TRUE
Flavonifractor_plautii,P11H0,9.428897586497883e-4,T0,TRUE
Clostridium_SGB6179,P11H0,6.692978205192334e-5,T0,TRUE
Adlercreutzia_equolifaciens,P11H0,0,T0,TRUE
Flavonifractor_plautii,P11H12,0,T12,TRUE
Clostridium_SGB6179,P11H12,0.0010741874728664707,T12,TRUE
Adlercreutzia_equolifaciens,P11H12,0,T12,TRUE
Flavonifractor_plautii,P14H0,1.2883756184303388e-4,T0,TRUE
Clostridium_SGB6179,P14H0,0,T0,TRUE
Adlercreutzia_equolifaciens,P14H0,0,T0,TRUE
Flavonifractor_plautii,P14H12,1.1303906640227636e-5,T12,TRUE
Clostridium_SGB6179,P14H12,0,T12,TRUE
Adlercreutzia_equolifaciens,P14H12,0.0011540077546818106,T12,TRUE
Flavonifractor_plautii,P16H0,8.416741740997018e-5,T0,TRUE
Clostridium_SGB6179,P16H0,0,T0,TRUE
Adlercreutzia_equolifaciens,P16H0,0,T0,TRUE
Flavonifractor_plautii,P16H12,0,T12,TRUE
Clostridium_SGB6179,P16H12,2.3550718462339603e-4,T12,TRUE
Adlercreutzia_equolifaciens,P16H12,0.0010401817967082732,T12,TRUE
Flavonifractor_plautii,P17H0,0,T0,TRUE
Clostridium_SGB6179,P17H0,0,T0,TRUE
Adlercreutzia_equolifaciens,P17H0,0,T0,TRUE
Flavonifractor_plautii,P17H12,0,T12,TRUE
Clostridium_SGB6179,P17H12,9.492492915162219e-4,T12,TRUE
Adlercreutzia_equolifaciens,P17H12,0.002413906164363397,T12,TRUE
Flavonifractor_plautii,P21H0,1.2193733464422788e-4,T0,TRUE
Clostridium_SGB6179,P21H0,0,T0,TRUE
Adlercreutzia_equolifaciens,P21H0,0,T0,TRUE
Flavonifractor_plautii,P21H12,0,T12,TRUE
Clostridium_SGB6179,P21H12,4.852833132126524e-4,T12,TRUE
Adlercreutzia_equolifaciens,P21H12,0,T12,TRUE
Flavonifractor_plautii,P26H0,4.638332619383067e-4,T0,TRUE
Clostridium_SGB6179,P26H0,1.305001965037601e-4,T0,TRUE
Adlercreutzia_equolifaciens,P26H0,5.093425683403108e-5,T0,TRUE
Flavonifractor_plautii,P26H12,0,T12,TRUE
Clostridium_SGB6179,P26H12,9.272889316149448e-5,T12,TRUE
Adlercreutzia_equolifaciens,P26H12,0,T12,TRUE
Flavonifractor_plautii,P27H0,0,T0,TRUE
Clostridium_SGB6179,P27H0,0,T0,TRUE
Adlercreutzia_equolifaciens,P27H0,0,T0,TRUE
Flavonifractor_plautii,P27H12,0,T12,TRUE
Clostridium_SGB6179,P27H12,0,T12,TRUE
Adlercreutzia_equolifaciens,P27H12,0,T12,TRUE
