"FeatureID","Time","n","mean","sd","median","iqr"
"Actinobacteria","H0",9,0.27116393084715196,0.31342155525405657,0.12490736348339812,0.2637245794002006
"Actinobacteria","H12",9,0.2747808109594757,0.28278928291776306,0.2568020871410671,0.3629970341456432
"Bacillota","H0",9,0.008617541154448417,0.021923718086688374,0,0.00148067798080711
"Bacillota","H12",9,0.005280535400988684,0.007802504719072267,7.901632596994836e-4,0.00486053142211249
"Bacteroidota","H0",9,0.02134212855479771,0.04206144507000114,0.00466406808299172,0.014463587503167593
"Bacteroidota","H12",9,0.012610693106819152,0.02817468342597276,0.00135571285307253,0.005374387643344062
"Candidatus_Saccharibacteria","H0",9,1.938011792684945e-6,3.84588972192737e-6,0,0
"Candidatus_Saccharibacteria","H12",9,2.9624745761098084e-5,5.528499107970219e-5,0,4.174075482609834e-5
"Firmicutes","H0",9,0.41959805576566234,0.27841439541448515,0.4630879190791538,0.47069084557030527
"Firmicutes","H12",9,0.493673334213883,0.25818385919913267,0.5923252329155023,0.27406743160170816
"Fusobacteria","H0",9,3.652831383519025e-5,9.171658964264115e-5,0,8.204259203873603e-6
"Fusobacteria","H12",9,0,0,0,0
"Proteobacteria","H0",9,0.09032739070353539,0.18484505142283175,0.01588250815966185,0.06161218147451051
"Proteobacteria","H12",9,0.014925892402337054,0.03024991756172388,2.680911927130528e-4,0.005407348458195479
"UNCLASSIFIED","H0",9,0.1647683643196228,0.0982161355755812,0.16546839615011324,0.09351164427212771
"UNCLASSIFIED","H12",9,0.11737945839749246,0.0665737124419348,0.11148853121186916,0.053265342577614824
"Verrucomicrobia","H0",9,0.024144122329153552,0.05194091794379658,0,2.461360621194584e-4
"Verrucomicrobia","H12",9,0.08131965077324282,0.21594202310918925,0.00194173708015339,0.027745703885675377
