SampleType,Time,Rank,Taxon,n_samples,n_nonzero,n_unique_values,zero_percent,mean_RA_percent,sd_RA_percent,median_RA_percent,Q1_RA_percent,Q3_RA_percent,min_RA_percent,max_RA_percent,shapiro_p,distribution,recommended_summary
feces,T0,Species,UNCLASSIFIED,9,9,9,0,16.47683643196228,9.82161355755812,16.546839615011326,11.412390385716229,20.763554812929,3.9412022370950575,33.99487010047234,0.8116500696468658,Compatible with normality,Mean +/- SD
feces,T0,Species,Bifidobacterium_longum,9,9,9,0,11.285330035021289,14.672234579736141,4.832605798425153,3.113701608591688,9.699370860048711,0.15379256798533975,46.30923470104519,0.00343730764352894,Non-normal,Median [IQR]
feces,T0,Species,Escherichia_coli,9,9,9,0,6.021972113147205,11.629273909999972,1.557631200092507,0.2661038648954271,3.0212020586541084,0.007692094495071235,35.697392399669305,6.983626453703735e-5,Non-normal,Median [IQR]
feces,T0,Species,Bifidobacterium_pseudocatenulatum,9,4,5,55.55555555555556,5.005539479284177,11.585643238158704,0,0,2.265601280351193,0,35.16540751208228,1.0769475522602702e-5,Non-normal,Median [IQR]
feces,T0,Species,Ruminococcus_bromii,9,4,5,55.55555555555556,4.370350323817198,10.093427485634491,0,0,0.8079916729965546,0,30.521407520739537,1.0847292937910196e-5,Non-normal,Median [IQR]
feces,T0,Species,Bifidobacterium_bifidum,9,6,7,33.33333333333333,4.339009627783995,9.566164435596166,0.029348843380393442,0,1.1424065772027208,0,28.73896152882957,2.1791086310252814e-5,Non-normal,Median [IQR]
feces,T0,Species,Lactiplantibacillus_plantarum,9,2,3,77.77777777777779,3.2836357627735513,9.710945743776179,0,0,0,0,29.17737526303607,3.8661297017523764e-7,Non-normal,Median [IQR]
feces,T0,Species,Collinsella_aerofaciens,9,8,9,11.11111111111111,3.104678131842539,6.710794666686795,0.5069636540426059,0.19079697345943455,2.2734754124878678,0,20.74785352794573,1.0814210961633987e-5,Non-normal,Median [IQR]
feces,T0,Species,Ruminococcus_gnavus,9,8,9,11.11111111111111,3.0610123336754933,6.925649016671447,0.38794297699848507,0.06299530395910505,1.598885878356519,0,21.37834443868189,5.872243207010961e-6,Non-normal,Median [IQR]
feces,T0,Species,Akkermansia_muciniphila,9,4,5,55.55555555555556,2.4144122329153554,5.194091794379658,0,0,0.02461360621194584,0,14.905071404403131,3.142911415920644e-5,Non-normal,Median [IQR]
feces,T0,Species,Klebsiella_pneumoniae,9,3,4,66.66666666666666,2.3920161255957813,7.172153285279797,0,0,0.002915448017919878,0,21.517757037993988,3.237834579453814e-7,Non-normal,Median [IQR]
feces,T0,Species,Eubacterium_rectale,9,6,7,33.33333333333333,2.271667568810545,5.0650320545473555,0.05827803232627501,0,0.11187722419928826,0,14.97594563556985,1.956264469751963e-5,Non-normal,Median [IQR]
feces,T0,Species,Dialister_invisus,9,5,6,44.44444444444444,2.128920929151441,4.227030104839276,0.005573253844340125,0,0.015791410695013452,0,10.193845335223367,2.7888062202168005e-5,Non-normal,Median [IQR]
feces,T0,Species,Gemmiger_formicilis,9,4,5,55.55555555555556,2.0650369254914853,5.512625831187817,0,0,0.8264672385283947,0,16.731049442596387,1.2053078208634712e-6,Non-normal,Median [IQR]
feces,T0,Species,Fusicatenibacter_saccharivorans,9,6,7,33.33333333333333,1.8567538468123759,2.297264970937469,0.7884612741385022,0,4.637459335330734,0,5.175032757871633,0.005168192634314722,Non-normal,Median [IQR]
feces,T0,Species,Bifidobacterium_adolescentis,9,4,5,55.55555555555556,1.6399132273634143,3.3407308260331874,0,0,0.14501540737555155,0,9.15229836466545,5.3046601876815944e-5,Non-normal,Median [IQR]
feces,T0,Species,Enterocloster_bolteae,9,5,6,44.44444444444444,1.517395404307803,4.5169372057886035,0.004965175050655973,0,0.03298283732866646,0,13.56247978000647,3.477936345820649e-7,Non-normal,Median [IQR]
feces,T0,Species,Dorea_longicatena,9,6,7,33.33333333333333,1.1771899058071866,2.8846313371214953,0.17888271739383774,0,0.47995981830868883,0,8.828764280708338,2.8646110190078883e-6,Non-normal,Median [IQR]
feces,T0,Species,Faecalibacterium_prausnitzii,9,7,8,22.22222222222222,1.1038862813997117,1.1457721064415556,0.9442181443108486,0.0787887381309777,2.2243904164031214,0,2.784823910493024,0.0643772008445391,Compatible with normality,Median [IQR]
feces,T0,Species,Vescimonas_coprocola,9,4,5,55.55555555555556,0.9224741557922955,2.2840193286095722,0,0,0.040448768441445085,0,6.8981624483810915,4.44664756886536e-6,Non-normal,Median [IQR]
feces,T0,Species,Ruminococcus_bicirculans,9,3,4,66.66666666666666,0.8960016126193256,2.631067749413816,0,0,0.023139450584332505,0,7.911268978686673,4.184464240778198e-7,Non-normal,Median [IQR]
feces,T0,Species,Ruminococcus_torques,9,7,8,22.22222222222222,0.8909446501198165,2.1778409568077994,0.05785600971043334,0.006001938455782397,0.2170104521840879,0,6.65117478162407,3.4208749937880133e-6,Non-normal,Median [IQR]
feces,T0,Species,Candidatus_Cibionibacter_quicibialis,9,4,5,55.55555555555556,0.8617541154448417,2.1923718086688373,0,0,0.14806779808071197,0,6.660142348754448,2.6278431304615936e-6,Non-normal,Median [IQR]
feces,T0,Species,Blautia_massiliensis,9,8,9,11.11111111111111,0.8576872588838694,1.6212897155740624,0.21022937619744356,0.12946091362358567,0.7527195891297315,0,5.0934851153680505,2.8872386151004094e-5,Non-normal,Median [IQR]
feces,T0,Species,GGB9512_SGB14909,9,2,3,77.77777777777779,0.8426405782420461,2.487058335455185,0,0,0,0,7.474090789610936,3.9668494238614777e-7,Non-normal,Median [IQR]
feces,T0,Species,Faecalibacterium_sp_CLA_AA_H233,9,4,5,55.55555555555556,0.7883357862825702,2.229730591078465,0,0,0.037528307990941444,0,6.728056113269963,6.68241730059092e-7,Non-normal,Median [IQR]
feces,T0,Species,Bifidobacterium_animalis,9,2,3,77.77777777777779,0.7824143955478248,2.3425264255216356,0,0,0,0,7.029141665687219,3.301085121253927e-7,Non-normal,Median [IQR]
feces,T0,Species,Blautia_hansenii,9,4,5,55.55555555555556,0.7674438847193781,1.3852352226102231,0,0,0.39571106484696744,0,3.4852292947266257,1.5418921995101869e-4,Non-normal,Median [IQR]
feces,T0,Species,Anaerostipes_hadrus,9,8,9,11.11111111111111,0.7660939652606884,1.1963153625431417,0.09296384617376259,0.07776468172842602,0.7126148210613013,0,3.5265818565410245,0.0018230957634928267,Non-normal,Median [IQR]
feces,T0,Species,Veillonella_ratti,9,2,3,77.77777777777779,0.6778801903008168,2.029377507468191,0,0,0,0,6.089544241345843,3.304751590889312e-7,Non-normal,Median [IQR]
feces,T0,Species,Bacteroides_fragilis,9,6,7,33.33333333333333,0.6666496608779201,1.618636458161049,0.010783694082495968,0,0.32830996318266975,0,4.9365395503073435,4.605395378096604e-6,Non-normal,Median [IQR]
feces,T0,Species,Coprococcus_comes,9,5,6,44.44444444444444,0.5637621483389831,1.1719418728069897,0.016412646394944184,0,0.5069603536756654,0,3.619461842592031,2.684506733729364e-5,Non-normal,Median [IQR]
feces,T0,Species,GGB3653_SGB4964,9,2,3,77.77777777777779,0.5132097823131394,1.5004055746290141,0,0,0,0,4.513205607579201,4.489671380512995e-7,Non-normal,Median [IQR]
feces,T0,Species,Streptococcus_salivarius,9,6,7,33.33333333333333,0.5097429161218747,0.969453572095293,0.028596553550626135,0,0.12834109064148347,0,2.5170762074041555,8.43656334326147e-5,Non-normal,Median [IQR]
feces,T0,Species,Megasphaera_SGB5856,9,1,2,88.88888888888889,0.44891149191896446,1.3467344757568933,0,0,0,0,4.04020342727068,NA,Not assessed: identical or nearly identical values,Median [IQR]
feces,T0,Species,Clostridiaceae_unclassified_SGB15090,9,1,2,88.88888888888889,0.4374206494734184,1.3122619484202553,0,0,0,0,3.936785845260766,NA,Not assessed: identical or nearly identical values,Median [IQR]
feces,T0,Species,Clostridium_sp_AT4,9,2,3,77.77777777777779,0.433172497016993,1.2818151232737856,0,0,0,0,3.8510898576512456,3.8365597059251524e-7,Non-normal,Median [IQR]
feces,T0,Species,Clostridium_fessum,9,4,5,55.55555555555556,0.4152949865079779,1.033623475653959,0,0,0.0648763906303434,0,3.132784697508897,3.9297082531203126e-06,Non-normal,Median [IQR]
feces,T0,Species,Streptococcus_parasanguinis,9,7,8,22.22222222222222,0.3980478173298686,0.9734878684734644,0.009706597577569939,0.0014767920620517886,0.11038806863639791,0,2.9732415172582707,3.5680499589940556e-6,Non-normal,Median [IQR]
feces,T0,Species,Enterococcus_avium,9,2,3,77.77777777777779,0.3816277237854082,1.1394795252305119,0,0,0,0,3.42021311819678,3.4178591968281545e-7,Non-normal,Median [IQR]
feces,T0,Species,Dorea_formicigenerans,9,4,5,55.55555555555556,0.3516016344389813,1.0340202094171191,0,0,0.010686846729201591,0,3.1087882548977226,4.023233516860071e-7,Non-normal,Median [IQR]
feces,T0,Species,Eggerthella_lenta,9,6,7,33.33333333333333,0.34718058131545737,0.7784745646213244,0.007682461268273082,0,0.30906260109996764,0,2.385340658757759,1.1990551721604416e-5,Non-normal,Median [IQR]
