FeatureID,Rank,Taxon,P2H0,P2H12,P4H0,P4H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P21H0,P21H12,P26H0,P26H12,P27H0,P27H12
UNCLASSIFIED,Species,UNCLASSIFIED,16.546839615011326,3.1349787463647463,33.99487010047234,4.292286322974892,3.9412022370950575,25.436389922583203,12.398461340095414,16.177111627793845,11.412390385716229,14.492825402452603,4.393068955079301,9.948747595873675,20.763554812929,11.148853121186916,18.52485953396863,9.16629114469112,26.316280907293223,11.844028673822212
Streptococcus_mitis,Species,Streptococcus_mitis,0,0,0,0,0,0.18127544470220772,0,0,0,0.0019349887880934626,0,0.018501035049731992,0.017052813494289252,0,0,0.02192046945253903,0.08379314527704625,0
Streptococcus_sanguinis,Species,Streptococcus_sanguinis,0,0,0,0,0,0,0.00222930153773605,0,0,0,0,0,0,0,0,0.04641451617748671,0.11607014383683266,0.013770287782001933
Enterocloster_clostridioformis,Species,Enterocloster_clostridioformis,0.8240051763183437,0,1.8178294321725659,0,0.015431314349036485,0.9612574837062557,0,0,0,0,0,0,0.17972458325205032,0,0,0,0.0019763485528641474,0
Ruminococcus_gnavus,Species,Ruminococcus_gnavus,1.598885878356519,0.05133534952168063,0,0.11028782886073868,21.37834443868189,0.9595617169759272,1.4592385268293426,2.1998310671523713,0.06299530395910505,0.036193313601126424,0.38794297699848507,0.13138255462291967,2.479296994439064,1.1868504607258334,0.15301374079667204,0.8071018716015262,0.029393143018362194,8.2915145905506
Longicatena_caecimuris,Species,Longicatena_caecimuris,0.1131409737948884,0,0,0,0,0,0,0,0,0,0,0.3493721343560289,0,0,0.0016978085611343693,0.02385315588668249,0,0
Clostridium_symbiosum,Species,Clostridium_symbiosum,0.10457780653510192,0,8.950100949680295e-4,0,0.1927699229507589,0.5254252463126411,0.0010242736795003473,0,0,0,0,0,0.12752271926803227,0,0.004641346480734192,0,0.0034989436114482614,0.006574912116842493
Streptococcus_thermophilus,Species,Streptococcus_thermophilus,0.12756793917825948,0,0.34594271146930927,0,0.6879996824632427,0,0,0,0.0021643050191135185,0,0.0763709853539335,0,0.12163044537918369,0.08191558052749628,0.9709254804697766,0.5616006248685673,0.17322291729414893,0.0022116523254523453
Eggerthella_lenta,Species,Eggerthella_lenta,0.30906260109996764,0.4274643519527547,0,0,0,0.12632452755989362,0.037526575885223505,0.3492604368616762,0.3822904138622133,0.4221684346582359,0,1.1329186950589836,0.007682461268273082,1.2857175800808496,2.385340658757759,0.9113167302550546,0.0027225209656802033,0.036197042810683866
Lancefieldella_parvula,Species,Lancefieldella_parvula,0,0,0,0,0,0.024669368386446667,0,0,0,0,6.809003545388066e-4,0,0,0,0,0,0.061609641112244595,0
Erysipelatoclostridium_ramosum,Species,Erysipelatoclostridium_ramosum,0.22061023940472338,0,0.021373693458403183,0,0.3531887636540299,0.13222942956728778,0.059468124803931925,0.5888225154442148,0,0.15489936153390674,0,0,0.008817951548936612,0.12455739896235543,0,0.4360561180040256,0,0.44096944827480605
Ruminococcus_torques,Species,Ruminococcus_torques,6.65117478162407,0.003752584029362619,0.05785600971043334,0,0.2170104521840879,0.19612349744216806,0.8767682277534785,0.16069714421937897,0.006001938455782397,0.0035591762682548145,0,0.007884364800485242,0.1706508906489102,0.29600461534976,0.03903955070158674,0.3707453360170637,0,0.03366515123448728
Hungatella_hathewayi,Species,Hungatella_hathewayi,0.05584762212876091,0,0.004240643069015187,0.0051065682607219125,0,0.008428364403716434,0.02511478894539577,0,0,0,0,0,0,0,0,0,0,0
Enterocloster_lavalensis,Species,Enterocloster_lavalensis,0.06172153024911032,0,0,0,0,4.2394168258214396e-4,0,0,0,0,0,0,0,0,0,0,0,0
Flavonifractor_plautii,Species,Flavonifractor_plautii,0.5364566483338725,0,0,0,0.09428897586497884,0,0.012883756184303388,0.0011303906640227636,0.008416741740997017,0,0,0,0.012193733464422788,0,0.04638332619383067,0,0,0
Faecalimonas_umbilicata,Species,Faecalimonas_umbilicata,0,0,0,0.004303964211885462,2.9015933743363473,0.14099089100731874,0.0775535845762861,0,0,0.1374343331978507,0.008811651646972793,0.05466627359108821,0.004347597921459467,0.19547875353190772,0,0,0,0.5501209953956601
Blautia_hansenii,Species,Blautia_hansenii,3.4852292947266257,0.016671479981114998,0,0,2.8859494237659655,0.7646595753335791,0.39571106484696744,0.49478814208082117,0,0,0,0.03997635093852171,0.14010517913484438,0.8751687062456104,0,0,0,0.014801057870334929
Enterocloster_aldenensis,Species,Enterocloster_aldenensis,0.11206931413781948,0,0.009333676704666593,0,0.006338584502950682,0.08699888957560713,0,0,0,0,0,0,0.004715865039512504,0,0,0,0,0.04465336052564871
Oliverpabstia_intestinalis,Species,Oliverpabstia_intestinalis,0,0,0.008566525194693997,0.3171690549989441,0.009244612861332225,0,0,0,0,0,0,0,0,0,0,0,0,0
Sellimonas_intestinalis,Species,Sellimonas_intestinalis,0.5783828049175024,0,0,0,0,0.10523847577622461,0.01914990104712904,0.02330421467168358,0,0,0.06303334899737924,0.20508422558397738,0.03680625252096744,0.3519871734704776,0.05192883107990268,0,0,0
Schaalia_odontolytica,Species,Schaalia_odontolytica,0,0,0.03199661089510705,0,0.004870382022235268,0,0,0,0,0,0.34958225261262965,0,0,0.0014463425133265798,0,0,0,0
Blautia_producta,Species,Blautia_producta,0.02676116143642834,0.005233603859617733,0,0,1.0702689807697876,0.0075199179410404115,0.01430970581654897,0,0,0.013214068511436186,0,0.17762001878535613,0.021645922827784075,0.06701724121190152,0.012376923948624512,0.031443706752385815,0,0
