"FeatureID","Time","n","mean","sd","median","iqr"
"Abiotrophia_defectiva","H0",9,1.9203296029530322e-5,5.7609888088590965e-5,0,0
"Abiotrophia_defectiva","H12",9,6.519415338976866e-6,1.597036939481124e-5,0,0
"Abiotrophia_sp_HMSC24B09","H0",9,1.507952868389187e-4,4.283090599587202e-4,0,0
"Abiotrophia_sp_HMSC24B09","H12",9,0,0,0,0
"Acidaminococcus_intestini","H0",9,4.5120674919159326e-4,0.0011059542792636193,0,0
"Acidaminococcus_intestini","H12",9,6.413809605264278e-4,0.0019241428815792835,0,0
"Actinomyces_SGB17132","H0",9,4.5877627756426984e-4,0.0012846679613046574,0,3.621293327521533e-5
"Actinomyces_SGB17132","H12",9,0,0,0,0
"Actinomyces_gerencseriae","H0",9,8.704843748221606e-5,2.611453124466482e-4,0,0
"Actinomyces_gerencseriae","H12",9,1.096748084736372e-5,3.290244254209116e-5,0,0
"Actinomyces_johnsonii","H0",9,8.382999535910002e-6,2.5148998607730006e-5,0,0
"Actinomyces_johnsonii","H12",9,2.362167891874066e-5,4.660728041543578e-5,0,6.25751974726887e-6
"Actinomyces_massiliensis","H0",9,1.5692973040473557e-4,4.707891912142067e-4,0,0
"Actinomyces_massiliensis","H12",9,2.283082617702319e-5,6.849247853106958e-5,0,0
"Actinomyces_naeslundii","H0",9,2.898735170395505e-4,5.280612273741758e-4,0,2.1633030260491144e-4
"Actinomyces_naeslundii","H12",9,6.612608479230508e-5,1.8196768428708148e-4,0,0
"Actinomyces_oris","H0",9,9.506591190746569e-5,2.0584934125583528e-4,0,0
"Actinomyces_oris","H12",9,5.5318841592973094e-5,1.1128500054135397e-4,0,0
"Actinomyces_sp_ph3","H0",9,8.284997265707941e-5,1.3819640871342355e-4,0,1.6001158331661956e-4
"Actinomyces_sp_ph3","H12",9,0,0,0,0
"Adlercreutzia_equolifaciens","H0",9,5.659361870447898e-6,1.6978085611343693e-5,0,0
"Adlercreutzia_equolifaciens","H12",9,9.386790882913972e-4,0.001234267813628164,4.19360615517045e-4,0.00115400775468181
"Agathobaculum_butyriciproducens","H0",9,5.132532304110865e-4,6.36784263280467e-4,7.309249108905574e-5,0.00118142137399847
"Agathobaculum_butyriciproducens","H12",9,8.508671883405434e-4,0.001276860992978917,6.911759437548696e-4,7.962975249944169e-4
"Akkermansia_muciniphila","H0",9,0.024144122329153552,0.05194091794379658,0,2.461360621194584e-4
"Akkermansia_muciniphila","H12",9,0.08131965077324282,0.21594202310918925,0.00194173708015339,0.027745703885675377
