COG_category,time0,time12
A,3.283260484431502e-4,2.6295886408623034e-4
C,0.1203801001242419,0.12800257667245743
CE,2.380701938306648e-4,1.9854717804139845e-4
CHR,6.237608995324614e-4,6.945951556305124e-4
CIR,1.9621432281603565e-4,9.091802222359357e-5
CO,0,1.714802078230032e-5
CP,6.727514134325434e-5,2.2223156638122426e-5
CR,6.90643656085654e-5,4.3688297425257877e-4
D,0.017115535558045226,0.020574874440547068
DH,5.959901967636748e-4,7.944528497112905e-4
DI,3.500821843469928e-4,4.1930941099186156e-4
DL,2.6771800639904806e-5,8.082013727896519e-5
DM,9.234081806264714e-6,1.1068181863257462e-5
DN,2.3119965276861487e-5,1.1136797749929056e-5
DR,2.1868052847581746e-4,6.170858950093612e-4
DZ,3.061081387288218e-4,4.27513191880308e-4
E,0.08372148684551638,0.09091943249979825
EF,0.0023076516244240706,0.002146294598969502
EG,0.0029504557887924557,0.0029845554958091453
EH,0.005320595567873584,0.005726513253429392
EM,0.0011642339496154308,0.0013046852633106008
EP,0.0012221604402910993,7.287325273176302e-4
EQ,7.987090045805849e-4,0.001329365614285339
ER,0.005860061131855053,0.00759771333906718
ET,0.0015243201326323847,0.0015596148106522716
F,0.03013067422050813,0.031616574647093325
FH,9.777259497225945e-5,8.357378483210726e-5
FP,2.136604874475166e-5,9.8264563108716e-5
FR,4.413568072950718e-4,6.490220509191068e-4
FT,7.255647404113168e-5,4.1458112158026764e-5
FV,0.0013494377007972713,0.0012583228824094345
G,0.2565258535715652,0.2540074083337242
GEPR,1.2854926339979474e-5,1.0873692381017616e-5
GI,1.1071398966431385e-4,1.927220610891095e-4
GK,0.0014572735719243619,7.635262281732635e-4
GM,1.8962000504393976e-4,2.3572783932282506e-4
GP,6.513850451492564e-5,2.4510665751043067e-5
GT,8.021458693594592e-5,7.021821131940811e-6
H,0.014401008912772484,0.016452918091111633
HC,5.842706100533244e-4,6.499573980749504e-4
HE,2.888333196001193e-4,4.5713629439896297e-4
HI,1.7440535658462907e-5,6.586147980104853e-6
HJ,2.3370120015650543e-5,3.350016789365432e-5
HR,8.32116993385849e-4,7.587163388488084e-4
HT,6.2154190844302775e-6,1.685287062243443e-6
I,0.043902803868168715,0.04820167136718144
IQ,2.1348298129741228e-4,4.4577787487603025e-4
IR,3.2008139478848104e-5,6.458126454047473e-5
J,0.135289884889389,0.12914270826628677
JE,7.753829506851798e-4,8.788943560659974e-4
JHO,1.7717288566626373e-4,1.3808083179121084e-4
JLK,0,1.5330211162940627e-6
JM,7.732372876154572e-5,1.8184774939206046e-4
JO,2.2286831965648293e-4,1.6490293121393206e-4
JR,6.474402579597216e-5,1.1688332862363579e-4
K,0.01431933764748496,0.014931070627511098
KE,8.376349452666768e-4,8.902248052174501e-4
KG,1.8440425051911175e-5,2.2999751479093357e-5
KJ,5.191102951585455e-4,2.915984397503562e-4
KL,1.2477364722004342e-5,5.966105133561758e-5
KR,6.3559776693006094e-6,7.37751078928994e-6
KT,1.3875114794063766e-4,1.6636992130914403e-4
KTN,1.6376324369073859e-6,3.8434240074973115e-6
KV,1.7379294835523698e-4,1.473982272586141e-4
L,0.004686900839600109,0.003906607362335623
LX,4.171015155430854e-5,1.5451966314671196e-5
M,0.04579264467127404,0.03392604916937346
MI,5.081918251345904e-6,1.7488983316095587e-5
MO,1.5802568824947052e-4,2.413218795525793e-4
MR,0.0020220802995561246,0.0013762905821781662
MU,1.193875493736638e-4,1.4288280487872123e-4
MV,6.262936552001312e-4,7.138071518363064e-4
N,0.001967244117370117,0.0024313005069209383
NU,1.0932503895227281e-5,1.1409273583006991e-5
NUW,1.9595362498504753e-5,4.8692135735449275e-5
NW,0.0010515477023575878,0.001154104629828555
O,0.0822803427873283,0.06394487012030667
OE,2.1143784769250072e-4,2.178902006649017e-4
OK,0,1.0962799264176864e-5
OT,8.375064425588938e-6,4.710489681304585e-7
P,0.025287108861909383,0.02717541180984833
PH,1.503188334278811e-6,4.945000841561269e-6
PO,9.298845290690846e-6,0
PR,1.6649703889267152e-4,1.8270623531642702e-4
PT,9.476775918498388e-5,1.148678610792746e-4
PV,0.0019290380268038496,4.092376360480184e-4
Q,0.004678432112485078,0.0035386499227330385
QC,0.0022194818917827494,0.004360745660597053
QR,2.260578201348312e-6,0
QT,2.1644243564590863e-4,1.7624932579732232e-4
R,0.027680778548864117,0.034850560774417075
S,0.018724539118357832,0.017004437735423344
T,0.0069276873416576935,0.006809516764636311
TE,8.755970036847142e-5,2.6033567835106118e-5
TG,0.0011067986921183028,0.0013588660578648822
TK,6.502871133491088e-4,4.59289630299892e-4
TR,8.697378729537403e-7,1.4979397331711618e-6
U,0.0026697804095349316,0.0028394963136811626
UW,5.025881909936548e-4,2.238075989281862e-4
UXR,0,3.301329303637587e-6
V,0.004000311588648916,0.003848999390545428
VI,6.9843136579136725e-6,2.6673055339958273e-6
VT,4.187564049611148e-6,0
X,2.44197240301895e-4,6.995153569503408e-4
Z,6.181984716777083e-7,1.5982888341554418e-5
NA,0.014877074223211122,0.017567663770193444
