"","PC","standard_deviation","proportion_of_variance","cumulative_proportion"
"1","PC1",15.3263719135765,0.31195,0.31195
"2","PC2",9.99123704832576,0.13257,0.44452
"3","PC3",8.61995334805574,0.09868,0.5432
"4","PC4",7.94171447966906,0.08376,0.62695
"5","PC5",6.46980791833653,0.05559,0.68254
"6","PC6",6.41324323074712,0.05462,0.73716
"7","PC7",5.89697467023371,0.04618,0.78335
"8","PC8",5.67381914672657,0.04275,0.8261
"9","PC9",5.5279476686444,0.04058,0.86668
"10","PC10",4.83503702100122,0.03105,0.89773
"11","PC11",4.42768898917581,0.02604,0.92376
"12","PC12",3.88555924209382,0.02005,0.94381
"13","PC13",3.48057583996043,0.01609,0.9599
"14","PC14",3.32837320062267,0.01471,0.97461
"15","PC15",2.96591026956405,0.01168,0.98629
"16","PC16",2.45777293467781,0.00802,0.99431
"17","PC17",2.06903545337626,0.00569,1
"18","PC18",2.25621355274064e-14,0,1
