"","PC","standard_deviation","proportion_of_variance","cumulative_proportion"
"1","PC1",58.1072531260443,0.1002,0.1002
"2","PC2",57.62380030412,0.09854,0.19873
"3","PC3",53.0087079812486,0.08339,0.28212
"4","PC4",49.5522451313528,0.07287,0.35499
"5","PC5",48.3732574638558,0.06944,0.42443
"6","PC6",46.8937124316241,0.06526,0.48968
"7","PC7",46.4971900792135,0.06416,0.55384
"8","PC8",44.0532924547802,0.05759,0.61143
"9","PC9",43.361794941814,0.0558,0.66723
"10","PC10",42.239946070492,0.05295,0.72017
"11","PC11",41.0289138155077,0.04995,0.77013
"12","PC12",39.7284196029681,0.04684,0.81697
"13","PC13",37.3353096041144,0.04137,0.85833
"14","PC14",37.0469683684205,0.04073,0.89906
"15","PC15",35.5929100608996,0.03759,0.93666
"16","PC16",33.7956961071309,0.03389,0.97055
"17","PC17",31.5029865324667,0.02945,1
"18","PC18",4.80605872769679e-12,0,1
