ProteinID,Intensity_24_177_14,Intensity_24_177_15,Intensity_24_177_16,Intensity_24_177_24,Intensity_24_177_27,Intensity_24_177_28,Intensity_24_177_34,Intensity_24_177_43,Intensity_24_177_44,Intensity_24_177_50,Intensity_24_177_51,Intensity_24_177_52,Intensity_24_177_60,Intensity_24_177_63,Intensity_24_177_64,Intensity_24_177_71,Intensity_24_177_7,Intensity_24_177_8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.493049355467227e-6,0
2,5.3439841203202847e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1.1028877207140809e-5,0,0,0,0,0,0,0,0,2.1094316058391235e-5,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3794507755209675e-5,0,0,0
5,4.166381669295632e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,3.969259745476292e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,4.224951542531592e-5,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,3.251339899653594e-5,0,0,0,0,0,0,0,0,0,0,0,0
9,1.8851560346687857e-4,0,0,2.6725201733630464e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,2.1611992178531578e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,2.9361295754469525e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,2.0343226528219825e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,7.541840338400186e-5,0,0,1.3053769143638277e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2.712427856475842e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3.481463054338784e-5,0,0,8.3697535850885e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6.0048992258389554e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6.256029614229993e-5,0,0,3.393929926803161e-5,3.787905765236804e-6,5.031128286993578e-6,0,0,0,0,0,0,0,0,9.452682937160852e-6,0,0,0
18,0,1.2244133090448268e-4,0,1.3828928458181264e-4,1.3516409270757242e-4,1.596566291312726e-5,1.4099751130402255e-4,0,0,0,0,0,0,4.524916424999143e-5,0,0,5.025679355367967e-5,3.511697086817374e-5
19,0,4.040775193600835e-5,1.8010336754692744e-5,6.330625177041203e-5,3.491340341013268e-5,1.0386555804240853e-5,2.0013928930120308e-5,7.2923676911532855e-6,0,0,0,0,0,9.823774575575413e-6,0,9.556970499225669e-6,1.4760872760681707e-5,0
20,0,1.190860607999891e-5,0,1.6308284783118367e-4,1.0177907427118507e-4,8.247780968031978e-6,3.2624310088145805e-5,0,0,0,0,0,0,3.723060953296629e-5,0,5.3439319659048984e-6,7.1847492875833505e-6,0
21,0,2.98725226956887e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,6.669938647277024e-5,7.4872432340420865e-6,2.3163411272882298e-4,1.0010086539063702e-4,3.509261175573716e-5,5.5167779266809774e-5,0,0,0,0,0,0,5.7996359209110744e-5,0,8.943563277121673e-6,4.919706334079293e-5,2.2369588384546328e-5
23,0,3.7727087680545604e-5,2.4180805511301174e-5,3.50572066842347e-5,1.2978597502177725e-5,0,2.7369833652471655e-5,0,0,0,0,0,0,0,0,0,0,0
24,0,1.8661615702738915e-5,0,2.4333271631934982e-5,0,0,0,6.082397895492463e-6,0,0,0,0,0,0,0,0,0,0
25,1.2294472311175706e-5,3.9691915223233375e-4,1.1955995254557336e-5,3.9161578366131986e-4,2.7263447493946217e-4,1.1156013191954665e-4,1.5576762754916063e-4,8.612204011059422e-5,8.926218080685582e-6,1.1269037330227832e-5,2.338944130326233e-5,5.5317352851751905e-5,9.924682482691246e-6,2.933152637404658e-4,2.88952791436065e-5,2.060111352528524e-5,1.7417977032986037e-4,6.016987348954569e-5
26,0,6.160474305812819e-4,1.988767689481489e-4,0.0012409358370568367,6.42692679355096e-4,1.403262893588134e-4,4.7984407417789646e-4,6.559776827161718e-5,1.8796506632636354e-5,0,0,6.14848197319556e-5,0,3.583603945521876e-4,0,1.0209927499717649e-4,3.790760345426009e-4,1.7811869724255805e-4
27,0,1.1603623379227892e-5,0,3.038246062223488e-5,7.52896042373115e-6,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,3.122034049539391e-4,2.7073639366615878e-5,4.527788793286337e-4,2.2755296627076135e-4,5.1487546412096386e-5,1.1440047197623334e-4,1.0526933322160028e-4,3.698952871584375e-5,9.921084162378722e-6,1.4518923053428367e-5,1.1384535422119158e-4,1.5162739630588126e-5,2.5367238672186046e-4,3.159200184030117e-5,5.6309659923817414e-5,1.0410108064234507e-4,4.153741642794101e-5
29,0,0,0,0,0,3.3095485489743795e-4,0,0,0,0,0,0,0,0,0,0,0,0
