"","Name","p_value","p_adj","Taxonomy","COG_category","COG_accession","COG_name","KEGG_ko","KEGG_pathway","time0","time12"
"1","1000570.HMPREF9966_0489",1,1,"Streptococcus anginosus group","M","COG1209","dTDP-glucose pyrophosphorylase","ko:K00973","ko00521,ko00523,ko00525,ko01130,map00521,map00523,map00525,map01130",0,0
"2","1000570.HMPREF9966_0697",1,1,"Streptococcus anginosus group","G","COG0148","Enolase","ko:K01689","ko00010,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04066,map00010,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04066",0,0
"3","1006551.KOX_02565",1,1,"Gammaproteobacteria","S","COG2968","Uncharacterized conserved protein YggE, contains kinase-interacting SIMPL domain","ko:K09807",NA,0,0
"4","1006551.KOX_02585",1,1,"Gammaproteobacteria","G","COG0126","3-phosphoglycerate kinase","ko:K00927,ko:K01803","ko00010,ko00051,ko00562,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00051,map00562,map00710,map01100,map01110,map01120,map01130,map01200,map01230",0,0
"5","1006551.KOX_03465",1,1,"Gammaproteobacteria","I","COG2084","3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase","ko:K00042","ko00630,ko01100,map00630,map01100",0,0
"6","1006551.KOX_05625",1,1,"Gammaproteobacteria","G","COG2115","Xylose isomerase","ko:K01805","ko00040,ko00051,ko01100,map00040,map00051,map01100",0,0
"7","1006551.KOX_08230",1,1,"Gammaproteobacteria","G","COG4580","Maltoporin (phage lambda and maltose receptor)","ko:K02024",NA,0,0
"8","1006551.KOX_26105",1,1,"Gammaproteobacteria","M","COG3203","Outer membrane porin OmpC/OmpF/PhoE","ko:K09475","ko01501,ko02020,map01501,map02020",0,0
"9","1028307.EAE_04255",0.371093369522698,1,"Enterobacter","J","COG1185","Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)","ko:K00962","ko00230,ko00240,ko03018,map00230,map00240,map03018",0,0
"10","1028307.EAE_11090",1,1,"Enterobacter","G","COG2160","L-arabinose isomerase","ko:K01804","ko00040,ko01100,map00040,map01100",0,0
"11","1028307.EAE_13005",1,1,"Enterobacter","O","COG0326","Molecular chaperone, HSP90 family","ko:K04079","ko04141,ko04151,ko04217,ko04612,ko04621,ko04626,ko04657,ko04659,ko04914,ko04915,ko05200,ko05215,ko05418,map04141,map04151,map04217,map04612,map04621,map04626,map04657,map04659,map04914,map04915,map05200,map05215,map05418",0,0
"12","1028307.EAE_16980",1,1,"Enterobacter","J","COG0290","Translation initiation factor IF-3","ko:K02520",NA,0,0
"13","1028307.EAE_16995",0.371093369522698,1,"Enterobacter","J","COG0016","Phenylalanyl-tRNA synthetase alpha subunit","ko:K01889","ko00970,map00970",0,0
"14","1033813.ECNA114_2658",1,1,"Escherichia","I","COG1502","Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase","ko:K00998,ko:K06131,ko:K06132","ko00260,ko00564,ko01100,ko01110,map00260,map00564,map01100,map01110",0,0
"15","1033813.ECNA114_2700",0.371093369522698,1,"Escherichia","K","COG2916","DNA-binding protein H-NS","ko:K03746,ko:K11685",NA,0,0
"16","1033813.ECNA114_3877",1,1,"Gammaproteobacteria","P","COG0226","ABC-type phosphate transport system, periplasmic component","ko:K02040","ko02010,ko02020,ko05152,map02010,map02020,map05152",0,0
"17","1033813.ECNA114_4198",0.361310428526179,1,"Escherichia","I","COG2937","Glycerol-3-phosphate O-acyltransferase","ko:K00631","ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110",0,0
"18","1035817.BLNIAS_00018",0.0224942712224497,0.975808664652597,"Bifidobacteriales","R","COG5492","Uncharacterized conserved protein YjdB, contains Ig-like domain",NA,NA,5.02567935536797e-05,0
"19","1035817.BLNIAS_00081",0.0224942712224497,0.975808664652597,"Bifidobacteriales","P","COG3158","K+ uptake protein Kup","ko:K03549",NA,1.80103367546927e-05,0
"20","1035817.BLNIAS_00581",0.0360316862182336,1,"Bifidobacteriales","I","COG1022","Long-chain acyl-CoA synthetase (AMP-forming)","ko:K01897","ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920",8.24778096803198e-06,0
"21","1035817.BLNIAS_00729",1,1,"Bifidobacteriales","H","COG1402","Creatinine amidohydrolase/Fe(II)-dependent FAPy formamide hydrolase (riboflavin and F420 biosynthesis)","ko:K01470","ko00330,map00330",0,0
"22","1035817.BLNIAS_00780",0.0142661867014469,0.975808664652597,"Bifidobacteriales","C","COG0778","Nitroreductase",NA,NA,4.91970633407929e-05,0
"23","1035817.BLNIAS_00999",0.0590582290905367,1,"Bifidobacteriales","M","COG0773","UDP-N-acetylmuramate-alanine ligase MurC and related ligases, MurC/Mpl family","ko:K01924","ko00471,ko00550,ko01100,map00471,map00550,map01100",1.29785975021777e-05,0
"24","1035817.BLNIAS_01146",0.422678074170635,1,"Bifidobacteriales","T;M","COG0515,COG2815","Serine/threonine protein kinase;PASTA domain, binds beta-lactams","ko:K12132",NA,0,0
