"","Name","p_value","p_adj","time0","time12"
"1","A",0.734375,0.937876506024096,0.000285989509697655,0.00020317646060484
"2","C",0.203125,0.708506944444445,0.122985502717141,0.126945254844964
"3","CE",0.91015625,1,0.000203850491589993,0.000201059608665778
"4","CHR",0.734375,0.937876506024096,0.000567597606174716,0.000750891235042178
"5","CIR",0.0546875,0.626017228359689,0.000117682576342307,5.010785552669e-05
"6","CO",0.371093369522698,0.771292101360901,0,0
"7","CP",0.208412803684149,0.708506944444445,7.89361252039988e-06,0
"8","CR",0.1640625,0.708506944444445,5.81165291214641e-05,0.000435783865241638
"9","D",0.8203125,0.966145833333333,0.00892309629048904,0.0211726834947805
"10","DH",1,1,0.000573311783062839,0.000594171867187317
"11","DI",0.65234375,0.898031655844156,0.000364572607711142,0.000100107999041079
"12","DL",0.00390625,0.138020833333333,1.73807081306917e-05,9.68364905389221e-05
"13","DM",0.529368106184798,0.898031655844156,0,7.36704875905381e-06
"14","DN",0.183430618982178,0.708506944444445,1.25439426057903e-05,0
"15","DR",0.108319380730004,0.708506944444445,9.57156255805075e-06,6.39638364381561e-05
"16","DZ",0.25,0.708506944444445,0.000277869367954828,0.000432596354168199
"17","E",0.25,0.708506944444445,0.0837899358143933,0.0893412617770436
"18","EF",0.8203125,0.966145833333333,0.00185567217566809,0.00221016173179644
"19","EG",1,1,0.00300624225900729,0.00298810862078325
"20","EH",0.5703125,0.898031655844156,0.00457073549551792,0.00590641820792287
"21","EM",0.5703125,0.898031655844156,0.0010909593970689,0.00124701839647792
"22","EP",0.65234375,0.898031655844156,0.000699063846917321,0.000616929220726045
"23","EQ",0.65234375,0.898031655844156,0.000949349833477597,0.000548890289660781
"24","ER",0.12890625,0.708506944444445,0.0040089769447155,0.00719797888265488
"25","ET",0.91015625,1,0.00154208845049215,0.00141717396003344
"26","F",0.25,0.708506944444445,0.0305383771711838,0.033280842847097
"27","FH",0.734375,0.937876506024096,6.23731498032965e-05,7.99147841199785e-05
"28","FP",0.41849223344682,0.820596590909091,0,0
"29","FR",0.12890625,0.708506944444445,0.000381396602529178,0.000616786072100871
"30","FT",0.203125,0.708506944444445,6.50988197337202e-05,1.03966010490013e-05
"31","FV",0.8203125,0.966145833333333,0.000833874740192381,0.00133644969710174
"32","G",0.30078125,0.708506944444445,0.266989999263912,0.264272647878365
"33","GEPR",1,1,0,0
"34","GI",0.25,0.708506944444445,7.44231279032697e-05,0.000154139354366561
"35","GK",0.1640625,0.708506944444445,0.000945234336183854,0.000671307502846604
"36","GM",0.8203125,0.966145833333333,0.000251447618157212,0.000171707203326394
"37","GP",0.589638551626567,0.898031655844156,1.25374889070615e-05,0
"38","GT",0.0208625823327655,0.442286745454629,2.22501088694158e-05,0
"39","H",0.203125,0.708506944444445,0.0156393617235187,0.0154482307870718
"40","HC",0.91015625,1,0.000497416613458909,0.0005930722326369
"41","HE",0.30078125,0.708506944444445,0.000192869230272376,0.000497647628525699
"42","HI",0.554113130069446,0.898031655844156,0,7.2697580592432e-06
"43","HJ",0.42578125,0.820596590909091,1.00628122814614e-05,3.04290885449349e-05
"44","HR",0.8203125,0.966145833333333,0.000702978854225499,0.000825376655834389
"45","HT",0.422678074170635,0.820596590909091,0,0
"46","I",0.30078125,0.708506944444445,0.0413238515949783,0.045618576172103
"47","IQ",0.0546875,0.626017228359689,0.000220288006552914,0.000200685469699672
"48","IR",0.49609375,0.898031655844156,2.74931136075169e-05,3.34068499484208e-05
"49","J",0.5703125,0.898031655844156,0.139715548553507,0.129119546017524
"50","JE",0.65234375,0.898031655844156,0.000744606628987202,0.000945957489172757
"51","JHO",0.359375,0.771292101360901,0.000172384620291722,0.000172410795091736
"52","JLK",1,1,0,0
"53","JM",0.734375,0.937876506024096,3.66478643632099e-05,5.59037916256522e-05
"54","JO",0.293621543928906,0.708506944444445,0.00015566880104295,1.72597887726499e-05
"55","JR",0.09765625,0.708506944444445,5.21356044842899e-05,9.71813364514759e-05
"56","K",0.30078125,0.708506944444445,0.0138187458661148,0.0146006502712761
