"","Name","p_value","p_adj","time0","time12"
"1","ko:K00001",0.42578125,0.879545136295743,0.000306716584046121,0.000378124343838181
"2","ko:K00002",0.589638551626567,1,0,1.177621775819e-06
"3","ko:K00003",0.8203125,1,0.000266892914330025,0.000177821760252357
"4","ko:K00004",0.18144920772142,0.747673496432854,0,0
"5","ko:K00005",0.734375,1,0.000324231907614962,0.00031685991758719
"6","ko:K00008",0.12890625,0.699126838235294,0.00203219047905432,0.00420454206264265
"7","ko:K00009",0.49609375,0.964975606540084,0.000248084535255385,0.000226977455477716
"8","ko:K00010",0.62406453246517,1,5.30644019336678e-05,6.28973648947994e-05
"9","ko:K00012",0.07421875,0.591588674957055,0.000119394903690486,2.15560139197658e-05
"10","ko:K00013",0.5703125,1,0.000315474276045559,0.000214260671973045
"11","ko:K00014",0.359375,0.83928394120996,1.58916395095495e-05,4.61026911867961e-05
"12","ko:K00015",1,1,0,0
"13","ko:K00016",0.00390625,0.308705357142857,0.00132441547593818,0.000524560845824357
"14","ko:K00018",0.833634883024682,1,1.15419253411023e-05,4.85757692992719e-06
"15","ko:K00020",0.787406490666269,1,0,5.7514408489675e-06
"16","ko:K00024",0.07421875,0.591588674957055,0.000813677142164493,0.000284053877512777
"17","ko:K00027",0.65234375,1,0.000330519665359347,0.000545459539983321
"18","ko:K00029",0.00390625,0.308705357142857,0.000391467059242306,8.57231966803418e-05
"19","ko:K00030",0.0934924836898357,0.62797115320067,0,1.2353510887816e-05
"20","ko:K00031",0.65234375,1,0.000378090494837201,0.000436225901047701
"21","ko:K00032",1,1,0,0
"22","ko:K00033",0.0546875,0.527967547117184,0.000641978488858669,0.000143061611954811
"23","ko:K00036",0.528612125255688,1,8.93392645339664e-05,1.05374671236016e-05
"24","ko:K00040",0.0546875,0.527967547117184,0.000498971231285763,0.00029116743707551
"25","ko:K00041",0.49609375,0.964975606540084,0.000112091525961072,0.000113688640755145
"26","ko:K00042",0.944182513250483,1,3.5739581740262e-05,3.46814885902803e-05
"27","ko:K00045",0.177529852412153,0.747673496432854,2.25756154246084e-05,0
"28","ko:K00048",0.25,0.833132530120482,0.00162559643155985,0.000927540071103544
"29","ko:K00052",0.91015625,1,7.40850689062819e-05,9.0135404703085e-05
"30","ko:K00053",0.734375,1,0.0025213455325407,0.0040265791056339
"31","ko:K00054",0.183430618982178,0.747673496432854,6.71004963521073e-05,1.76886886133089e-05
"32","ko:K00057",1,1,0.00011639579071624,0.000115263606375414
"33","ko:K00058",0.5703125,1,0.000516786404660948,0.000650017213535772
"34","ko:K00059",1,1,0,0
"35","ko:K00060",0.49609375,0.964975606540084,5.6908015024636e-05,8.28835803962806e-05
"36","ko:K00066",1,1,0,0
"37","ko:K00067",0.01953125,0.43921493902439,0.000339293294276358,0.000128206377549587
"38","ko:K00073",0.91015625,1,0.000139212670218466,0.000216122036981987
"39","ko:K00074",0.02734375,0.484825721153846,0.00194298583765034,0.00402386117272033
"40","ko:K00075",1,1,7.083186696644e-06,0
"41","ko:K00077",0.726286148878805,1,1.23894746778149e-05,9.96255198609462e-06
"42","ko:K00082",0.142213241936393,0.728447828140855,3.92485922309343e-06,0
"43","ko:K00086",0.359375,0.83928394120996,0.000171416856291634,0.000163872923607649
"44","ko:K00087",0.12890625,0.699126838235294,0.000274947330221238,0.000533820743710561
"45","ko:K00088",0.42578125,0.879545136295743,0.00268451875130148,0.00231208396555318
"46","ko:K00090",1,1,0,0
"47","ko:K00091",1,1,0,0
"48","ko:K00094",0.371093369522698,0.83928394120996,0,0
"49","ko:K00096",0.0519129649350183,0.527967547117184,7.9987670330746e-05,4.15408888129308e-05
"50","ko:K00097",0.789268026134281,1,0,0
"51","ko:K00098",1,1,0,0
"52","ko:K00099",0.726286148878805,1,6.06590753352683e-05,7.03872567119079e-05
"53","ko:K00100",0.42578125,0.879545136295743,0.000208918705382047,0.000193825764418983
"54","ko:K00104",0.5703125,1,0.00168648749087097,0.00145734718851527
"55","ko:K00111",1,1,0.00115296248079522,0.000570479765152117
"56","ko:K00113",0.855132140584706,1,0,0
"57","ko:K00117",1,1,0,0
"58","ko:K00118",0.100348246462291,0.62797115320067,0,0
"59","ko:K00123",0.42578125,0.879545136295743,0.000115948876754139,0.000224738188210857
"60","ko:K00124",1,1,0,0
"61","ko:K00128",0.5703125,1,4.76361799942834e-05,3.019554643831e-05
"62","ko:K00129",0.100348246462291,0.62797115320067,0,0
"63","ko:K00130",0.789268026134281,1,0,0
"64","ko:K00131",0.422678074170635,0.879545136295743,0,0
"65","ko:K00132",1,1,0,0
"66","ko:K00133",0.203125,0.747673496432854,0.000301511348598616,0.000417414642647738
"67","ko:K00134",1,1,0.018105708798569,0.0186035230416946
"68","ko:K00135",1,1,0,0
"69","ko:K00140",0.42578125,0.879545136295743,1.1348341297055e-05,2.56619454203972e-05
"70","ko:K00145",0.65234375,1,0.000110906307978038,0.000129723345532405
"71","ko:K00147",0.0078125,0.366260593220339,0.000122688375989605,0.000182264752971945
"72","ko:K00150",0.150785565027971,0.747673496432854,0,4.97240613495763e-06
"73","ko:K00156",0.18144920772142,0.747673496432854,0,0
"74","ko:K00158",0.18144920772142,0.747673496432854,0,0
"75","ko:K00161",0.583882420770365,1,0,0
"76","ko:K00162",0.589638551626567,1,0,0
"77","ko:K00163",0.208412803684149,0.748662097390071,2.84690073154563e-05,0
"78","ko:K00164",0.371093369522698,0.83928394120996,0,0
"79","ko:K00166",0.583882420770365,1,0,0
"80","ko:K00167",0.371093369522698,0.83928394120996,0,0
"81","ko:K00174",0.07421875,0.591588674957055,8.10040700930824e-05,0.000162778016931986
"82","ko:K00175",0.107327557761612,0.642942933689252,3.71907406633926e-05,6.08241269906405e-05
"83","ko:K00176",0.726286148878805,1,1.93568132645139e-05,2.95675342923825e-05
"84","ko:K00177",0.30078125,0.83928394120996,5.95563222422618e-05,0.000109407106068978
"85","ko:K00179",0.141482121482793,0.728447828140855,3.91399582547603e-05,4.38536361875685e-05
"86","ko:K00180",0.529368106184798,1,6.43296529091149e-06,1.15918426856411e-06
"87","ko:K00184",0.18144920772142,0.747673496432854,0,0
"88","ko:K00186",0.09765625,0.62797115320067,2.20518111186853e-05,0.000130666964632127
"89","ko:K00187",0.25,0.833132530120482,5.95563222422618e-05,0.000109407106068978
"90","ko:K00193",0.00390625,0.308705357142857,0.00194833420576428,0.00382944044694947
"91","ko:K00194",0.01953125,0.43921493902439,0.000766227145571785,0.00186519121350816
"92","ko:K00196",1,1,0,0
"93","ko:K00197",0.00390625,0.308705357142857,0.00118043673210476,0.00286787150394229
"94","ko:K00198",0.0078125,0.366260593220339,0.00172131199310958,0.00317264628297986
"95","ko:K00205",1,1,0,0
"96","ko:K00207",1,1,0,0
"97","ko:K00208",1,1,0,0
