"","Name","p_value","p_adj","time0","time12"
"1","POTEF_HUMAN",0.371093369522698,1,0,0
"2","TBAL3_HUMAN",1,1,0,0
"3","CLCA1_HUMAN",0.734375,1,0.0168935643052997,0.0119142763405362
"4","PSD11_HUMAN",0.789268026134281,1,0,0
"5","F16P2_HUMAN",0.371093369522698,1,0,0
"6","CASQ2_HUMAN",0.0390625,1,4.40690441116274e-05,0.000216229069347145
"7","PLXB2_HUMAN",1,1,0,0
"8","ZZEF1_HUMAN",0.0546875,1,0.000165170587292258,0.000212632121719591
"9","TREA_HUMAN",0.23395283347059,1,0.000477746619200072,0.0014175237851219
"10","AT8B1_HUMAN",0.833935414088552,1,3.8514489154512e-05,0
"11","GET3_HUMAN",0.371093369522698,1,0,0
"12","ST1B1_HUMAN",0.361310428526179,1,0,0
"13","AK1BA_HUMAN",0.726286148878805,1,0.000485191497947063,0.000279211246490675
"14","UGDH_HUMAN",0.142213241936393,1,0,0
"15","USO1_HUMAN",1,1,0,0
"16","ZG16_HUMAN",0.8203125,1,0.0194265807619752,0.0158383999011583
"17","SC22B_HUMAN",0.1640625,1,0.000278599091940264,0.000146126882477662
"18","SF3B1_HUMAN",0.371093369522698,1,0,0
"19","TIPRL_HUMAN",1,1,0,0
"20","UDB17_HUMAN",0.352542137499713,1,0.000399193568760974,0.000108681455291181
"21","DYSF_HUMAN",0.177529852412153,1,0,0
"22","ATP5H_HUMAN",0.0346105575157073,1,0.000140337127155435,0
"23","UFL1_HUMAN",0.142213241936393,1,5.28811762173462e-05,0
"24","ENDD1_HUMAN",1,1,0,0
"25","SNX4_HUMAN",0.583882420770365,1,0,0
"26","SGPL1_HUMAN",0.583882420770365,1,0,0
"27","VNN1_HUMAN",0.734375,1,0.000934422795895807,0.000622013448939258
"28","DCMC_HUMAN",1,1,0,0
"29","TOM40_HUMAN",0.787406490666269,1,0,0
"30","ADH1G_HUMAN",1,1,0,0
"31","OTC_HUMAN",0.371093369522698,1,0,0
"32","A2MG_HUMAN",0.734375,1,0.00550066564754764,0.00516274168544118
"33","CO5_HUMAN",1,1,0,0
"34","CYTN_HUMAN",0.361310428526179,1,0,0
"35","CYTA_HUMAN",0.787406490666269,1,0,9.4987531227861e-05
"36","GLUC_HUMAN",1,1,0,0
"37","PIGR_HUMAN",0.30078125,1,0.0162412191800022,0.00803940718462991
"38","IGHM_HUMAN",0.91015625,1,0.00200655939534805,0.00192160192730703
"39","CO2A1_HUMAN",1,1,0,0
"40","CO3A1_HUMAN",0.0360316862182336,1,0.00010190050227851,0
"41","K1C14_HUMAN",0.49609375,1,0.000126421314201532,4.37120252263305e-05
"42","FIBA_HUMAN",1,1,0,0
"43","MYP2_HUMAN",0.142213241936393,1,0,0
"44","HEMO_HUMAN",0.589638551626567,1,4.35841317985866e-05,0
"45","SMR3B_HUMAN",0.589638551626567,1,0,0
"46","FUCO_HUMAN",0.734375,1,5.43428607926788e-05,4.98870325169355e-05
"47","AT1A1_HUMAN",0.726286148878805,1,0.000280414088581011,0.00026888225555043
"48","S10A8_HUMAN",0.07421875,1,0.0114087971427993,0.00671893506959272
"49","PERM_HUMAN",0.01953125,1,0.00903426723332937,0.00394292285943828
"50","MYL1_HUMAN",0.734375,1,0.0103212830797467,0.0127498567159624
"51","S10A9_HUMAN",0.07421875,1,0.067387688231965,0.0394441012283464
"52","LIPG_HUMAN",0.91015625,1,0.000438703724218593,0.000485765563194584
"53","H10_HUMAN",0.361310428526179,1,0,0
"54","CO8A_HUMAN",0.371093369522698,1,0,0
"55","HEXB_HUMAN",1,1,0,0
"56","SYEP_HUMAN",0.100348246462291,1,0,0
"57","CATG_HUMAN",0.0078125,1,0.000887747616199259,0.000157425477471475
"58","K1C19_HUMAN",0.8203125,1,0.000271977876058725,0.000344442861924087
"59","GNAI3_HUMAN",1,1,0,0
"60","K1C16_HUMAN",0.12890625,1,0.000253666833087088,0.000179638459732935
"61","CEL3B_HUMAN",0.07421875,1,0.00198125554514347,0.00706151310753738
"62","CYTT_HUMAN",1,1,0,0
"63","GIP_HUMAN",0.280712665268496,1,9.107343934216e-06,0
"64","LPH_HUMAN",0.8203125,1,0.000746962713182474,0.000839499670039594
"65","LOX5_HUMAN",0.208412803684149,1,0,0
"66","IGA2_HUMAN",0.49609375,1,0.0368245103192779,0.0231351713290224
"67","IGK_HUMAN",0.42578125,1,0.0419066720352458,0.0376194570244103
"68","MYH3_HUMAN",0.42578125,1,0.00251278989188473,0.00271271715925424
"69","MBL2_HUMAN",0.422678074170635,1,0,0
"70","PERE_HUMAN",0.01171875,1,0.00547303706748256,0.00264357577079729
"71","K2C3_HUMAN",1,1,0,0
"72","NFH_HUMAN",1,1,0,0
"73","FABPI_HUMAN",0.293621543928906,1,0.000404040148826791,0.000241679619823039
"74","PIP_HUMAN",0.0078125,1,0.000664691387249021,0.000271882681779029
"75","KCRU_HUMAN",0.5703125,1,0.00663816771615489,0.00839000847436955
"76","GRAA_HUMAN",0.30078125,1,0.000122490029423649,0.000170827354442595
"77","MYH1_HUMAN",0.8203125,1,0.0815715982018223,0.106231433211947
"78","MYH6_HUMAN",0.5703125,1,0.0448890317578656,0.0300283187450521
"79","MYH8_HUMAN",0.359375,1,0.00896444110245163,0.00534967238534488
"80","PRG2_HUMAN",0.0519129649350183,1,0.000153503735352399,0
"81","SUIS_HUMAN",0.91015625,1,0.000562302885689598,0.000628818251084785
"82","CBPA1_HUMAN",0.734375,1,0.00217039228164559,0.00305480073359178
"83","CBPB1_HUMAN",0.65234375,1,0.00307957338883311,0.00230822739719374
"84","PPAP_HUMAN",0.0360316862182336,1,2.66031875970805e-05,0
"85","IGLL1_HUMAN",1,1,0,0
"86","DESP_HUMAN",0.204893893816379,1,0.000105058516000446,8.29992408575553e-05
"87","LIPP_HUMAN",0.49609375,1,0.0143109259844579,0.0110623131511016
"88","ITA2_HUMAN",1,1,7.57139409449334e-05,4.7615627884861e-05
"89","PFKAL_HUMAN",0.5703125,1,0.000199593147239361,8.52320659265563e-05
"90","A1AG2_HUMAN",1,1,0,0
"91","AMY2B_HUMAN",1,1,0.00408040986928961,0.00566528740630578
"92","CAP7_HUMAN",0.0590582290905367,1,4.18935070466058e-05,0
"93","NEBU_HUMAN",0.359375,1,0.00214332448472426,0.00209911975357376
"94","RYR1_HUMAN",0.441208519505878,1,0.000265460129220201,0.000184649245564803
"95","SDHB_HUMAN",0.25,1,0.000108989913603991,0.000116767523036804
"96","QCR2_HUMAN",1,1,0.000824321543061326,0.00102271350142388
"97","CAH4_HUMAN",0.734375,1,0.000884965589205963,0.000509769329904995
"98","AAAD_HUMAN",1,1,0,0
"99","AMPD1_HUMAN",0.359375,1,0.000424507065410009,0.000171009252515878
"100","PRTN3_HUMAN",0.00390625,1,0.000657998356012303,0.000203957883775677
"101","ERD21_HUMAN",0.107327557761612,1,6.33616641176669e-05,0
"102","DNAS1_HUMAN",1,1,0,7.84059065500266e-05
"103","GUC2C_HUMAN",0.422678074170635,1,0,0
"104","S100P_HUMAN",1,1,5.76753118553581e-05,3.56390391506142e-05
"105","IF_HUMAN",0.100348246462291,1,0,0
"106","CYTD_HUMAN",1,1,0,0
"107","ACADL_HUMAN",0.18144920772142,1,0,0
"108","S100G_HUMAN",1,1,0,0
"109","ATPD_HUMAN",1,1,0,0
"110","GSTT1_HUMAN",0.371093369522698,1,0,0
"111","S10A7_HUMAN",0.371093369522698,1,0,0
"112","CASQ1_HUMAN",0.49609375,1,0.000978967126308012,0.00123916860386338
"113","DNJA1_HUMAN",1,1,0,0
"114","QCR1_HUMAN",0.833634883024682,1,0.000418816993212583,0.000284376962299973
"115","1433S_HUMAN",0.0590582290905367,1,2.37596882373187e-05,0
"116","ABCD1_HUMAN",1,1,0,0
"117","MA1A1_HUMAN",0.18144920772142,1,0,0
"118","K1C9_HUMAN",0.203125,1,0.0013354797068734,0.000362585131791923
"119","PCKGC_HUMAN",1,1,0,0
"120","MYH10_HUMAN",1,1,0,0
"121","K1C20_HUMAN",0.25,1,0.000731048917586615,0.000193121030390719
"122","K22E_HUMAN",0.30078125,1,0.00152818218925364,0.00119333529411175
"123","HEM6_HUMAN",0.100348246462291,1,0,0
"124","ETFB_HUMAN",0.371093369522698,1,0,0
"125","CEAM6_HUMAN",0.359375,1,0.00518332858281342,0.00712067177777313
"126","UBA7_HUMAN",1,1,0,0
"127","RS27_HUMAN",0.18144920772142,1,0,0
"128","FRK_HUMAN",0.25,1,0.000142645438689,6.39588243737348e-05
"129","CRKL_HUMAN",0.789268026134281,1,0,0
"130","LEG7_HUMAN",0.361310428526179,1,0,0
"131","XDH_HUMAN",0.0390625,1,0.000489165733009463,0.00114487675465026
"132","ATPO_HUMAN",0.18144920772142,1,0,0
"133","S26A2_HUMAN",0.359375,1,0.000240144116208918,0.000131791476698374
"134","DYN2_HUMAN",0.422678074170635,1,0,0
"135","FABP6_HUMAN",0.446872820710831,1,0.000175478260310402,0
"136","SSRD_HUMAN",1,1,3.44401959229224e-05,0
"137","COPB_HUMAN",0.42578125,1,0.000519976634902602,0.00024897770836297
"138","SYRC_HUMAN",0.422678074170635,1,0,0
"139","MYOM2_HUMAN",0.352542137499713,1,0.000247664450816057,0.000159959107984629
"140","P5CS_HUMAN",0.583882420770365,1,0,0
"141","CASP6_HUMAN",0.201242620957724,1,0,0
"142","NLRP6_HUMAN",1,1,0,0
"143","RS18_HUMAN",0.361310428526179,1,0,0
"144","DYLT1_HUMAN",1,1,0,0
"145","PRKDC_HUMAN",0.100348246462291,1,0,0
"146","PHLD_HUMAN",0.0299739735865559,1,0,0.000115416328119692
"147","DHI2_HUMAN",0.293621543928906,1,8.7417050720408e-05,0
"148","S10AC_HUMAN",0.07421875,1,0.000438107925060889,0.000199148383560833
"149","LACTB_HUMAN",1,1,0,0
"150","ENTK_HUMAN",0.02734375,1,0.00106258115196206,0.00557598747667815
"151","MUC5A_HUMAN",0.91015625,1,0.000411385303536405,0.000352753700228931
"152","K22O_HUMAN",0.855132140584706,1,0,0
"153","PFKAP_HUMAN",0.49609375,1,0.000107766323130829,9.87826695227154e-05
"154","CP27A_HUMAN",1,1,0,0
"155","TFF2_HUMAN",1,1,6.23276856799869e-05,5.0293952778322e-05
"156","LEG10_HUMAN",0.0590582290905367,1,0.000175611917367259,0
"157","TFF3_HUMAN",1,1,0,0
"158","RHG01_HUMAN",0.100348246462291,1,0,0
"159","DHX9_HUMAN",0.108319380730004,1,0.000122571371484739,0
"160","ECHP_HUMAN",1,1,0,0
"161","CAD17_HUMAN",0.401678166469773,1,5.59024000358018e-06,0
"162","COASY_HUMAN",1,1,0,0
"163","AAPK1_HUMAN",1,1,0,0
"164","ROA0_HUMAN",0.271898710819648,1,2.84350926422762e-05,0
"165","MTX1_HUMAN",1,1,0,0
"166","IDI1_HUMAN",1,1,0,0
"167","MLEC_HUMAN",0.0590582290905367,1,3.78423617246416e-05,0
"168","FLNC_HUMAN",0.203125,1,0.00129441999941449,0.000727896104818787
"169","PLSI_HUMAN",0.42578125,1,0.000347127891895921,0.000325522142163683
"170","CLCA4_HUMAN",1,1,0.00206165919934327,0.00170124305383792
"171","SYK_HUMAN",0.18144920772142,1,0,0
"172","PLEC_HUMAN",0.107327557761612,1,0.000255577027987473,0
"173","MGAL_HUMAN",1,1,4.46717492673438e-05,0
"174","ADCK5_HUMAN",1,1,0,0
"175","MOGT2_HUMAN",1,1,0,0
"176","ACTBL_HUMAN",1,1,0.000116289722166559,0.000186900206623349
"177","OCAD2_HUMAN",0.589638551626567,1,0,0
"178","ENTP8_HUMAN",1,1,0,0
"179","ARMD3_HUMAN",1,1,0,0
"180","HECD3_HUMAN",1,1,0,0
"181","UBR4_HUMAN",1,1,0,0
"182","MYOM3_HUMAN",1,1,0,0
"183","S6A19_HUMAN",0.371093369522698,1,0,0
"184","RETST_HUMAN",0.799846105662473,1,4.04704823769168e-05,0
"185","MBOA5_HUMAN",0.280712665268496,1,0,5.38057246495197e-05
"186","PLBL1_HUMAN",0.09765625,1,0.000181810298502394,0.000320896282796443
"187","CNNM4_HUMAN",0.18144920772142,1,0,0
"188","FAHD1_HUMAN",0.208412803684149,1,0,4.77657418674969e-05
"189","LEG1H_HUMAN",0.446872820710831,1,6.3105076809876e-05,0
"190","UD2A3_HUMAN",0.833634883024682,1,0.000143162405329763,0.000130269277525753
"191","ENPP7_HUMAN",0.01953125,1,0.014132749212559,0.0465271469980706
"192","HSDL2_HUMAN",1,1,0,0
"193","TRI72_HUMAN",0.280712665268496,1,0,0
"194","TM10C_HUMAN",1,1,0,0
"195","GDPD3_HUMAN",0.359375,1,0.00100365587340883,0.00108987659609611
"196","DHB13_HUMAN",1,1,0,0
"197","CENPV_HUMAN",1,1,0,0
"198","GALT7_HUMAN",1,1,0,0
"199","SRCA_HUMAN",0.8203125,1,0.000336895169931119,0.0004455014261558
"200","URP2_HUMAN",0.371093369522698,1,0,0
"201","GKN2_HUMAN",1,1,0,0
"202","NDUAB_HUMAN",1,1,0,0
"203","RHPN2_HUMAN",1,1,0,0
"204","CBPO_HUMAN",0.203125,1,0.000261268570191408,0.000641271531975198
"205","MISP_HUMAN",1,1,0,0
"206","UN45B_HUMAN",1,1,0,0
"207","PURA1_HUMAN",0.141482121482793,1,0.000123908975312659,8.69060481833736e-05
"208","K2C78_HUMAN",1,1,0,0
