"","Name","p_value","p_adj","time0","time12"
"1","1000570.HMPREF9966_0489 [Complete]:-  codon-table.11",1,1,0,0
"2","1000570.HMPREF9966_0697 [Complete]:-  codon-table.11",1,1,0,0
"3","1006551.KOX_02565 [Complete]:-  codon-table.11",1,1,0,0
"4","1006551.KOX_02585 [Complete]:-  codon-table.11",1,1,0,0
"5","1006551.KOX_03465 [Complete]:-  codon-table.11",1,1,0,0
"6","1006551.KOX_05625 [Complete]:-  codon-table.11",1,1,0,0
"7","1006551.KOX_08230 [Complete]:-  codon-table.11",1,1,0,0
"8","1006551.KOX_26105 [Complete]:-  codon-table.11",1,1,0,0
"9","1028307.EAE_04255 [Complete]:-  codon-table.11",0.371093369522698,1,0,0
"10","1028307.EAE_11090 [Complete]:-  codon-table.11",1,1,0,0
"11","1028307.EAE_13005 [Complete]:-  codon-table.11",1,1,0,0
"12","1028307.EAE_16980 [Complete]:-  codon-table.11",1,1,0,0
"13","1028307.EAE_16995 [Complete]:-  codon-table.11",0.371093369522698,1,0,0
"14","1033813.ECNA114_2658 [Complete]:-  codon-table.11",1,1,0,0
"15","1033813.ECNA114_2700 [Complete]:-  codon-table.11",0.371093369522698,1,0,0
"16","1033813.ECNA114_3877 [Complete]:-  codon-table.11",1,1,0,0
"17","1033813.ECNA114_4198 [Complete]:-  codon-table.11",0.361310428526179,1,0,0
"18","1035817.BLNIAS_00018 [Complete]:-  codon-table.11",0.0224942712224497,0.9986982235232,4.79926614200928e-05,0
"19","1035817.BLNIAS_00081 [Complete]:-  codon-table.11",0.0224942712224497,0.9986982235232,1.71622144391274e-05,0
"20","1035817.BLNIAS_00581 [Complete]:-  codon-table.11",0.0360316862182336,1,8.20132571599419e-06,0
"21","1035817.BLNIAS_00729 [Complete]:-  codon-table.11",1,1,0,0
"22","1035817.BLNIAS_00780 [Complete]:-  codon-table.11",0.0142661867014469,0.9986982235232,4.69806733940483e-05,0
"23","1035817.BLNIAS_00999 [Complete]:-  codon-table.11",0.0590582290905367,1,1.26725202205794e-05,0
"24","1035817.BLNIAS_01146 [Complete]:-  codon-table.11",0.422678074170635,1,0,0
"25","1035817.BLNIAS_01811 [Complete]:-  codon-table.11",0.0390625,1,0.000155027663291704,2.2964572459347e-05
"26","1035817.BLNIAS_01965 [Complete]:-  codon-table.11",0.0142661867014469,0.9986982235232,0.000361998179586259,1.82713973590539e-05
"27","1035817.BLNIAS_02522 [Complete]:-  codon-table.11",0.18144920772142,1,0,0
"28","1035817.BLNIAS_02702 [Complete]:-  codon-table.11",0.5703125,1,9.94111952525878e-05,3.59561694361779e-05
"29","1040964.LRU_02269 [Complete]:-  codon-table.11",1,1,0,0
"30","1042403.BALAC2494_00010 [Complete]:-  codon-table.11",1,1,0,0
"31","1042403.BALAC2494_00083 [Complete]:-  codon-table.11",1,1,0,0
"32","1042403.BALAC2494_00113 [Complete]:-  codon-table.11",1,1,0,0
"33","1042403.BALAC2494_00114 [Complete]:-  codon-table.11",1,1,0,0
"34","1042403.BALAC2494_00125 [Complete]:-  codon-table.11",1,1,0,0
"35","1042403.BALAC2494_00136 [Complete]:-  codon-table.11",1,1,0,0
"36","1042403.BALAC2494_00162 [Complete]:-  codon-table.11",1,1,0,0
"37","1042403.BALAC2494_00180 [Complete]:-  codon-table.11",1,1,0,0
"38","1042403.BALAC2494_00182 [Complete]:-  codon-table.11",1,1,0,0
"39","1042403.BALAC2494_00200 [Complete]:-  codon-table.11",0.0142661867014469,0.9986982235232,2.78499597536303e-05,0
"40","1042403.BALAC2494_00212 [Complete]:-  codon-table.11",1,1,0,0
"41","1042403.BALAC2494_00240 [Complete]:-  codon-table.11",1,1,0,0
"42","1042403.BALAC2494_00266 [Complete]:-  codon-table.11",1,1,0,0
"43","1042403.BALAC2494_00268 [Complete]:-  codon-table.11",1,1,0,0
"44","1042403.BALAC2494_00308 [Complete]:-  codon-table.11",0.371093369522698,1,0,0
"45","1042403.BALAC2494_00374 [Complete]:-  codon-table.11",1,1,0,0
"46","1042403.BALAC2494_00398 [Complete]:-  codon-table.11",1,1,0,0
"47","1042403.BALAC2494_00410 [Complete]:-  codon-table.11",1,1,0,0
"48","1042403.BALAC2494_00463 [Complete]:-  codon-table.11",1,1,0,0
"49","1042403.BALAC2494_00465 [Complete]:-  codon-table.11",0.371093369522698,1,0,0
"50","1042403.BALAC2494_00475 [Complete]:-  codon-table.11",1,1,0,0
"51","1042403.BALAC2494_00513 [Complete]:-  codon-table.11",0.0546875,1,4.30167067996647e-05,1.6225143975066e-05
"52","1042403.BALAC2494_00515 [Complete]:-  codon-table.11",0.554113130069446,1,0,4.68625949526433e-05
"53","1042403.BALAC2494_00536 [Complete]:-  codon-table.11",1,1,0,0
"54","1042403.BALAC2494_00537 [Complete]:-  codon-table.11",1,1,0,0
"55","1042403.BALAC2494_00542 [Complete]:-  codon-table.11",0.855132140584706,1,0,0
"56","1042403.BALAC2494_00585 [Complete]:-  codon-table.11",1,1,0,0
"57","1042403.BALAC2494_00596 [Complete]:-  codon-table.11",0.371093369522698,1,0,0
"58","1042403.BALAC2494_00597 [Complete]:-  codon-table.11",1,1,0,0
"59","1042403.BALAC2494_00614 [Complete]:-  codon-table.11",1,1,0,0
"60","1042403.BALAC2494_00659 [Complete]:-  codon-table.11",1,1,0,0
"61","1042403.BALAC2494_00671 [Complete]:-  codon-table.11",1,1,0,0
"62","1042403.BALAC2494_00675 [Complete]:-  codon-table.11",1,1,0,0
"63","1042403.BALAC2494_00679 [Complete]:-  codon-table.11",1,1,0,0
"64","1042403.BALAC2494_00723 [Complete]:-  codon-table.11",1,1,0,0
"65","1042403.BALAC2494_00726 [Complete]:-  codon-table.11",1,1,0,0
"66","1042403.BALAC2494_00734 [Complete]:-  codon-table.11",1,1,0,0
"67","1042403.BALAC2494_00754 [Complete]:-  codon-table.11",1,1,0,0
"68","1042403.BALAC2494_00759 [Complete]:-  codon-table.11",1,1,0,0
"69","1042403.BALAC2494_00770 [Complete]:-  codon-table.11",1,1,0,0
"70","1042403.BALAC2494_00781 [Complete]:-  codon-table.11",1,1,0,0
"71","1042403.BALAC2494_00795 [Complete]:-  codon-table.11",1,1,0,0
"72","1042403.BALAC2494_00808 [Complete]:-  codon-table.11",1,1,0,0
"73","1042403.BALAC2494_00812 [Complete]:-  codon-table.11",1,1,0,0
"74","1042403.BALAC2494_00835 [Complete]:-  codon-table.11",1,1,0,0
"75","1042403.BALAC2494_00842 [Complete]:-  codon-table.11",1,1,0,0
"76","1042403.BALAC2494_00853 [Complete]:-  codon-table.11",1,1,0,0
"77","1042403.BALAC2494_00858 [Complete]:-  codon-table.11",1,1,0,0
"78","1042403.BALAC2494_00859 [Complete]:-  codon-table.11",1,1,0,0
"79","1042403.BALAC2494_00903 [Complete]:-  codon-table.11",1,1,0,0
"80","1042403.BALAC2494_00922 [Complete]:-  codon-table.11",1,1,0,0
"81","1042403.BALAC2494_00925 [Complete]:-  codon-table.11",1,1,0,0
"82","1042403.BALAC2494_00950 [Complete]:-  codon-table.11",1,1,0,0
"83","1042403.BALAC2494_00976 [Complete]:-  codon-table.11",1,1,0,0
"84","1042403.BALAC2494_01051 [Complete]:-  codon-table.11",0.401678166469773,1,0,1.72224071167076e-05
"85","1042403.BALAC2494_01056 [Complete]:-  codon-table.11",1,1,0,0
"86","1042403.BALAC2494_01064 [Complete]:-  codon-table.11",1,1,0,0
"87","1042403.BALAC2494_01146 [Complete]:-  codon-table.11",0.583882420770365,1,0,0
"88","1042403.BALAC2494_01151 [Complete]:-  codon-table.11",1,1,0,0
"89","1042403.BALAC2494_01175 [Complete]:-  codon-table.11",1,1,0,0
"90","1042403.BALAC2494_01182 [Complete]:-  codon-table.11",0.361310428526179,1,0,0
"91","1042403.BALAC2494_01248 [Complete]:-  codon-table.11",0.422678074170635,1,0,0
"92","1042403.BALAC2494_01282 [Complete]:-  codon-table.11",1,1,0,0
"93","1042403.BALAC2494_01286 [Complete]:-  codon-table.11",1,1,0,0
"94","1042403.BALAC2494_01303 [Complete]:-  codon-table.11",1,1,0,0
"95","1042403.BALAC2494_01355 [Complete]:-  codon-table.11",0.0934924836898357,1,1.5994411652542e-05,0
"96","1042403.BALAC2494_01361 [Complete]:-  codon-table.11",1,1,0,0
"97","1042403.BALAC2494_01380 [Complete]:-  codon-table.11",1,1,0,0
"98","1042403.BALAC2494_01398 [Complete]:-  codon-table.11",0.371093369522698,1,0,0
"99","1042403.BALAC2494_01400 [Complete]:-  codon-table.11",1,1,0,0
"100","1042403.BALAC2494_01479 [Complete]:-  codon-table.11",1,1,0,0
"101","1042403.BALAC2494_01649 [Complete]:-  codon-table.11",1,1,0,0
"102","1042403.BALAC2494_01661 [Complete]:-  codon-table.11",0.833935414088552,1,0,7.26520072183649e-06
"103","1042403.BALAC2494_01665 [Complete]:-  codon-table.11",1,1,0,0
"104","1042403.BALAC2494_01691 [Complete]:-  codon-table.11",1,1,0,0
"105","1042403.BALAC2494_01874 [Complete]:-  codon-table.11",1,1,0,0
"106","1042403.BALAC2494_01923 [Complete]:-  codon-table.11",1,1,0,0
"107","1042403.BALAC2494_01963 [Complete]:-  codon-table.11",1,1,0,0
"108","1042403.BALAC2494_01964 [Complete]:-  codon-table.11",1,1,0,0
"109","1042403.BALAC2494_02023 [Complete]:-  codon-table.11",1,1,0,0
"110","1042403.BALAC2494_02034 [Complete]:-  codon-table.11",1,1,0,0
"111","1045856.EcWSU1_00255 [Complete]:-  codon-table.11",1,1,0,0
"112","1045856.EcWSU1_02748 [Complete]:-  codon-table.11",0.100348246462291,1,0,0
"113","1045856.EcWSU1_04117 [Complete]:-  codon-table.11",0.183430618982178,1,1.68199208659731e-05,4.93869281623721e-06
"114","1045856.EcWSU1_04138 [Complete]:-  codon-table.11",1,1,0,0
"115","1046629.Ssal_01768 [Complete]:-  codon-table.11",0.583882420770365,1,0,0
"116","1048254.C22711_4259 [Complete]:-  codon-table.11",1,1,0,0
"117","1048332.SALIVB_0147 [Complete]:-  codon-table.11",0.371093369522698,1,0,0
"118","1048332.SALIVB_2004 [Complete]:-  codon-table.11",0.401678166469773,1,5.22288679792214e-06,0
"119","1049565.KPN2242_01745 [Complete]:-  codon-table.11",1,1,0,0
"120","1049565.KPN2242_08480 [Complete]:-  codon-table.11",1,1,0,0
"121","1049565.KPN2242_08585 [Complete]:-  codon-table.11",1,1,0,0
"122","1049565.KPN2242_10355 [Complete]:-  codon-table.11",1,1,0,0
"123","1049565.KPN2242_20735 [Complete]:-  codon-table.11",1,1,0,0
"124","1064535.MELS_0778 [Complete]:-  codon-table.11",1,1,0,0
"125","1064535.MELS_0998 [Complete]:-  codon-table.11",1,1,0,0
"126","1064535.MELS_2082 [Complete]:-  codon-table.11",1,1,0,0
"127","1069533.Sinf_0283 [Complete]:-  codon-table.11",0.18144920772142,1,0,0
"128","1069533.Sinf_1077 [Complete]:-  codon-table.11",0.18144920772142,1,0,0
"129","1069533.Sinf_1081 [Complete]:-  codon-table.11",1,1,0,0
"130","1072459.CE10_1668 [Complete]:-  codon-table.11",1,1,0,0
"131","1072459.CE10_2683 [Complete]:-  codon-table.11",0.371093369522698,1,0,0
"132","1125630.KPHS_52750 [Complete]:-  codon-table.11",1,1,0,0
"133","155864.Z3542 [Complete]:-  codon-table.11",0.422678074170635,1,0,0
"134","155864.Z3999 [Complete]:-  codon-table.11",0.422678074170635,1,0,0
"135","155864.Z4465 [Complete]:-  codon-table.11",1,1,0,0
"136","155864.Z4979 [Complete]:-  codon-table.11",0.361310428526179,1,0,0
"137","155864.Z5906 [Complete]:-  codon-table.11",0.422678074170635,1,0,0
"138","158256496-stool1_revised_C825547_1_gene170707 strand:-  start:2 stop:397 length:396 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11",1,1,0,0
"139","158256496-stool1_revised_C839781_1_gene179308 strand:+  start:3 stop:446 length:444 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"140","158256496-stool1_revised_C886523_1_gene30455 strand:+  start:1 stop:627 length:627 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"141","158256496-stool1_revised_C907897_1_gene141740 strand:+  start:3 stop:548 length:546 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"142","158256496-stool1_revised_C933515_1_gene49549 strand:-  start:97 stop:1197 length:1101 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.352542137499713,1,0,8.90980220158692e-06
"143","158256496-stool1_revised_C972215_1_gene135357 strand:-  start:1639 stop:3021 length:1383 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"144","158256496-stool1_revised_C987893_1_gene145773 strand:+  start:2 stop:3055 length:3054 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.529368106184798,1,1.78726659184999e-05,1.1765663528041e-05
"145","158256496-stool1_revised_C988451_1_gene147572 strand:+  start:10269 stop:11819 length:1551 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
