"","Name","p_value","p_adj","time0","time12","Group","Logfc"
"2884","MH0002_GL0063099  [gene]  locus=scaffold6253_3:47626:49023:+ [Complete] codon-table.11",3.39031028216453e-06,0.0169625699192397,0.000355534882290051,0.0001290064514551,"time0",-1.46254789782457
"2915","MH0002_GL0072110  [gene]  locus=scaffold630_2:32797:35049:+ [Complete] codon-table.11",3.39031028216453e-06,0.0169625699192397,0.000154357754180631,0.00044294301910893,"time12",1.52084316140801
"3533","MH0007_GL0035721  [gene]  locus=scaffold9260_4:2:652:- [Lack both ends] codon-table.11",1.01035693660379e-05,0.0278988159261644,1.35299751067225e-05,2.49911595982373e-05,"time12",0.885258659556252
"5689","MH0088_GL0053209  [gene]  locus=scaffold12442_10:25003:26394:- [Complete] codon-table.11",1.72265572473407e-05,0.0287295908492524,5.2592966147694e-05,0.00010302751084925,"time12",0.970087853884831
"7246","MH0155_GL0058152  [gene]  locus=scaffold40401_5:1:537:+ [Lack 5'-end] codon-table.11",1.66122816832215e-05,0.0287295908492524,9.35423954462623e-05,0.000184132843479296,"time12",0.97705470176425
"7468","MH0175_GL0010320  [gene]  locus=scaffold81064_1:2:1879:+ [Lack 5'-end] codon-table.11",1.53215112815678e-05,0.0287295908492524,4.60496389479845e-05,9.05001280027223e-05,"time12",0.974729987818569
"9180","MH0238_GL0060153  [gene]  locus=scaffold3616_4:2:550:+ [Lack 5'-end] codon-table.11",2.34439503401518e-05,0.0354869421626128,0.000100357627786966,5.58690424937656e-05,"time0",-0.845029274294969
"9593","MH0260_GL0149425  [gene]  locus=scaffold37420_4:37190:38152:+ [Complete] codon-table.11",1.25463120639324e-05,0.0278988159261644,0.000450249185230662,0.00079282580349235,"time12",0.816280252137623
"9993","MH0277_GL0014774  [gene]  locus=scaffold16408_2:8304:9275:- [Complete] codon-table.11",4.13150138250935e-05,0.0459353237159846,0.000139407977409519,2.22386166752751e-05,"time0",-2.64817416463432
"11782","MH0378_GL0189110  [gene]  locus=scaffold57133_1:1:567:+ [Lack both ends] codon-table.11",2.48247234435906e-05,0.0354869421626128,3.39104733899987e-05,0.000126346314058167,"time12",1.89758074705775
"11837","MH0387_GL0031475  [gene]  locus=scaffold15811_3:2:790:+ [Lack 5'-end] codon-table.11",8.20755482536288e-06,0.0273762991199979,8.5388431864908e-05,0.000330120327920532,"time12",1.95087944180353
"11949","MH0400_GL0043956  [gene]  locus=scaffold79424_1:3:1517:+ [Lack 5'-end] codon-table.11",1.50257255882025e-06,0.0150354923098348,0.00043917269790942,0.000890040353001645,"time12",1.0190823780684
"12536","MH0444_GL0022205  [gene]  locus=scaffold30673_7:163:1041:+ [Complete] codon-table.11",4.23557357862592e-05,0.0459353237159846,0.00138182920205956,0.00211458798300739,"time12",0.613797283127862
"14643","O2.UC20-1_GL0060047  [gene]  locus=scaffold82242_1:2:919:- [Lack 3'-end] codon-table.11",7.32917136077842e-06,0.0273762991199979,1.12475811116373e-05,7.29652604238226e-05,"time12",2.69759497330803
"15188","O2.UC35-0_GL0038446  [gene]  locus=scaffold26579_9:3:1715:+ [Lack 5'-end] codon-table.11",4.36102108931049e-05,0.0459353237159846,0.00012378322042243,0.000936634950171816,"time12",2.91967111103858
"15651","O2.UC47-2_GL0002078  [gene]  locus=scaffold4243_76:2:865:+ [Lack 5'-end] codon-table.11",4.31900843977928e-08,0.000864363159053028,3.64926375804951e-05,0.000117585452359722,"time12",1.68803224781837
"18125","V1.CD51-0_GL0187660  [gene]  locus=scaffold37809_2:3:440:+ [Lack 5'-end] codon-table.11",3.25565716829133e-05,0.043436977939343,2.33641637387119e-05,6.79460685377735e-05,"time12",1.54009267639385
"18138","V1.CD52-0_GL0017570  [gene]  locus=C1431721_1:1:579:+ [Lack both ends] codon-table.11",1.25463120639324e-05,0.0278988159261644,0.000417777337892037,0.00105111210093227,"time12",1.33111039927344
