#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AZU1	CTSG	9606.ENSP00000233997	9606.ENSP00000216336	0	0	0.143	0.787	0.777	0	0	0.892	0.977
AZU1	RETN	9606.ENSP00000233997	9606.ENSP00000221515	0	0	0	0	0.336	0	0	0.178	0.430
AZU1	MPO	9606.ENSP00000233997	9606.ENSP00000225275	0	0	0	0	0.999	0	0	0.943	0.999
AZU1	PRTN3	9606.ENSP00000233997	9606.ENSP00000234347	0	0	0.091	0.895	0.999	0	0	0.652	0.999
CTSG	RETN	9606.ENSP00000216336	9606.ENSP00000221515	0	0	0	0	0.250	0	0	0.451	0.570
CTSG	AZU1	9606.ENSP00000216336	9606.ENSP00000233997	0	0	0.143	0.787	0.777	0	0	0.892	0.977
CTSG	PRTN3	9606.ENSP00000216336	9606.ENSP00000234347	0	0	0.114	0.851	0.779	0	0.400	0.983	0.997
CTSG	MPO	9606.ENSP00000216336	9606.ENSP00000225275	0	0	0	0	0.961	0.044	0	0.997	0.999
MPO	CTSG	9606.ENSP00000225275	9606.ENSP00000216336	0	0	0	0	0.961	0.044	0	0.997	0.999
MPO	RETN	9606.ENSP00000225275	9606.ENSP00000221515	0	0	0	0	0.340	0	0	0.647	0.757
MPO	AZU1	9606.ENSP00000225275	9606.ENSP00000233997	0	0	0	0	0.999	0	0	0.943	0.999
MPO	PRTN3	9606.ENSP00000225275	9606.ENSP00000234347	0	0	0	0	0.795	0.331	0	0.998	0.999
PRTN3	CTSG	9606.ENSP00000234347	9606.ENSP00000216336	0	0	0.114	0.851	0.779	0	0.400	0.983	0.997
PRTN3	MPO	9606.ENSP00000234347	9606.ENSP00000225275	0	0	0	0	0.795	0.331	0	0.998	0.999
PRTN3	AZU1	9606.ENSP00000234347	9606.ENSP00000233997	0	0	0.091	0.895	0.999	0	0	0.652	0.999
RETN	CTSG	9606.ENSP00000221515	9606.ENSP00000216336	0	0	0	0	0.250	0	0	0.451	0.570
RETN	AZU1	9606.ENSP00000221515	9606.ENSP00000233997	0	0	0	0	0.336	0	0	0.178	0.430
RETN	MPO	9606.ENSP00000221515	9606.ENSP00000225275	0	0	0	0	0.340	0	0	0.647	0.757
