#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
A19P0.fasta	NODE_11_length_236311_cov_147.663554	104605	105216	-	chpE	1-612/612	===============	0/0	100.00	99.35	vfdb	NP_249108	(chpE) probable chemotaxis protein [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
A19P0.fasta	NODE_11_length_236311_cov_147.663554	105292	106086	-	chpD	1-795/795	===============	0/0	100.00	99.37	vfdb	NP_249107	(chpD) probable transcriptional regulator [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
A19P0.fasta	NODE_11_length_236311_cov_147.663554	106094	106600	-	chpC	1-507/507	===============	0/0	100.00	99.01	vfdb	NP_249106	(chpC) probable chemotaxis protein [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
A19P0.fasta	NODE_11_length_236311_cov_147.663554	106597	107628	-	chpB	1-1032/1032	===============	0/0	100.00	99.61	vfdb	NP_249105	(chpB) probable methylesterase [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
A19P0.fasta	NODE_11_length_236311_cov_147.663554	107621	115039	-	chpA	1-7419/7419	===============	0/0	100.00	99.68	vfdb	NP_249104	(chpA) still frameshift probable component of chemotactic signal transduction system [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
A19P0.fasta	NODE_11_length_236311_cov_147.663554	115051	115926	-	pilK	1-876/876	===============	0/0	100.00	99.31	vfdb	NP_249103	(pilK) methyltransferase PilK [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
A19P0.fasta	NODE_11_length_236311_cov_147.663554	115987	118035	-	pilJ	1-2049/2049	===============	0/0	100.00	99.51	vfdb	NP_249102	(pilJ) twitching motility protein PilJ [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
A19P0.fasta	NODE_11_length_236311_cov_147.663554	118120	118656	-	pilI	1-537/537	===============	0/0	100.00	99.81	vfdb	NP_249101	(pilI) twitching motility protein PilI [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
A19P0.fasta	NODE_11_length_236311_cov_147.663554	118707	119072	-	pilH	1-366/366	===============	0/0	100.00	99.73	vfdb	NP_249100	(pilH) twitching motility protein PilH [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
A19P0.fasta	NODE_11_length_236311_cov_147.663554	119119	119526	-	pilG	1-408/408	===============	0/0	100.00	100.00	vfdb	NP_249099	(pilG) twitching motility protein PilG [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
A19P0.fasta	NODE_11_length_236311_cov_147.663554	130236	131384	-	pilU	1-1149/1149	===============	0/0	100.00	99.91	vfdb	NP_249087	(pilU) twitching motility protein PilU [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
A19P0.fasta	NODE_11_length_236311_cov_147.663554	131562	132596	-	pilT	1-1035/1035	===============	0/0	100.00	100.00	vfdb	NP_249086	(pilT) twitching motility protein PilT [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]	
