Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	TR	A0A671UTF7	AT-rich interaction domain 1A OS=Sparus aurata OX=8175 GN=ARID1A PE=4 SV=1	Sparus aurata	2347	127	23.3	39.0	0.00019
2	TR	A0ABY7J9M5	Toxin glutamine deamidase domain-containing protein OS=Streptomyces nigrescens OX=1920 GN=STRNI_005434 PE=4 SV=1	Streptomyces nigrescens	1952	116	21.8	35.1	0.0047
3	TR	A0A8S1CSW8	BRCT domain-containing protein OS=Cloeon dipterum OX=197152 GN=CLODIP_2_CD07731 PE=3 SV=1	Cloeon dipterum	1969	116	21.6	40.8	0.0047
4	TR	A0A8S1CWA5	BRCT domain-containing protein OS=Cloeon dipterum OX=197152 GN=CLODIP_2_CD07731 PE=3 SV=1	Cloeon dipterum	2257	116	21.6	40.8	0.0047
5	TR	A0A8S1D5B2	BRCT domain-containing protein OS=Cloeon dipterum OX=197152 GN=CLODIP_2_CD07731 PE=3 SV=1	Cloeon dipterum	2265	116	21.6	40.8	0.0047
6	TR	A0A8S1CR53	BRCT domain-containing protein OS=Cloeon dipterum OX=197152 GN=CLODIP_2_CD07731 PE=3 SV=1	Cloeon dipterum	2280	116	21.6	40.8	0.0047
7	TR	U6GNF7	DnaJ domain-containing protein, putative OS=Eimeria praecox OX=51316 GN=EPH_0036680 PE=4 SV=1	Eimeria praecox	1995	115	22.6	42.8	0.0062
8	TR	A0AAW0FD30	Uncharacterized protein OS=Novymonas esmeraldas OX=1808958 GN=NESM_000255600 PE=4 SV=1	Novymonas esmeraldas	3374	115	22.8	40.2	0.0064
9	TR	U6MG58	Uncharacterized protein OS=Eimeria necatrix OX=51315 GN=ENH_00037280 PE=4 SV=1	Eimeria necatrix	891	114	21.8	38.2	0.0076
10	TR	A0A8H6AP61	DUF6590 domain-containing protein OS=Botrytis fragariae OX=1964551 GN=Bfra_009369 PE=4 SV=1	Botrytis fragariae	2687	114	22.0	39.2	0.0085
11	TR	A0A7M7R550	Uncharacterized protein OS=Nasonia vitripennis OX=7425 PE=4 SV=1	Nasonia vitripennis	317	110	18.4	41.5	0.02
12	TR	A0A2V1AG45	Nuclear transport factor 2 OS=Candidozyma duobushaemuli OX=1231522 GN=CXQ87_004537 PE=4 SV=1	Candidozyma duobushaemuli	964	111	23.5	41.6	0.02
13	TR	B4JUU2	GH17344 OS=Drosophila grimshawi OX=7222 GN=Dgri\GH17344 PE=4 SV=1	Drosophila grimshawi	505	109	18.8	37.7	0.03
14	TR	A0A6A5CG72	Uncharacterized protein OS=Naegleria fowleri OX=5763 GN=FDP41_007515 PE=4 SV=1	Naegleria fowleri	749	109	25.0	35.9	0.03
15	TR	A0ABR1U2P9	Uncharacterized protein OS=Apiospora rasikravindrae OX=990691 GN=PG993_003603 PE=4 SV=1	Apiospora rasikravindrae	2108	109	22.9	37.9	0.04
16	TR	A0A671URF8	AT-rich interaction domain 1A OS=Sparus aurata OX=8175 GN=ARID1A PE=4 SV=1	Sparus aurata	2140	109	24.7	38.6	0.04
17	TR	A0AA88QE49	Uncharacterized protein OS=Cirrhinus molitorella OX=172907 GN=Q8A67_001266 PE=4 SV=1	Cirrhinus molitorella	6600	109	21.8	42.5	0.04
18	TR	A0ABW0E398	non-specific serine/threonine protein kinase OS=Streptomyces atrovirens OX=285556 GN=ACFPWV_31095 PE=4 SV=1	Streptomyces atrovirens	558	108	35.5	41.9	0.04
19	TR	A0ABX8I901	Nuclear transport factor 2 OS=Candidozyma haemuli OX=45357 GN=CA3LBN_004099 PE=4 SV=1	Candidozyma haemuli	974	108	22.6	41.6	0.04
20	TR	A0A9Q0BMU1	Uncharacterized protein OS=Drosophila gunungcola OX=103775 GN=M5D96_009792 PE=4 SV=1	Drosophila gunungcola	1259	108	21.1	34.7	0.05
21	TR	A0ABQ7IHN9	DUF6590 domain-containing protein OS=Botrytis deweyae OX=2478750 GN=EAE98_007452 PE=4 SV=1	Botrytis deweyae	2034	108	19.7	35.4	0.05
22	TR	A0A1I1YFX8	Outer membrane protein OmpA OS=Roseivivax sediminis OX=936889 GN=SAMN04515678_10721 PE=4 SV=1	Roseivivax sediminis	709	107	23.1	33.5	0.06
23	TR	A0A0Q5VL63	Uncharacterized protein, isoform C OS=Drosophila erecta OX=7220 GN=Dere\GG20960 PE=4 SV=1	Drosophila erecta	1272	107	20.3	34.0	0.06
24	TR	B3NK90	Uncharacterized protein, isoform A OS=Drosophila erecta OX=7220 GN=Dere\GG20960 PE=4 SV=1	Drosophila erecta	1272	107	20.3	34.0	0.06
25	TR	A0A0Q5VKD8	Uncharacterized protein, isoform B OS=Drosophila erecta OX=7220 GN=Dere\GG20960 PE=4 SV=1	Drosophila erecta	1273	107	20.3	34.0	0.06
26	TR	A0A8C6RMK2	Zinc finger and SCAN domain containing 18 OS=Nannospalax galili OX=1026970 GN=Zscan18 PE=4 SV=1	Nannospalax galili	794	106	18.4	39.5	0.08
27	TR	A0A4Z1IET2	DUF6590 domain-containing protein OS=Botryotinia convoluta OX=54673 GN=BCON_0064g00400 PE=4 SV=1	Botryotinia convoluta	1958	106	20.5	36.0	0.08
