#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
A19P0.fasta	NODE_16_length_126728_cov_141.760760	52921	53559	-	(Phe)catB7	1-639/639	===============	0/0	100.00	98.91	argannot	AF036933:177-815	(Phe)catB7	
A19P0.fasta	NODE_17_length_108143_cov_103.286806	7348	8556	+	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	99.83	argannot	NG_055652:101-1309	(Phe)bcr1	
A19P0.fasta	NODE_17_length_108143_cov_103.286806	25256	26059	+	(AGly)aph(3'')-IIb	1-807/807	========/======	1/3	99.63	98.02	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
A19P0.fasta	NODE_17_length_108143_cov_103.286806	38415	39608	-	(Bla)blaPDC-212	1-1194/1194	===============	0/0	100.00	99.75	argannot	MF281076:1-1194	(Bla)blaPDC-212	
A19P0.fasta	NODE_6_length_327373_cov_129.507183	164143	164931	-	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	99.87	argannot	AM117128:1-789	(Bla)blaOXA-50	
A19P12.fasta	NODE_10_length_251463_cov_343.028029	197697	198335	+	(Phe)catB7	1-639/639	===============	0/0	100.00	99.53	argannot	AF036933:177-815	(Phe)catB7	
A19P12.fasta	NODE_1_length_1066988_cov_409.588718	46563	47771	+	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	99.92	argannot	NG_055652:101-1309	(Phe)bcr1	
A19P12.fasta	NODE_1_length_1066988_cov_409.588718	64476	65282	+	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.76	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
A19P12.fasta	NODE_1_length_1066988_cov_409.588718	77638	78831	-	(Bla)blaPDC-212	1-1194/1194	===============	0/0	100.00	99.58	argannot	MF281076:1-1194	(Bla)blaPDC-212	
A19P12.fasta	NODE_8_length_261862_cov_481.217778	162027	162815	+	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	99.62	argannot	AM117128:1-789	(Bla)blaOXA-50	
A19P6.fasta	NODE_10_length_251465_cov_327.787559	53131	53769	-	(Phe)catB7	1-639/639	===============	0/0	100.00	99.53	argannot	AF036933:177-815	(Phe)catB7	
A19P6.fasta	NODE_1_length_1067100_cov_330.589668	988282	989475	+	(Bla)blaPDC-212	1-1194/1194	===============	0/0	100.00	99.58	argannot	MF281076:1-1194	(Bla)blaPDC-212	
A19P6.fasta	NODE_1_length_1067100_cov_330.589668	1001831	1002637	-	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.76	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
A19P6.fasta	NODE_1_length_1067100_cov_330.589668	1019342	1020550	-	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	99.83	argannot	NG_055652:101-1309	(Phe)bcr1	
A19P6.fasta	NODE_9_length_261676_cov_411.532177	98854	99642	-	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	99.62	argannot	AM117128:1-789	(Bla)blaOXA-50	
A7P0.fasta	NODE_10_length_261770_cov_206.103285	162146	162934	+	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	99.49	argannot	AM117128:1-789	(Bla)blaOXA-50	
A7P0.fasta	NODE_15_length_175747_cov_155.977942	52183	52821	-	(Phe)catB7	1-639/639	===============	0/0	100.00	99.06	argannot	AF036933:177-815	(Phe)catB7	
A7P0.fasta	NODE_16_length_174449_cov_182.082875	90374	91567	+	(Bla)blaPDC-212	1-1194/1194	===============	0/0	100.00	99.58	argannot	MF281076:1-1194	(Bla)blaPDC-212	
A7P0.fasta	NODE_16_length_174449_cov_182.082875	103923	104726	-	(AGly)aph(3'')-IIb	1-807/807	========/======	1/3	99.63	98.02	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
A7P0.fasta	NODE_16_length_174449_cov_182.082875	121431	122639	-	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	99.83	argannot	NG_055652:101-1309	(Phe)bcr1	
A7P0.fasta	NODE_42_length_18899_cov_200.762512	9682	9879	-	(Flq)crpP	1-198/198	===============	0/0	100.00	98.48	argannot	NG_062203:101-298	(Flq)crpP	
A7P0.fasta	NODE_47_length_12712_cov_196.647250	10525	10722	-	(Flq)crpP	1-198/198	===============	0/0	100.00	98.48	argannot	NG_062203:101-298	(Flq)crpP	
A7P12.fasta	NODE_1_length_923174_cov_360.926791	760246	761034	-	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	99.49	argannot	AM117128:1-789	(Bla)blaOXA-50	
A7P12.fasta	NODE_23_length_39172_cov_1088.189052	31451	32725	-	(Tet)tetA	1-1275/1275	===============	0/0	100.00	100.00	argannot	JX424423:94438-95712	(Tet)tetA	
A7P12.fasta	NODE_23_length_39172_cov_1088.189052	32756	33406	+	(Tet)tetR	1-651/651	===============	0/0	100.00	100.00	argannot	HF545434:53576-54226	(Tet)tetR	
A7P12.fasta	NODE_23_length_39172_cov_1088.189052	36448	37248	+	(Bla)blaOXA-10	1-801/801	===============	0/0	100.00	100.00	argannot	HQ386834:1465-2265	(Bla)blaOXA-10	
