"","Name","p_value","p_adj","time0","time12","Group","Logfc"
"86","COG0104",0.00013789942022413,0.0291164775844663,0.00141683917193634,0.00185536766829028,"time12",0.389029101800762
"193","COG0234",6.17632176727057e-05,0.0261640970517571,0.00299659453166212,0.00181099810338479,"time0",-0.726538851020555
"291","COG0370",0.000286545402876501,0.0385012823137698,0.00022022629921155,0.000491575479572869,"time12",1.15842618955598
"317","COG0423",8.80798324942589e-07,0.00130181992426515,0.000657429661787413,0.000407157185964146,"time0",-0.691250684288912
"585","COG0822",0.000314943958073855,0.0387905975027631,0.00127313413221672,0.00168379118303767,"time12",0.403328808593536
"735","COG1250",1.55146699398756e-05,0.0114653410855681,0.00347589463333216,0.00588424676893808,"time12",0.759473400854884
"754","COG1302",0.00026838865596801,0.0385012823137698,0.000569300950736812,0.000238716208071166,"time0",-1.25389498489323
"990","COG1960",9.72212292253971e-05,0.0261640970517571,0.00780614765444454,0.010952425269351,"time12",0.488567713950646
"1005","COG2025",0.000210126047022641,0.0374646124481741,0.00366545603184855,0.00517456180240613,"time12",0.497443995870027
"1117","COG2706",8.89236107468605e-05,0.0261640970517571,0.000455687188657704,0.000697342883383133,"time12",0.613824392749195
"1310","COG3842",0.000228133634664118,0.0374646124481741,0.00849946695610409,0.0106609134512467,"time12",0.326886786166577
"1340","COG3968",0.000106214196421206,0.0261640970517571,0.00139199204754039,0.00215638937175427,"time12",0.631466734971009
