Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
2 member(s) 2 organism(s),g-proteobacteria,hypothetical protein Q047_01147 [Pseudomonas aeruginosa BWHPSA042],495,495,97%,2e-176,99.59,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ETV27558.1?report=genbank&log$=prottop&blast_rank=1&RID=05PWHUFF016"",""ETV27558.1"")"
1 member(s) 1 organism(s),g-proteobacteria,Uncharacterised protein [Pseudomonas aeruginosa],251,251,50%,3e-80,96.80,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SUC97267.1?report=genbank&log$=prottop&blast_rank=2&RID=05PWHUFF016"",""SUC97267.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein A259_13291 [Pseudomonas syringae pv. actinidiae ICMP 19070],68.9,68.9,46%,3e-10,34.78,186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EPN16721.1?report=genbank&log$=prottop&blast_rank=3&RID=05PWHUFF016"",""EPN16721.1"")"
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein IMSAGC014_01050 [Bacteroidaceae bacterium],60.1,60.1,22%,1e-06,50.91,268,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GFI34555.1?report=genbank&log$=prottop&blast_rank=4&RID=05PWHUFF016"",""GFI34555.1"")"



		


