Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
132 member(s) 4 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas aeruginosa],655,655,99%,0.0,99.71,345,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_192871785.1?report=genbank&log$=prottop&blast_rank=1&RID=05MTD29S016"",""WP_192871785.1"")"
3 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas aeruginosa],653,653,99%,0.0,99.71,346,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_243260303.1?report=genbank&log$=prottop&blast_rank=2&RID=05MTD29S016"",""WP_243260303.1"")"
6 member(s) 2 organism(s),g-proteobacteria,"MraY family glycosyltransferase, partial [Pseudomonas aeruginosa]",568,568,86%,0.0,100.00,299,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_244230355.1?report=genbank&log$=prottop&blast_rank=3&RID=05MTD29S016"",""WP_244230355.1"")"
2 member(s) 2 organism(s),g-proteobacteria,glycosyl transferase [Pseudomonas aeruginosa EF8E],536,536,80%,0.0,100.00,278,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCL2746497.1?report=genbank&log$=prottop&blast_rank=4&RID=05MTD29S016"",""HCL2746497.1"")"
8 member(s) 2 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas aeruginosa],514,514,99%,0.0,86.96,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073658264.1?report=genbank&log$=prottop&blast_rank=5&RID=05MTD29S016"",""WP_073658264.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp.],483,483,99%,2e-168,73.12,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_325324099.1?report=genbank&log$=prottop&blast_rank=6&RID=05MTD29S016"",""WP_325324099.1"")"
6 member(s) 6 organism(s),g-proteobacteria,MraY family glycosyltransferase [uncultured Pseudomonas sp.],476,476,99%,1e-165,73.33,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_339728999.1?report=genbank&log$=prottop&blast_rank=7&RID=05MTD29S016"",""WP_339728999.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. M2],472,472,99%,3e-164,70.85,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_196914228.1?report=genbank&log$=prottop&blast_rank=8&RID=05MTD29S016"",""WP_196914228.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas leptonychotis],467,467,99%,2e-162,70.64,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_136666139.1?report=genbank&log$=prottop&blast_rank=9&RID=05MTD29S016"",""WP_136666139.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas moorei],464,464,98%,3e-161,69.79,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_090317922.1?report=genbank&log$=prottop&blast_rank=10&RID=05MTD29S016"",""WP_090317922.1"")"
